timestep,finished_tasks,backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps,planner_seconds
1,0,300,200,0,180,20,0,0.9188261
2,0,300,200,0,161,39,10,0.9188474
3,0,300,200,0,145,55,19,0.9185659
4,0,300,200,0,128,72,32,0.919268
5,0,300,200,0,105,95,42,0.9190724
6,0,300,200,0,79,121,54,0.9187166
7,0,300,200,0,64,136,65,0.9194493
8,0,300,200,0,52,148,77,0.9186914
9,0,300,200,0,43,157,90,0.9187657
10,1,300,199,1,40,159,99,0.9195749
11,2,300,199,1,30,169,105,0.9191045
12,4,300,198,2,25,173,109,0.9185686
13,5,300,199,1,22,177,114,0.9195586
14,7,300,198,2,19,179,125,0.9187236
15,8,300,199,1,19,180,136,0.9192783
16,10,300,198,2,15,183,144,0.918997
17,16,300,194,6,16,178,152,0.9187048
18,18,300,198,2,20,178,161,0.9189673
19,23,300,195,5,18,177,169,0.9194677
20,24,300,199,1,20,179,178,0.9190716
