task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,17,118,176,6688,76,33,3,4,0,2,53,88,57,13,1,14,17,118,176,1.075472
1,0,60,71,227,2511,0,11,3,4,0.000000,9.000000,147,11,149,0,7,7,60,71,227,1.013605
2,0,12,87,218,2459,60,37,3,4,3.000000,6.000000,107,57,111,16,20,36,12,87,218,1.037383
3,0,187,208,441,3373,1,29,3,4,3.000000,14.000000,217,21,231,0,2,2,187,208,441,1.064516
4,0,17,136,225,6487,45,28,3,2,1.000000,1.000000,87,66,89,5,0,5,17,136,225,1.022989
5,0,10,119,350,2511,83,51,3,4,0.000000,2.000000,219,84,225,23,6,29,10,119,350,1.027397
6,0,11,92,266,2935,45,27,3,4,0.000000,3.000000,165,66,169,15,5,20,11,92,266,1.024242
7,0,153,162,607,166,0,8,3,2,1.000000,1.000000,425,8,443,1,2,3,153,162,607,1.042353
8,0,20,929,-1,7757,31,46,3,4,0.000000,0.000000,474,83,71,27,0,27,20,929,-1,0.149789
9,0,7,75,94,1278,37,67,3,4,0.000000,2.000000,13,64,15,4,4,8,7,75,94,1.153846
10,0,446,489,699,7463,6,68,3,4,8.000000,42.000000,202,16,210,10,0,10,446,489,699,1.039604
11,0,11,144,246,2415,89,30,3,2,4.000000,4.000000,87,109,89,24,13,37,11,144,246,1.022989
12,0,12,78,162,3242,46,29,3,4,1.000000,5.000000,61,49,77,14,7,21,12,78,162,1.262295
13,0,481,664,-1,7916,77,42,3,4,11.000000,15.000000,340,58,334,123,2,125,481,664,-1,0.982353
14,0,19,379,454,7566,14,162,3,2,4.000000,4.000000,65,41,75,1,0,1,19,379,454,1.153846
15,0,8,91,232,1799,52,24,3,4,2.000000,2.000000,132,71,140,11,1,12,8,91,232,1.060606
16,0,6,90,234,945,54,80,3,2,1.000000,1.000000,133,77,141,6,3,9,6,90,234,1.060150
17,0,16,58,229,1750,14,30,3,2,0.000000,0.000000,165,31,165,2,6,8,16,58,229,1.000000
18,0,13,100,219,3452,65,62,3,2,0.000000,3.000000,107,71,115,16,4,20,13,100,219,1.074766
19,0,90,104,339,545,0,10,3,2,0.000000,28.000000,211,14,221,0,14,14,90,104,339,1.047393
