timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,12000,11798,202,7798,199,3,0,0.8503843
2,0,12000,11441,559,7441,549,10,4,0.8524787
3,0,12000,10989,1011,6989,979,32,15,0.853305
4,0,12000,10524,1476,6524,1434,42,35,0.8554195
5,0,12000,10156,1844,6156,1779,65,98,0.8566083
6,0,12000,9679,2321,5679,2210,111,177,0.8586736
7,0,12000,9279,2721,5279,2571,150,281,0.8582587
8,0,12000,8714,3286,4714,3086,200,757,0.8564705
9,0,12000,8181,3819,4181,3576,243,1738,0.8586991
10,0,12000,7673,4327,3673,4038,289,3183,0.8568893
11,0,12000,7219,4781,3219,4436,345,4976,0.8577057
12,0,12000,6726,5274,2726,4889,385,7156,0.8552417
13,0,12000,5988,6012,1988,5597,415,9702,0.8544872
14,0,12000,5254,6746,1254,6296,450,12820,0.8576443
15,0,12000,4895,7105,895,6620,485,16364,0.8562019
16,0,12000,4572,7428,572,6920,508,20172,0.8548687
17,0,12000,4135,7865,135,7318,547,23778,0.8578166
18,0,12000,4000,8000,0,7422,578,26987,0.8596357
19,0,12000,4000,8000,0,7365,635,29609,0.8626245
20,0,12000,4000,8000,0,7296,704,32151,0.8763746
21,0,12000,4000,8000,0,7242,758,34734,0.859968
22,0,12000,4000,8000,0,7168,832,37271,0.8637595
23,1,12000,4001,7999,1,7089,910,39757,0.8653953
24,1,12000,4000,8000,0,7025,975,42277,0.8579022
25,1,12000,4000,8000,0,6973,1027,44834,0.861218
26,1,12000,4000,8000,0,6911,1089,47294,0.8595271
27,2,12000,4001,7999,1,6858,1141,49617,0.8607213
28,2,12000,4000,8000,0,6794,1206,51809,0.8616077
29,2,12000,4000,8000,0,6735,1265,53936,0.8611934
30,2,12000,4000,8000,0,6685,1315,56122,0.8607832
31,3,12000,4001,7999,1,6632,1367,58267,0.8606367
32,4,12000,4001,7999,1,6578,1421,60369,0.8634759
33,5,12000,4001,7999,1,6520,1479,62514,0.8610026
34,6,12000,4001,7999,1,6464,1535,64647,0.8619167
35,6,12000,4000,8000,0,6406,1594,66806,0.8622586
36,7,12000,4001,7999,1,6341,1658,68770,0.8585983
37,8,12000,4001,7999,1,6283,1716,70761,0.8635666
38,9,12000,4001,7999,1,6214,1785,72682,0.863657
39,9,12000,4000,8000,0,6151,1849,74633,0.8601904
40,11,12000,4002,7998,2,6081,1917,76640,0.8612825
41,13,12000,4002,7998,2,6035,1963,78557,0.8595687
42,14,12000,4001,7999,1,5977,2022,80381,0.8640554
43,14,12000,4000,8000,0,5902,2098,82231,0.8650733
44,14,12000,4000,8000,0,5846,2154,83972,0.8586584
45,16,12000,4002,7998,2,5780,2218,85702,0.8607094
46,17,12000,4001,7999,1,5729,2270,87451,0.8665119
47,19,12000,4002,7998,2,5677,2321,89030,0.8655749
48,24,12000,4005,7995,5,5609,2386,90570,0.8626845
49,26,12000,4002,7998,2,5548,2450,92079,0.8622954
50,28,12000,4002,7998,2,5481,2517,93552,0.8601821
51,30,12000,4002,7998,2,5421,2577,95018,0.8595851
52,35,12000,4005,7995,5,5369,2626,96483,0.8614982
53,38,12000,4003,7997,3,5301,2696,97904,0.8632068
54,44,12000,4006,7994,6,5235,2759,99298,0.8605557
55,44,12000,4000,8000,0,5175,2825,100671,0.8600696
56,45,12000,4001,7999,1,5102,2897,101826,0.8588141
57,50,12000,4005,7995,5,5034,2961,102969,0.8675527
58,56,12000,4006,7994,6,4972,3022,104118,0.8598461
59,57,12000,4001,7999,1,4904,3095,105257,0.8602887
60,61,12000,4004,7996,4,4839,3157,106357,0.8595353
61,64,12000,4003,7997,3,4756,3241,107363,0.8655221
62,66,12000,4002,7998,2,4679,3319,108340,0.8577433
63,68,12000,4002,7998,2,4592,3406,109333,0.8623506
64,71,12000,4003,7997,3,4518,3479,110332,0.8605628
65,74,12000,4003,7997,3,4445,3552,111264,0.8604962
66,79,12000,4005,7995,5,4370,3625,112186,0.8594492
67,85,12000,4006,7994,6,4297,3697,112974,0.8583238
68,88,12000,4003,7997,3,4226,3771,113747,0.8582897
69,94,12000,4006,7994,6,4154,3840,114555,0.8578476
70,99,12000,4005,7995,5,4095,3900,115336,0.8602908
71,104,12000,4005,7995,5,4027,3968,115929,0.8609495
72,114,12000,4010,7990,10,3948,4042,116562,0.8583008
73,117,12000,4003,7997,3,3876,4121,117164,0.860376
74,126,12000,4009,7991,9,3791,4200,117758,0.8599414
75,134,12000,4008,7992,8,3715,4277,118391,0.8582902
76,141,12000,4007,7993,7,3637,4356,118996,0.8595967
77,146,12000,4005,7995,5,3560,4435,119565,0.8580587
78,154,12000,4008,7992,8,3481,4511,120090,0.8599754
79,160,12000,4006,7994,6,3427,4567,120619,0.8621903
80,162,12000,4002,7998,2,3355,4643,121126,0.8626778
81,168,12000,4006,7994,6,3293,4701,121655,0.8648655
