task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,53,0,0,0,0,0,-1,-1,-1,0.000000
1,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,147,0,0,0,0,0,-1,-1,-1,0.000000
2,0,8,-1,-1,2886,2,17,3,4,0.000000,1.000000,107,1,0,1,0,1,8,-1,-1,0.000000
3,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,217,0,0,0,0,0,-1,-1,-1,0.000000
4,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,87,0,0,0,0,0,-1,-1,-1,0.000000
5,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,219,0,0,0,0,0,-1,-1,-1,0.000000
6,0,9,-1,-1,3513,0,64,3,2,0.000000,3.000000,165,0,0,1,0,1,9,-1,-1,0.000000
7,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,425,0,0,0,0,0,-1,-1,-1,0.000000
8,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,474,0,0,0,0,0,-1,-1,-1,0.000000
9,0,4,-1,-1,1420,2,68,3,2,0.000000,0.000000,13,3,0,1,0,1,4,-1,-1,0.000000
10,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,202,0,0,0,0,0,-1,-1,-1,0.000000
11,0,9,-1,-1,3213,1,57,3,4,0.000000,1.000000,87,0,0,1,0,1,9,-1,-1,0.000000
12,0,9,-1,-1,3040,1,35,3,4,0.000000,0.000000,61,0,0,1,0,1,9,-1,-1,0.000000
13,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,340,0,0,0,0,0,-1,-1,-1,0.000000
14,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,65,0,0,0,0,0,-1,-1,-1,0.000000
15,0,10,-1,-1,3892,0,50,3,4,0.000000,2.000000,132,0,0,0,0,0,10,-1,-1,0.000000
16,0,8,-1,-1,2910,2,64,3,2,0.000000,0.000000,133,0,0,2,0,2,8,-1,-1,0.000000
17,0,8,-1,-1,2700,0,32,3,2,0.000000,0.000000,165,0,0,1,0,1,8,-1,-1,0.000000
18,0,9,-1,-1,3811,0,22,3,2,0.000000,1.000000,107,0,0,1,0,1,9,-1,-1,0.000000
19,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,211,0,0,0,0,0,-1,-1,-1,0.000000
20,0,9,-1,-1,3574,1,47,3,4,0.000000,2.000000,199,0,0,1,0,1,9,-1,-1,0.000000
21,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,107,0,0,0,0,0,-1,-1,-1,0.000000
22,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,19,0,0,0,0,0,-1,-1,-1,0.000000
23,0,4,-1,-1,1320,6,36,3,2,0.000000,0.000000,91,4,0,2,0,2,4,-1,-1,0.000000
24,0,7,-1,-1,2404,3,21,3,4,0.000000,0.000000,169,2,0,1,0,1,7,-1,-1,0.000000
25,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,134,0,0,0,0,0,-1,-1,-1,0.000000
26,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,149,0,0,0,0,0,-1,-1,-1,0.000000
27,0,7,-1,-1,2790,0,2,3,4,0.000000,0.000000,257,0,0,3,0,3,7,-1,-1,0.000000
28,0,10,-1,-1,1862,0,61,3,4,1.000000,2.000000,79,0,0,0,0,0,10,-1,-1,0.000000
29,0,7,-1,-1,2855,1,58,3,2,0.000000,0.000000,241,0,0,3,0,3,7,-1,-1,0.000000
30,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,287,0,0,0,0,0,-1,-1,-1,0.000000
31,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,85,0,0,0,0,0,-1,-1,-1,0.000000
32,0,-1,-1,-1,-1,0,-1,-1,-1,-1.000000,-1.000000,497,0,0,0,0,0,-1,-1,-1,0.000000
33,0,6,-1,-1,2071,2,65,3,4,0.000000,0.000000,25,2,0,1,0,1,6,-1,-1,0.000000
34,0,7,-1,-1,2690,2,57,3,4,0.000000,0.000000,31,1,0,2,0,2,7,-1,-1,0.000000
35,0,10,-1,-1,2113,0,62,3,2,0.000000,0.000000,45,0,0,0,0,0,10,-1,-1,0.000000
36,0,9,-1,-1,3612,1,51,3,4,2.000000,2.000000,151,1,0,0,0,0,9,-1,-1,0.000000
37,0,5,-1,-1,1814,5,43,3,4,0.000000,1.000000,103,3,0,2,0,2,5,-1,-1,0.000000
