timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,12000,11686,314,7686,205,109,0,0.8476244
2,0,12000,11372,628,7372,395,233,6,0.850686
3,0,12000,11058,942,7058,594,348,18,0.8521573
4,0,12000,10748,1252,6748,795,457,44,0.8540616
5,0,12000,10473,1527,6473,966,561,81,0.8534779
6,0,12000,10270,1730,6270,1064,666,119,0.8604438
7,0,12000,10146,1854,6146,1073,781,168,0.8593968
8,0,12000,10066,1934,6066,1051,883,220,0.8584086
9,0,12000,9999,2001,5999,1017,984,283,0.8562478
10,0,12000,9935,2065,5935,993,1072,360,0.8580879
11,0,12000,9885,2115,5885,946,1169,431,0.8517535
12,1,12000,9850,2150,5850,882,1268,517,0.853047
13,1,12000,9818,2182,5818,820,1362,579,0.8540398
14,2,12000,9783,2217,5783,769,1448,651,0.8563189
15,2,12000,9748,2252,5748,742,1510,735,0.8599573
16,2,12000,9720,2280,5720,703,1577,813,0.8597648
17,2,12000,9691,2309,5691,679,1630,890,0.8526691
18,4,12000,9661,2339,5661,649,1690,968,0.8598572
19,4,12000,9620,2380,5620,648,1732,1045,0.8569426
20,4,12000,9602,2398,5602,615,1783,1120,0.8546008
21,4,12000,9575,2425,5575,601,1824,1198,0.8580572
22,8,12000,9547,2453,5547,595,1858,1264,0.8575256
23,8,12000,9523,2477,5523,582,1895,1333,0.8521017
24,10,12000,9503,2497,5503,565,1932,1389,0.8622646
25,14,12000,9480,2520,5480,568,1952,1455,0.8541301
26,15,12000,9450,2550,5450,568,1982,1517,0.8562315
27,20,12000,9432,2568,5432,559,2009,1593,0.8545603
28,23,12000,9409,2591,5409,562,2029,1650,0.8574059
29,28,12000,9389,2611,5389,555,2056,1713,0.8524549
30,30,12000,9366,2634,5366,543,2091,1779,0.8569804
31,31,12000,9343,2657,5343,544,2113,1838,0.8541133
32,33,12000,9321,2679,5321,542,2137,1916,0.8545021
33,39,12000,9308,2692,5308,534,2158,1974,0.8597127
34,46,12000,9302,2698,5302,522,2176,2034,0.8532895
35,50,12000,9285,2715,5285,511,2204,2088,0.8522161
36,51,12000,9269,2731,5269,499,2232,2150,0.8546464
37,56,12000,9256,2744,5256,492,2252,2201,0.8589751
38,62,12000,9245,2755,5245,482,2273,2269,0.8538518
39,63,12000,9225,2775,5225,472,2303,2331,0.8532363
40,67,12000,9199,2801,5199,478,2323,2383,0.8532884
41,71,12000,9176,2824,5176,493,2331,2430,0.86028
42,74,12000,9157,2843,5157,500,2343,2489,0.8523483
43,82,12000,9147,2853,5147,497,2356,2558,0.8554771
44,86,12000,9129,2871,5129,500,2371,2626,0.8590556
45,92,12000,9115,2885,5115,499,2386,2676,0.853831
46,96,12000,9104,2896,5104,499,2397,2730,0.8595705
47,98,12000,9085,2915,5085,499,2416,2783,0.8540259
48,107,12000,9077,2923,5077,496,2427,2841,0.8600922
49,114,12000,9070,2930,5070,480,2450,2904,0.8561437
50,121,12000,9059,2941,5059,482,2459,2959,0.8590828
51,123,12000,9037,2963,5037,481,2482,3033,0.8527042
52,131,12000,9031,2969,5031,472,2497,3093,0.8587978
53,138,12000,9018,2982,5018,468,2514,3145,0.8522418
54,148,12000,9006,2994,5006,476,2518,3203,0.8515327
55,152,12000,8993,3007,4993,468,2539,3260,0.8555072
56,159,12000,8982,3018,4982,474,2544,3313,0.8564923
57,169,12000,8970,3030,4970,482,2548,3371,0.8507237
58,177,12000,8950,3050,4950,492,2558,3421,0.8504412
59,184,12000,8932,3068,4932,499,2569,3489,0.8598798
60,193,12000,8921,3079,4921,507,2572,3548,0.8544317
61,203,12000,8920,3080,4920,490,2590,3613,0.8569967
62,214,12000,8915,3085,4915,487,2598,3672,0.8596347
63,225,12000,8910,3090,4910,485,2605,3737,0.8552349
64,232,12000,8903,3097,4903,483,2614,3805,0.8567956
65,243,12000,8892,3108,4892,484,2624,3864,0.8585125
66,251,12000,8885,3115,4885,476,2639,3916,0.8557248
67,259,12000,8869,3131,4869,470,2661,3982,0.86109
68,263,12000,8855,3145,4855,467,2678,4044,0.8579684
69,270,12000,8837,3163,4837,475,2688,4102,0.8567289
70,283,12000,8833,3167,4833,478,2689,4159,0.8544305
71,290,12000,8819,3181,4819,481,2700,4221,0.8507736
72,293,12000,8801,3199,4801,490,2709,4286,0.8576087
73,302,12000,8803,3197,4803,481,2716,4340,0.8519567
74,314,12000,8796,3204,4796,479,2725,4402,0.8603545
75,323,12000,8782,3218,4782,483,2735,4452,0.8584863
76,330,12000,8773,3227,4773,479,2748,4504,0.8516722
77,336,12000,8753,3247,4753,481,2766,4561,0.8536002
78,341,12000,8739,3261,4739,484,2777,4616,0.8524725
79,348,12000,8731,3269,4731,480,2789,4673,0.854312
80,357,12000,8717,3283,4717,485,2798,4721,0.8545989
81,368,12000,8711,3289,4711,483,2806,4773,0.8533583
82,381,12000,8711,3289,4711,475,2814,4819,0.8511468
83,389,12000,8708,3292,4708,464,2828,4873,0.8588995
84,397,12000,8708,3292,4708,454,2838,4928,0.850494
85,407,12000,8699,3301,4699,457,2844,4972,0.8585285
86,417,12000,8683,3317,4683,466,2851,5027,0.8529649
87,424,12000,8672,3328,4672,464,2864,5091,0.8515338
88,432,12000,8661,3339,4661,458,2881,5152,0.8568476
89,445,12000,8656,3344,4656,462,2882,5218,0.851716
90,453,12000,8656,3344,4656,448,2896,5270,0.8558371
91,463,12000,8652,3348,4652,453,2895,5329,0.8563871
92,468,12000,8640,3360,4640,461,2899,5389,0.8532317
93,479,12000,8630,3370,4630,466,2904,5449,0.8577478
94,490,12000,8628,3372,4628,458,2914,5507,0.8515037
95,499,12000,8612,3388,4612,463,2925,5562,0.8505846
96,515,12000,8615,3385,4615,461,2924,5615,0.8533913
97,528,12000,8614,3386,4614,461,2925,5673,0.8511692
98,537,12000,8597,3403,4597,471,2932,5730,0.8545991
99,544,12000,8585,3415,4585,474,2941,5791,0.859081
100,551,12000,8573,3427,4573,470,2957,5849,0.8530464
101,557,12000,8554,3446,4554,477,2969,5905,0.8579463
102,567,12000,8556,3444,4556,469,2975,5978,0.8520022
103,579,12000,8552,3448,4552,467,2981,6038,0.8531104
104,590,12000,8548,3452,4548,467,2985,6090,0.8546301
105,600,12000,8543,3457,4543,463,2994,6151,0.8513048
106,612,12000,8538,3462,4538,459,3003,6218,0.8521286
107,622,12000,8529,3471,4529,457,3014,6276,0.8561677
108,637,12000,8529,3471,4529,454,3017,6336,0.8623681
109,645,12000,8515,3485,4515,456,3029,6395,0.8840053
110,656,12000,8507,3493,4507,462,3031,6468,0.8540431
111,667,12000,8501,3499,4501,469,3030,6519,0.8561473
112,681,12000,8497,3503,4497,468,3035,6581,0.8541369
113,688,12000,8489,3511,4489,464,3047,6638,0.8563793
114,699,12000,8485,3515,4485,463,3052,6696,0.8597436
115,712,12000,8484,3516,4484,461,3055,6752,0.8562551
116,729,12000,8483,3517,4483,458,3059,6805,0.8527998
117,736,12000,8472,3528,4472,458,3070,6867,0.8600853
118,747,12000,8464,3536,4464,462,3074,6926,0.8587384
119,760,12000,8464,3536,4464,455,3081,6991,0.8531909
120,763,12000,8453,3547,4453,452,3095,7038,0.8550203
121,776,12000,8448,3552,4448,456,3096,7102,0.8544179
122,793,12000,8446,3554,4446,464,3090,7153,0.854467
123,806,12000,8441,3559,4441,468,3091,7219,0.8547108
124,822,12000,8438,3562,4438,468,3094,7270,0.8555133
125,828,12000,8421,3579,4421,474,3105,7318,0.8614912
126,841,12000,8422,3578,4422,461,3117,7380,0.85549
127,852,12000,8419,3581,4419,460,3121,7437,0.8530486
128,863,12000,8412,3588,4412,459,3129,7500,0.8530433
129,877,12000,8420,3580,4420,452,3128,7568,0.8613416
130,886,12000,8408,3592,4408,456,3136,7629,0.8503154
131,898,12000,8400,3600,4400,459,3141,7670,0.8519172
132,908,12000,8392,3608,4392,456,3152,7721,0.8613399
133,925,12000,8394,3606,4394,451,3155,7777,0.8527759
134,935,12000,8395,3605,4395,445,3160,7830,0.8559356
135,944,12000,8382,3618,4382,453,3165,7885,0.8641737
136,958,12000,8375,3625,4375,459,3166,7946,0.8516311
137,968,12000,8374,3626,4374,455,3171,8001,0.8556021
138,985,12000,8379,3621,4379,447,3174,8060,0.8556377
139,993,12000,8372,3628,4372,443,3185,8110,0.8509552
140,1001,12000,8355,3645,4355,454,3191,8169,0.8522461
141,1009,12000,8344,3656,4344,465,3191,8235,0.8534246
142,1023,12000,8341,3659,4341,466,3193,8294,0.8599213
143,1037,12000,8340,3660,4340,460,3200,8352,0.8531904
144,1047,12000,8343,3657,4343,449,3208,8419,0.8586744
145,1057,12000,8339,3661,4339,453,3208,8489,0.8561241
146,1069,12000,8330,3670,4330,457,3213,8564,0.8563137
147,1083,12000,8334,3666,4334,452,3214,8610,0.8633894
148,1096,12000,8323,3677,4323,460,3217,8651,0.8552085
149,1108,12000,8322,3678,4322,457,3221,8712,0.8542808
150,1120,12000,8320,3680,4320,452,3228,8776,0.8507662
151,1126,12000,8319,3681,4319,436,3245,8827,0.8566214
152,1146,12000,8324,3676,4324,443,3233,8890,0.8571785
153,1154,12000,8315,3685,4315,442,3243,8951,0.8563339
154,1165,12000,8310,3690,4310,440,3250,9005,0.857512
155,1177,12000,8305,3695,4305,448,3247,9073,0.8550675
156,1188,12000,8295,3705,4295,445,3260,9123,0.8523985
157,1203,12000,8299,3701,4299,445,3256,9172,0.8546683
158,1215,12000,8298,3702,4298,445,3257,9219,0.8537568
159,1228,12000,8301,3699,4301,440,3259,9271,0.8541867
160,1243,12000,8307,3693,4307,433,3260,9332,0.8522805
161,1256,12000,8305,3695,4305,431,3264,9388,0.8531753
162,1273,12000,8300,3700,4300,441,3259,9446,0.8564798
163,1287,12000,8297,3703,4297,444,3259,9502,0.8555687
164,1302,12000,8295,3705,4295,438,3267,9567,0.8556941
165,1317,12000,8292,3708,4292,443,3265,9628,0.8535467
166,1328,12000,8290,3710,4290,446,3264,9691,0.8557928
167,1341,12000,8286,3714,4286,454,3260,9757,0.8587737
168,1349,12000,8279,3721,4279,456,3265,9838,0.8571748
169,1370,12000,8289,3711,4289,452,3259,9907,0.851394
170,1385,12000,8295,3705,4295,442,3263,9960,0.8540396
