timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,12000,11774,226,7774,226,0,0,0.8481113
2,0,12000,11390,610,7390,606,4,3,0.852574
3,0,12000,10970,1030,6970,1019,11,18,0.853029
4,0,12000,10470,1530,6470,1503,27,43,0.8603015
5,0,12000,9993,2007,5993,1957,50,99,0.8597431
6,0,12000,9534,2466,5534,2396,70,160,0.8575092
7,0,12000,9170,2830,5170,2731,99,256,0.8603409
8,0,12000,8636,3364,4636,3234,130,369,0.8572606
9,0,12000,8124,3876,4124,3704,172,950,0.8562819
10,0,12000,7628,4372,3628,4158,214,1961,0.8545
11,0,12000,7170,4830,3170,4567,263,3391,0.8618226
12,0,12000,6859,5141,2859,4822,319,5220,0.8560204
13,0,12000,6297,5703,2297,5320,383,7298,0.8576382
14,0,12000,5781,6219,1781,5789,430,9826,0.8546432
15,0,12000,5133,6867,1133,6386,481,12768,0.86302
16,0,12000,4579,7421,579,6898,523,16149,0.8591405
17,0,12000,4282,7718,282,7145,573,19499,0.8556969
18,0,12000,4000,8000,0,7382,618,22876,0.8593473
19,0,12000,4000,8000,0,7331,669,25643,0.8644695
20,0,12000,4000,8000,0,7286,714,28122,0.8666689
21,0,12000,4000,8000,0,7217,783,30621,0.8632276
22,0,12000,4000,8000,0,7167,833,33157,0.8605265
23,0,12000,4000,8000,0,7111,889,35583,0.8606084
24,1,12000,4001,7999,1,7042,957,37972,0.8664206
25,2,12000,4001,7999,1,6976,1023,40349,0.8608656
26,2,12000,4000,8000,0,6901,1099,42722,0.8623934
27,2,12000,4000,8000,0,6841,1159,45103,0.8587804
28,2,12000,4000,8000,0,6778,1222,47447,0.8652133
29,2,12000,4000,8000,0,6717,1283,49766,0.8691001
30,2,12000,4000,8000,0,6664,1336,52083,0.8610414
31,3,12000,4001,7999,1,6617,1382,54229,0.8676623
32,3,12000,4000,8000,0,6563,1437,56256,0.8591037
33,4,12000,4001,7999,1,6518,1481,58254,0.8624445
34,6,12000,4002,7998,2,6463,1535,60277,0.8582481
35,7,12000,4001,7999,1,6394,1605,62095,0.8584651
36,12,12000,4005,7995,5,6335,1660,63933,0.8598084
37,15,12000,4003,7997,3,6275,1722,65769,0.8624673
38,17,12000,4002,7998,2,6217,1781,67610,0.8696777
39,20,12000,4003,7997,3,6149,1848,69429,0.8629659
40,24,12000,4004,7996,4,6095,1901,71289,0.8611789
41,26,12000,4002,7998,2,6040,1958,73124,0.8591171
42,29,12000,4003,7997,3,5980,2017,74878,0.8621957
