agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,11,12,76,912,111,55,822
1,12,13,50,937,113,40,834
2,12,13,81,906,117,69,801
3,15,16,69,915,107,61,816
4,14,15,34,951,144,33,808
5,13,14,73,913,88,59,839
6,11,12,12,976,125,10,853
7,12,13,36,951,109,33,845
8,11,12,59,929,131,50,807
9,14,15,76,909,133,68,784
10,14,15,68,917,124,57,804
11,14,15,48,937,136,45,804
12,10,11,65,924,113,52,824
13,12,13,38,949,107,32,848
14,12,13,86,901,198,65,724
15,13,14,61,925,95,53,838
16,13,14,71,915,120,63,803
17,14,15,48,937,112,39,834
18,14,15,54,931,108,46,831
19,11,12,28,960,69,25,894
20,10,11,38,951,131,34,824
21,14,15,47,938,103,42,840
22,14,15,61,924,103,46,836
23,12,13,71,916,107,54,826
24,13,14,83,903,87,75,824
25,12,13,49,938,123,36,828
26,12,13,53,934,124,45,818
27,14,15,68,917,120,59,806
28,18,19,53,928,117,46,818
29,10,11,84,905,104,66,819
30,17,18,54,928,124,39,819
31,13,14,45,941,118,34,834
32,14,15,64,921,110,48,827
33,14,15,36,949,108,32,845
34,12,13,45,942,102,34,851
35,12,13,72,915,96,63,828
36,15,16,63,921,130,52,802
37,14,15,67,918,139,57,789
38,12,13,73,914,134,64,789
39,14,15,26,959,125,21,839
40,17,18,71,911,127,61,794
41,17,18,93,889,125,83,774
42,12,13,53,934,99,46,842
43,12,13,98,889,115,76,796
44,12,13,54,933,129,40,818
45,16,17,151,832,110,126,747
46,14,15,112,873,140,80,765
47,15,16,89,895,133,78,773
48,12,13,119,868,102,108,777
49,15,16,67,917,107,60,817
50,13,14,56,930,122,46,818
51,15,16,91,893,124,78,782
52,12,13,85,902,95,72,820
53,8,9,33,958,356,12,623
54,13,14,20,966,106,17,863
55,13,14,39,947,113,30,843
56,13,14,43,943,86,37,863
57,17,18,71,911,132,61,789
58,16,17,39,944,110,30,843
59,14,15,41,944,89,38,858
60,12,13,89,898,109,75,803
61,13,14,63,923,127,57,802
62,15,16,122,862,125,95,764
63,16,17,63,920,142,54,787
64,14,15,39,946,98,30,857
65,12,13,61,926,111,49,827
66,14,15,43,942,103,38,844
67,14,15,66,919,107,51,827
68,14,15,85,900,93,68,824
69,11,12,56,932,142,46,800
70,17,18,136,846,143,74,765
71,14,15,77,908,97,71,817
72,12,13,73,914,83,61,843
73,13,14,35,951,101,31,854
74,11,12,78,910,108,70,810
75,17,18,58,924,124,50,808
76,14,15,121,864,116,107,762
77,17,18,37,945,95,32,855
78,13,14,93,893,130,76,780
79,12,13,61,926,103,43,841
80,13,14,49,937,78,44,864
81,13,14,48,938,137,41,808
82,12,13,51,936,75,47,865
83,13,14,91,895,98,78,810
84,13,14,83,903,106,73,807
85,11,12,85,903,132,80,776
86,13,14,47,939,116,36,834
87,14,15,84,901,144,71,770
88,15,16,62,922,113,56,815
89,13,14,54,932,144,48,794
90,13,14,52,934,163,48,775
91,12,13,54,933,82,47,858
92,12,13,53,934,139,46,802
93,12,13,63,924,96,56,835
94,14,15,42,943,110,35,840
95,16,17,77,906,141,63,779
96,15,16,70,914,97,60,827
97,14,15,37,948,112,32,841
98,13,14,60,926,130,38,818
99,12,13,34,953,96,31,860
100,13,14,77,909,88,65,833
101,13,14,64,922,118,53,815
102,13,14,68,918,92,61,833
103,16,17,80,903,113,70,800
104,12,13,98,889,126,82,779
105,11,12,37,951,104,31,853
106,14,15,81,904,124,72,789
107,13,14,77,909,120,65,801
108,12,13,40,947,110,36,841
109,11,12,42,946,97,39,852
110,11,12,64,924,115,56,817
111,14,14,114,872,114,84,788
112,12,13,47,940,129,35,823
113,16,17,45,938,121,40,822
114,12,13,78,909,82,73,832
115,15,16,40,944,100,34,850
116,13,14,48,938,132,34,820
117,11,12,37,951,129,33,826
118,18,19,37,944,113,35,833
119,13,14,123,863,127,103,756
120,14,15,75,910,129,57,799
121,12,13,66,921,119,56,812
122,15,16,47,937,99,38,847
123,15,16,69,915,127,62,795
124,12,13,100,887,110,84,793
125,12,13,50,937,151,41,795
126,12,13,53,934,113,46,828
127,15,16,71,913,111,60,813
128,14,15,31,954,97,26,862
129,12,13,65,922,115,58,814
130,14,15,105,880,86,83,816
131,12,13,78,909,86,64,837
132,14,15,43,942,88,34,863
133,12,13,58,929,72,52,863
134,14,15,59,926,122,48,815
135,13,14,69,917,122,54,810
136,13,14,73,913,86,61,839
137,14,15,110,875,128,91,766
138,13,14,103,883,149,55,782
139,12,12,31,957,147,26,815
140,14,15,52,933,97,42,846
141,17,18,105,877,159,71,752
142,15,16,100,884,84,90,810
143,13,14,55,931,120,45,821
144,11,12,34,954,121,33,834
145,13,14,93,893,122,70,794
146,13,14,81,905,111,69,806
147,14,15,56,929,104,44,837
148,13,14,50,936,153,39,794
149,18,19,69,912,130,57,794
150,15,16,82,902,138,60,786
151,14,15,73,912,103,62,820
152,14,15,129,856,190,80,715
153,14,15,71,914,106,56,823
154,15,16,27,957,146,24,814
155,14,15,97,888,117,75,793
156,13,14,94,892,119,72,795
157,15,16,88,896,129,77,778
158,13,14,72,914,118,63,805
159,11,12,66,922,111,55,822
160,10,11,71,918,220,62,707
161,12,13,46,941,109,43,835
162,12,13,85,902,114,75,798
163,16,17,106,877,148,62,773
164,13,14,66,920,102,58,826
165,16,17,70,913,108,57,818
166,14,15,46,939,92,43,850
167,14,15,21,964,125,18,842
168,14,15,59,926,126,51,808
169,13,14,51,935,81,41,864
170,12,13,57,930,90,50,847
171,11,12,69,919,80,62,846
172,15,16,36,948,154,29,801
173,14,15,34,951,129,33,823
174,14,15,29,956,105,25,855
175,14,15,58,927,140,49,796
176,15,16,55,929,111,33,840
