agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,14,15,44,941,109,38,838
1,15,16,36,948,125,28,831
2,13,14,45,941,114,42,830
3,14,15,45,940,92,41,852
4,14,15,67,918,110,56,819
5,15,16,89,895,111,77,796
6,16,17,56,927,107,52,824
7,17,17,43,940,141,35,807
8,17,18,46,936,98,42,842
9,14,15,39,946,128,34,823
10,16,17,36,947,133,33,817
11,14,15,52,933,108,42,835
12,16,17,69,914,136,50,797
13,14,15,18,967,114,17,854
14,13,14,51,935,145,46,795
15,16,17,60,923,114,48,821
16,13,14,17,969,121,14,851
17,13,14,85,901,113,67,806
18,12,13,90,897,116,78,793
19,14,15,59,926,120,52,813
20,15,16,48,936,101,41,842
21,11,12,54,934,106,40,842
22,15,16,56,928,114,53,817
23,14,15,40,945,128,27,830
24,14,15,73,912,135,60,790
25,14,15,39,946,94,30,861
26,16,17,111,872,120,89,774
27,14,15,54,931,155,40,790
28,15,16,87,897,97,75,812
29,12,13,55,932,118,44,825
30,12,13,42,945,129,34,824
31,14,15,56,929,97,48,840
32,17,18,71,911,112,55,815
33,13,14,22,964,93,18,875
34,12,13,94,893,135,73,779
35,14,15,34,951,108,28,849
36,10,11,43,946,140,39,810
37,13,14,104,882,95,83,808
38,14,15,44,941,124,34,827
39,14,15,74,911,125,49,811
40,13,14,49,937,114,46,826
41,14,15,58,927,116,49,820
42,16,17,58,925,85,53,845
43,12,13,76,911,119,52,816
44,16,16,52,932,111,47,826
45,11,12,37,951,99,35,854
46,16,17,83,900,160,67,756
47,12,13,53,934,112,45,830
48,17,18,28,954,114,27,841
49,17,18,74,908,127,63,792
50,13,14,45,941,132,37,817
51,11,12,41,947,102,38,848
52,15,16,91,893,147,74,763
53,15,16,76,908,94,68,822
54,12,13,19,968,84,17,886
55,14,15,48,937,99,43,843
56,15,16,71,913,134,58,792
57,14,15,46,939,123,40,822
58,14,15,65,920,123,56,806
59,16,17,48,935,111,40,832
60,13,14,70,916,123,61,802
61,13,14,62,924,100,53,833
62,16,17,90,893,129,71,783
63,14,15,50,935,135,40,810
64,12,13,43,944,114,42,831
65,14,15,45,940,95,40,850
66,14,15,51,934,106,37,842
67,14,15,80,905,122,71,792
68,14,15,51,934,116,35,834
69,13,14,67,919,170,49,767
70,18,19,64,917,103,60,818
71,12,13,73,914,97,62,828
72,14,15,55,930,95,49,841
73,12,13,45,942,115,38,834
74,16,17,39,944,131,27,825
75,15,16,46,938,74,40,870
76,13,14,67,919,95,62,829
77,16,17,68,915,109,55,819
78,15,16,66,918,108,53,823
79,10,11,70,919,90,64,835
80,14,15,63,922,112,58,815
81,14,15,57,928,115,52,818
82,13,14,43,943,130,35,821
83,14,15,35,950,132,30,823
84,11,12,69,919,127,51,810
85,13,14,77,909,122,62,802
86,14,15,47,938,98,38,849
87,19,20,101,879,152,82,746
88,14,15,102,883,105,86,794
89,13,14,51,935,116,39,831
90,13,14,54,932,98,48,840
91,17,18,61,921,157,32,793
92,14,15,43,942,122,34,829
93,16,17,37,946,124,29,830
94,13,14,31,955,143,28,815
95,13,14,57,929,125,50,811
96,14,15,37,948,106,30,849
97,17,18,33,949,105,31,846
98,13,14,28,958,106,27,853
99,12,13,25,962,111,21,855
100,14,15,54,931,110,43,832
101,13,14,34,952,105,29,852
102,15,16,112,872,113,87,784
103,10,11,38,951,93,35,861
104,13,14,90,896,119,81,786
105,17,18,43,939,90,38,854
106,12,13,90,897,131,72,784
107,14,15,46,939,112,43,830
108,16,17,83,900,129,68,786
109,11,12,51,937,94,43,851
110,13,14,61,925,132,54,800
111,16,17,69,914,107,57,819
112,14,15,73,912,107,63,815
113,16,17,39,944,129,36,818
114,13,14,75,911,139,71,776
115,11,12,39,949,126,36,826
116,11,12,102,886,166,44,778
117,12,13,65,922,141,60,786
118,13,14,53,933,97,40,849
119,13,14,47,939,117,38,831
120,15,16,37,947,118,34,832
121,15,16,53,931,105,48,831
122,13,14,56,930,97,49,840
123,12,13,122,865,136,98,753
124,14,15,68,917,133,48,804
125,14,15,70,915,142,59,784
126,14,15,41,944,100,36,849
127,15,16,77,907,134,54,796
128,15,16,74,910,134,60,790
129,11,12,38,950,80,34,874
130,13,14,34,952,83,32,871
131,16,17,55,928,121,48,814
132,14,15,52,933,120,46,819
133,14,15,38,947,129,32,824
134,14,15,38,947,100,35,850
135,12,13,60,927,87,55,845
136,11,12,19,969,88,18,882
137,13,14,53,933,129,48,809
138,13,14,29,957,92,26,868
139,13,14,53,933,136,41,809
140,16,17,78,905,107,64,812
141,12,13,81,906,86,74,827
142,14,15,31,954,94,30,861
143,14,15,37,948,122,31,832
144,14,15,48,937,110,36,839
145,15,16,94,890,124,81,779
146,13,14,115,871,122,94,770
147,16,17,55,928,117,39,827
148,14,15,52,933,124,44,817
149,14,15,30,955,132,29,824
150,14,15,47,938,111,37,837
151,14,15,35,950,112,30,843
152,12,13,52,935,109,42,836
153,12,13,51,936,100,43,844
154,14,15,40,945,108,30,847
155,11,12,34,954,134,29,825
156,15,16,96,888,126,76,782
157,12,13,39,948,138,32,817
158,14,15,45,940,83,38,864
159,15,16,44,940,117,35,832
160,17,18,79,903,117,60,805
161,14,15,53,932,126,44,815
162,12,13,37,950,109,26,852
163,16,17,62,921,106,53,824
164,13,14,103,883,117,80,789
165,17,18,53,929,96,41,845
