timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,1800,600,1200,0,701,499,0,0.9096176
2,0,1800,600,1200,0,342,858,193,0.9122525
3,1,1800,601,1199,1,173,1026,322,0.9130165
4,3,1800,602,1198,2,95,1103,431,0.9138814
5,5,1800,602,1198,2,69,1129,556,0.9140127
6,7,1800,602,1198,2,51,1147,685,0.9135251
7,13,1800,606,1194,6,43,1151,795,0.9140134
8,15,1800,602,1198,2,39,1159,905,0.9139179
9,20,1800,605,1195,5,27,1168,1040,0.9148291
10,24,1800,604,1196,4,27,1169,1165,0.9144914
11,32,1800,608,1192,8,24,1168,1267,0.9140445
12,38,1800,606,1194,6,23,1171,1389,0.9142389
13,43,1800,605,1195,5,21,1174,1509,0.913463
14,50,1800,607,1193,7,21,1172,1648,0.9136126
15,60,1800,610,1190,10,20,1170,1795,0.9139733
16,66,1800,606,1194,6,27,1167,1938,0.9131288
17,73,1800,607,1193,7,25,1168,2083,0.9140939
18,83,1800,610,1190,10,24,1166,2227,0.913888
19,93,1800,610,1190,10,26,1164,2377,0.9132875
20,99,1800,606,1194,6,30,1164,2526,0.9136969
21,107,1800,608,1192,8,29,1163,2659,0.9130949
22,123,1800,616,1184,16,26,1158,2780,0.9132328
23,129,1800,606,1194,6,35,1159,2907,0.9127531
24,141,1800,612,1188,12,34,1154,3047,0.91348
25,155,1800,614,1186,14,34,1152,3203,0.9139014
26,166,1800,611,1189,11,38,1151,3359,0.9136288
27,184,1800,618,1182,18,33,1149,3514,0.9129813
28,199,1800,615,1185,15,34,1151,3677,0.913052
29,212,1800,613,1187,13,40,1147,3808,0.9130591
30,219,1800,607,1193,7,43,1150,3951,0.9129262
31,235,1800,616,1184,16,36,1148,4108,0.9133842
32,253,1800,618,1182,18,39,1143,4246,0.9133963
33,269,1800,616,1184,16,43,1141,4396,0.9130112
34,286,1800,617,1183,17,42,1141,4538,0.9135771
35,301,1800,615,1185,15,43,1142,4674,0.913437
36,319,1800,618,1182,18,46,1136,4822,0.9129431
37,334,1800,615,1185,15,46,1139,4983,0.9133933
38,354,1800,620,1180,20,42,1138,5119,0.9135977
39,371,1800,617,1183,17,48,1135,5276,0.9131071
40,390,1800,619,1181,19,50,1131,5419,0.9126908
41,408,1800,618,1182,18,52,1130,5543,0.9144401
42,426,1800,618,1182,18,56,1126,5657,0.9133218
43,440,1800,614,1186,14,51,1135,5805,0.913303
44,465,1800,625,1175,25,48,1127,5943,0.9133516
45,483,1800,618,1182,18,58,1124,6087,0.9127247
46,506,1800,623,1177,23,58,1119,6235,0.9128537
47,523,1800,617,1183,17,58,1125,6372,0.9127128
48,540,1800,617,1183,17,56,1127,6507,0.912939
49,547,1800,607,1193,7,61,1132,6654,0.9132218
50,569,1800,622,1178,22,59,1119,6811,0.9133317
51,588,1800,619,1181,19,65,1116,6920,0.9139892
52,612,1800,624,1176,24,69,1107,7051,0.9137014
53,634,1800,622,1178,22,70,1108,7183,0.913373
54,651,1800,617,1183,17,69,1114,7329,0.9132558
55,671,1800,620,1180,20,60,1120,7463,0.913514
56,695,1800,624,1176,24,60,1116,7617,0.9133372
57,722,1800,627,1173,27,67,1106,7779,0.913817
58,739,1800,617,1183,17,68,1115,7923,0.9134396
59,754,1800,615,1185,15,67,1118,8072,0.9136762
60,765,1800,611,1189,11,63,1126,8200,0.9135829
61,782,1800,617,1183,17,60,1123,8348,0.9134209
62,797,1800,615,1185,15,63,1122,8489,0.9135349
63,807,1800,610,1190,10,59,1131,8621,0.9142992
64,827,1800,620,1180,20,60,1120,8784,0.9141638
65,850,1800,623,1177,23,62,1115,8925,0.9132653
66,871,1800,621,1179,21,67,1112,9059,0.9132686
67,888,1800,617,1183,17,65,1118,9219,0.9142015
68,900,1800,612,1188,12,65,1123,9374,0.9139053
69,919,1800,619,1181,19,55,1126,9520,0.9162713
70,933,1800,614,1186,14,53,1133,9682,0.9130607
71,950,1800,617,1183,17,55,1128,9826,0.9132292
72,966,1800,616,1184,16,50,1134,9996,0.913626
73,980,1800,614,1186,14,53,1133,10162,0.9134889
74,996,1800,616,1184,16,50,1134,10310,0.9132259
75,1017,1800,621,1179,21,58,1121,10484,0.9130106
76,1035,1800,618,1182,18,49,1133,10626,0.9140272
77,1049,1800,614,1186,14,55,1131,10774,0.9138035
78,1063,1800,614,1186,14,46,1140,10907,0.9136901
79,1075,1800,612,1188,12,48,1140,11043,0.9137932
80,1085,1800,610,1190,10,44,1146,11190,0.9139611
81,1100,1800,615,1185,15,43,1142,11338,0.9136035
82,1116,1800,616,1184,16,47,1137,11487,0.9131859
83,1128,1800,612,1188,12,50,1138,11646,0.9130694
84,1149,1800,621,1179,21,53,1126,11793,0.9150062
85,1158,1800,609,1191,9,60,1131,11920,0.9135199
86,1178,1800,620,1180,20,59,1121,12051,0.9141921
87,1192,1800,614,1186,14,55,1131,12220,0.9148337
88,1202,1800,610,1190,10,56,1134,12368,0.9134783
89,1226,1800,624,1176,24,49,1127,12513,0.9137792
90,1237,1800,611,1189,11,57,1132,12643,0.9139766
91,1250,1800,613,1187,13,57,1130,12795,0.9138175
92,1264,1800,614,1186,14,57,1129,12956,0.9144601
93,1280,1800,616,1184,16,56,1128,13092,0.9133401
94,1293,1800,613,1187,13,63,1124,13227,0.9136831
95,1309,1800,616,1184,16,57,1127,13367,0.9137185
96,1324,1800,615,1185,15,53,1132,13521,0.9133826
97,1342,1800,618,1182,18,59,1123,13679,0.9132889
98,1355,1800,613,1187,13,60,1127,13824,0.9138357
99,1370,1800,615,1185,15,57,1128,13985,0.9126684
100,1390,1800,620,1180,20,59,1121,14125,0.9155325
101,1402,1800,612,1188,12,59,1129,14246,0.9126958
102,1414,1800,612,1188,12,48,1140,14386,0.9130789
103,1435,1800,621,1179,21,47,1132,14545,0.9134667
104,1448,1800,613,1187,13,56,1131,14714,0.9137813
105,1463,1800,615,1185,15,63,1122,14852,0.913278
106,1476,1800,613,1187,13,67,1120,14981,0.9132565
107,1491,1800,615,1185,15,70,1115,15111,0.9134477
108,1504,1800,613,1187,13,68,1119,15263,0.9127437
109,1526,1800,622,1178,22,59,1119,15394,0.9136531
110,1544,1800,618,1182,18,63,1119,15516,0.9133389
111,1560,1800,616,1184,16,62,1122,15640,0.9141766
112,1572,1800,612,1188,12,62,1126,15773,0.9132642
