timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,1200,400,800,0,314,486,0,0.9132739
2,0,1200,400,800,0,139,661,51,0.9157722
3,2,1200,402,798,2,72,726,97,0.916731
4,3,1200,401,799,1,41,758,141,0.9167768
5,9,1200,406,794,6,24,770,181,0.9161549
6,10,1200,401,799,1,24,775,224,0.9164027
7,11,1200,401,799,1,21,778,263,0.9160668
8,17,1200,406,794,6,14,780,309,0.9164316
9,18,1200,401,799,1,14,785,352,0.9165343
10,23,1200,405,795,5,13,782,399,0.9161881
11,28,1200,405,795,5,16,779,450,0.9160396
12,32,1200,404,796,4,17,779,502,0.9160825
13,39,1200,407,793,7,17,776,553,0.9159442
14,48,1200,409,791,9,21,770,616,0.9164111
15,52,1200,404,796,4,18,778,662,0.9159421
16,57,1200,405,795,5,17,778,710,0.9159418
17,61,1200,404,796,4,19,777,769,0.9158771
18,67,1200,406,794,6,19,775,803,0.9159581
19,71,1200,404,796,4,22,774,854,0.9161973
20,80,1200,409,791,9,22,769,904,0.9165788
21,85,1200,405,795,5,26,769,959,0.9160161
22,99,1200,414,786,14,25,761,1012,0.9156763
23,104,1200,405,795,5,30,765,1062,0.9171211
24,112,1200,408,792,8,30,762,1122,0.915663
25,118,1200,406,794,6,32,762,1192,0.916479
26,130,1200,412,788,12,27,761,1262,0.9154635
27,136,1200,406,794,6,35,759,1326,0.9156162
28,147,1200,411,789,11,31,758,1382,0.9156331
29,156,1200,409,791,9,29,762,1437,0.916487
30,164,1200,408,792,8,29,763,1490,0.9154147
31,173,1200,409,791,9,29,762,1549,0.9165246
32,179,1200,406,794,6,28,766,1612,0.9153835
33,184,1200,405,795,5,28,767,1674,0.9157635
34,197,1200,413,787,13,27,760,1738,0.9161395
35,207,1200,410,790,10,30,760,1801,0.9154678
36,217,1200,410,790,10,32,758,1864,0.9156479
37,231,1200,414,786,14,36,750,1940,0.9153882
38,243,1200,412,788,12,43,745,2014,0.9153514
39,257,1200,414,786,14,41,745,2070,0.915551
40,270,1200,413,787,13,38,749,2136,0.9154003
41,282,1200,412,788,12,33,755,2193,0.9154958
42,295,1200,413,787,13,36,751,2251,0.9154594
43,316,1200,421,779,21,37,742,2319,0.9156601
44,328,1200,412,788,12,43,745,2396,0.9153608
45,339,1200,411,789,11,44,745,2464,0.9154546
46,353,1200,414,786,14,47,739,2524,0.9155652
47,363,1200,410,790,10,52,738,2596,0.9156339
48,373,1200,410,790,10,45,745,2658,0.9155613
49,386,1200,413,787,13,41,746,2722,0.9154742
50,396,1200,410,790,10,46,744,2784,0.9156813
51,406,1200,410,790,10,43,747,2840,0.9159478
52,410,1200,404,796,4,38,758,2891,0.9157422
53,416,1200,406,794,6,31,763,2936,0.9151926
54,425,1200,409,791,9,25,766,2981,0.9154977
55,437,1200,412,788,12,23,765,3026,0.915606
56,451,1200,414,786,14,27,759,3084,0.9153286
57,466,1200,415,785,15,35,750,3152,0.9150335
58,479,1200,413,787,13,36,751,3210,0.9154121
59,494,1200,415,785,15,38,747,3272,0.9161028
60,514,1200,420,780,20,43,737,3341,0.9151762
61,526,1200,412,788,12,45,743,3402,0.9154198
62,536,1200,410,790,10,45,745,3461,0.9153853
63,550,1200,414,786,14,41,745,3520,0.9153004
64,557,1200,407,793,7,39,754,3580,0.9155198
65,572,1200,415,785,15,34,751,3637,0.9152243
66,582,1200,410,790,10,38,752,3696,0.9149478
67,595,1200,413,787,13,39,748,3754,0.9153068
68,603,1200,408,792,8,43,749,3805,0.9153004
69,622,1200,419,781,19,40,741,3861,0.9155454
70,631,1200,409,791,9,45,746,3900,0.9157064
71,652,1200,421,779,21,45,734,3953,0.915461
72,666,1200,414,786,14,46,740,3993,0.9150682
73,681,1200,415,785,15,47,738,4039,0.9151722
74,696,1200,415,785,15,53,732,4079,0.9152263
75,715,1200,419,781,19,48,733,4133,0.9153146
76,731,1200,416,784,16,52,732,4187,0.9152365
77,747,1200,416,784,16,51,733,4240,0.9155884
78,761,1200,414,786,14,53,733,4283,0.9151354
79,775,1200,414,786,14,57,729,4329,0.9152689
80,798,1200,423,777,23,58,719,4380,0.9152262
81,810,1200,412,788,12,66,722,4441,0.9157716
82,826,1200,416,784,16,57,727,4487,0.9156806
83,837,1200,411,789,11,56,733,4530,0.9152766
84,851,1200,414,786,14,53,733,4585,0.915149
85,864,1200,413,787,13,49,738,4649,0.9154354
86,878,1200,414,786,14,54,732,4683,0.9161776
87,886,1200,408,792,8,58,734,4732,0.9151822
88,902,1200,416,784,16,52,732,4770,0.9158856
89,918,1200,416,784,16,48,736,4822,0.9152604
90,935,1200,417,783,17,50,733,4868,0.915221
91,952,1200,417,783,17,55,728,4908,0.9152341
92,965,1200,413,787,13,54,733,4946,0.9153939
93,978,1200,413,787,13,56,731,4997,0.9153591
94,995,1200,417,783,17,56,727,5039,0.9153996
95,1007,1200,412,788,12,63,725,5098,0.9157749
96,1021,1200,414,786,14,60,726,5144,0.9157929
97,1033,1200,412,788,12,67,721,5190,0.9156637
98,1047,1200,414,786,14,65,721,5236,0.915929
99,1062,1200,415,785,15,59,726,5279,0.9153265
100,1079,1200,417,783,17,52,731,5335,0.9158896
101,1093,1200,414,786,14,50,736,5383,0.9157858
102,1106,1200,413,787,13,51,736,5432,0.915328
103,1117,1200,411,789,11,55,734,5484,0.9159721
104,1129,1200,412,788,12,47,741,5543,0.9156502
105,1141,1200,412,788,12,46,742,5592,0.9158065
106,1152,1200,411,789,11,45,744,5639,0.9155557
107,1161,1200,409,791,9,45,746,5693,0.9154235
108,1172,1200,411,789,11,42,747,5743,0.9152247
109,1192,1200,420,780,20,42,738,5792,0.9162265
110,1204,1200,412,788,12,49,739,5833,0.9159415
111,1221,1200,417,783,17,45,738,5882,0.9158273
112,1234,1200,413,787,13,47,740,5936,0.9154746
113,1249,1200,415,785,15,51,734,5992,0.9153193
114,1259,1200,410,790,10,56,734,6041,0.9158127
115,1267,1200,408,792,8,51,741,6090,0.9153522
116,1281,1200,414,786,14,50,736,6141,0.9154526
