timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,24000,8000,16000,0,15604,396,0,0.7971338
2,0,24000,8000,16000,0,15292,708,754,0.8880685
4,0,24000,8000,16000,0,15011,989,1114,1.0632528
5,0,24000,8000,16000,0,14707,1293,1392,1.0139127
6,0,24000,8000,16000,0,14435,1565,1680,0.9381878
7,0,24000,8000,16000,0,14185,1815,2029,0.9102181
8,0,24000,8000,16000,0,13966,2034,2608,0.9135042
9,0,24000,8000,16000,0,13764,2236,3254,0.8892745
10,1,24000,8001,15999,1,13566,2433,4103,0.9141275
11,1,24000,8000,16000,0,13378,2622,4869,0.8758101
12,1,24000,8000,16000,0,13187,2813,5827,0.8651237
13,1,24000,8000,16000,0,12976,3024,6780,0.8788496
14,1,24000,8000,16000,0,12752,3248,7861,0.8825572
15,2,24000,8001,15999,1,12544,3455,8961,0.8805633
16,2,24000,8000,16000,0,12351,3649,10222,0.8736453
17,2,24000,8000,16000,0,12126,3874,11493,0.8759165
18,3,24000,8001,15999,1,11932,4067,12807,0.904173
19,5,24000,8002,15998,2,11722,4276,14183,0.8688222
20,6,24000,8001,15999,1,11537,4462,15719,0.8629587
21,7,24000,8001,15999,1,11350,4649,17342,0.8594935
22,8,24000,8001,15999,1,11182,4817,19065,0.8583217
23,10,24000,8002,15998,2,11007,4991,20788,0.8666258
24,14,24000,8004,15996,4,10839,5157,22642,0.8515213
25,14,24000,8000,16000,0,10671,5329,24546,0.85588
26,15,24000,8001,15999,1,10512,5487,26582,0.8646838
27,18,24000,8003,15997,3,10339,5658,28684,0.8617473
28,21,24000,8003,15997,3,10193,5804,30861,0.8549
29,23,24000,8002,15998,2,10032,5966,33180,0.838992
30,24,24000,8001,15999,1,9886,6113,35544,0.8607134
31,27,24000,8003,15997,3,9730,6267,38003,0.8539821
32,31,24000,8004,15996,4,9566,6430,40540,0.8334925
33,33,24000,8002,15998,2,9435,6563,43257,0.8471596
34,36,24000,8003,15997,3,9309,6688,45987,0.8333809
35,40,24000,8004,15996,4,9165,6831,48800,0.8330959
36,45,24000,8005,15995,5,9037,6958,51555,0.8585901
37,49,24000,8004,15996,4,8910,7086,54472,0.8250522
38,52,24000,8003,15997,3,8789,7208,57481,0.8369211
39,59,24000,8007,15993,7,8683,7310,60622,0.8311606
