timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,30000,30000,0,20000,0,0,0,0.7357055
2,0,30000,30000,0,20000,0,0,0,0.7345725
3,0,30000,30000,0,20000,0,0,0,0.7342592
4,0,30000,30000,0,20000,0,0,0,0.7357645
5,0,30000,30000,0,20000,0,0,0,0.7352107
6,0,30000,30000,0,20000,0,0,0,0.7361767
7,0,30000,30000,0,20000,0,0,0,0.7386603
8,0,30000,30000,0,20000,0,0,0,0.7369867
9,0,30000,30000,0,20000,0,0,0,0.7376182
10,0,30000,30000,0,20000,0,0,0,0.7388745
11,0,30000,30000,0,20000,0,0,0,0.7410534
12,0,30000,30000,0,20000,0,0,0,0.7386355
13,0,30000,30000,0,20000,0,0,0,0.7447209
14,0,30000,30000,0,20000,0,0,0,0.7451747
15,0,30000,30000,0,20000,0,0,0,0.7419816
16,0,30000,30000,0,20000,0,0,0,0.7470912
17,0,30000,30000,0,20000,0,0,0,0.7493477
18,0,30000,30000,0,20000,0,0,0,0.7441451
19,0,30000,30000,0,20000,0,0,0,0.744889
20,0,30000,30000,0,20000,0,0,0,0.7438927
21,0,30000,30000,0,20000,0,0,0,0.7408251
22,0,30000,30000,0,20000,0,0,0,0.7467677
23,0,30000,30000,0,20000,0,0,0,0.7557196
24,0,30000,30000,0,20000,0,0,0,0.7460349
25,0,30000,30000,0,20000,0,0,0,0.746145
26,0,30000,30000,0,20000,0,0,0,0.7417897
27,0,30000,30000,0,20000,0,0,0,0.7412902
28,0,30000,30000,0,20000,0,0,0,0.741385
29,0,30000,30000,0,20000,0,0,0,0.7420629
30,0,30000,30000,0,20000,0,0,0,0.7424821
31,0,30000,30000,0,20000,0,0,0,0.7426821
32,0,30000,30000,0,20000,0,0,0,0.7414677
33,0,30000,30000,0,20000,0,0,0,0.7446249
34,0,30000,30000,0,20000,0,0,0,0.7463367
35,0,30000,30000,0,20000,0,0,0,0.7455512
36,0,30000,30000,0,20000,0,0,0,0.7425375
37,0,30000,30000,0,20000,0,0,0,0.7439053
38,0,30000,30000,0,20000,0,0,0,0.7418329
39,0,30000,30000,0,20000,0,0,0,0.7445527
40,0,30000,30000,0,20000,0,0,0,0.7435232
41,0,30000,30000,0,20000,0,0,0,0.7409657
42,0,30000,30000,0,20000,0,0,0,0.7434125
43,0,30000,30000,0,20000,0,0,0,0.7404865
44,0,30000,30000,0,20000,0,0,0,0.7416593
45,0,30000,30000,0,20000,0,0,0,0.7432119
46,0,30000,30000,0,20000,0,0,0,0.7432048
47,0,30000,30000,0,20000,0,0,0,0.7408978
48,0,30000,30000,0,20000,0,0,0,0.7414348
49,0,30000,30000,0,20000,0,0,0,0.7468219
50,0,30000,30000,0,20000,0,0,0,0.745434
51,0,30000,30000,0,20000,0,0,0,0.7450359
52,0,30000,30000,0,20000,0,0,0,0.7406261
