agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,5,59,23,91,9,21,84
1,3,69,19,85,1,18,85
2,4,70,15,88,9,10,84
3,4,47,11,115,3,9,114
4,5,67,5,101,11,4,91
5,6,47,30,96,6,28,92
6,5,40,14,119,5,12,116
7,5,53,12,108,2,11,107
8,3,57,9,107,1,9,106
9,4,37,18,118,2,17,117
10,4,55,7,111,3,5,110
11,6,34,8,131,4,8,127
12,4,52,5,116,9,3,109
13,6,65,9,99,4,9,95
14,5,36,11,126,3,10,124
15,4,52,9,112,0,9,112
16,6,51,22,100,9,21,92
17,5,54,11,108,4,11,104
18,5,47,9,117,6,8,112
19,4,54,12,107,10,10,99
20,6,39,5,129,1,5,128
21,3,38,26,109,5,24,106
22,6,59,25,89,7,21,86
23,6,42,8,123,2,7,122
24,3,57,4,112,1,4,111
25,5,51,6,116,2,6,114
26,6,52,9,112,5,8,108
27,5,28,2,143,2,1,142
28,5,62,13,98,4,12,95
29,6,50,5,118,3,5,115
30,6,46,11,116,4,10,113
31,6,37,12,124,6,11,119
32,7,44,11,118,9,10,110
33,6,51,5,117,6,4,112
34,5,40,11,122,3,9,121
35,5,48,5,120,4,4,117
36,6,35,1,137,5,1,132
37,6,45,6,122,8,6,114
38,7,27,8,138,6,8,132
39,5,23,12,138,1,11,138
40,6,60,12,101,4,11,98
41,6,50,14,109,9,12,102
42,5,34,11,128,6,11,122
43,4,40,14,119,0,14,119
44,5,54,29,90,7,28,84
45,3,42,28,103,3,28,100
46,5,47,13,113,4,13,109
47,8,37,6,130,6,6,124
48,5,33,4,136,3,3,134
49,4,63,9,101,2,8,100
50,5,47,17,109,7,14,105
51,6,43,22,108,4,21,105
52,5,50,6,117,10,6,107
53,6,41,10,122,4,10,118
54,4,24,17,132,4,17,128
55,6,28,18,127,6,17,122
56,4,55,26,92,6,24,88
57,5,53,12,108,3,12,105
58,5,35,0,138,7,0,131
59,5,59,10,104,2,10,102
60,5,56,10,107,4,9,104
61,4,4,6,163,4,6,159
62,4,55,9,109,2,9,107
63,3,52,12,109,5,11,105
64,4,43,9,121,2,9,119
65,5,28,28,117,7,24,114
66,6,40,5,128,6,5,122
67,4,52,3,118,1,3,117
68,5,52,4,117,5,4,112
69,5,58,8,107,5,6,104
70,5,57,3,113,5,3,108
71,6,52,0,121,5,0,116
72,4,62,17,94,1,17,93
73,6,14,21,138,4,21,134
74,5,68,17,88,5,16,84
75,5,43,12,118,5,11,114
76,2,63,15,95,2,15,93
77,6,61,9,103,6,8,98
78,7,55,11,107,8,10,100
79,5,56,16,101,3,16,98
80,5,45,13,115,1,12,115
81,7,58,7,108,4,6,105
82,4,56,7,110,7,6,104
83,3,40,25,108,5,23,105
84,5,39,12,122,1,12,121
85,6,45,20,108,6,19,103
86,4,43,12,118,9,12,109
87,4,45,0,128,2,0,126
88,4,40,1,132,1,1,131
89,6,53,19,101,7,17,96
90,5,38,17,118,3,17,115
91,6,33,10,130,8,10,122
92,5,56,9,108,4,9,104
93,4,44,16,113,0,16,113
94,6,47,3,123,2,2,122
95,5,62,16,95,5,14,92
96,5,38,29,106,5,27,103
97,5,51,2,120,5,2,115
98,5,57,12,104,3,11,102
99,5,52,7,114,2,7,112
