agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,5,26,22,125,3,21,123
1,6,54,24,95,4,22,93
2,4,71,14,88,4,13,85
3,4,50,24,99,4,22,97
4,4,53,12,108,4,11,105
5,6,49,21,103,7,18,99
6,5,21,9,143,5,9,138
7,6,56,9,108,0,9,108
8,3,60,7,106,2,7,104
9,6,43,12,118,1,11,118
10,5,60,21,92,7,20,86
11,4,57,11,105,3,11,102
12,4,55,11,107,3,11,104
13,5,27,29,117,3,27,116
14,7,22,15,136,7,14,130
15,6,37,21,115,2,21,113
16,4,57,10,106,1,10,105
17,5,51,15,107,2,15,105
18,6,49,3,121,5,3,116
19,6,45,12,116,4,11,113
20,5,48,11,114,3,11,111
21,5,42,6,125,3,4,124
22,4,33,38,102,4,34,102
23,5,63,19,91,8,18,84
24,3,61,16,96,5,13,94
25,6,24,12,137,5,10,134
26,6,58,5,110,5,3,107
27,5,38,19,116,8,15,112
28,5,59,22,92,4,19,91
29,5,50,2,121,2,2,119
30,5,57,11,105,2,10,104
31,4,30,21,122,2,20,121
32,5,11,15,147,1,15,146
33,5,37,24,112,9,21,106
34,4,47,3,123,0,3,123
35,5,35,13,125,8,12,118
36,6,56,23,94,2,22,93
37,4,40,4,129,2,4,127
38,5,35,11,127,2,10,126
39,6,32,11,130,2,11,128
40,6,40,21,112,6,20,107
41,6,60,18,95,6,16,91
42,6,53,14,106,6,12,102
43,7,23,20,130,6,19,125
44,4,51,9,113,5,9,108
45,4,59,13,101,5,12,97
46,6,38,14,121,4,13,118
47,9,20,12,141,2,11,140
48,4,20,19,134,5,19,129
49,4,22,17,134,8,15,128
50,6,56,14,103,4,14,99
51,5,59,17,97,3,17,94
52,4,44,8,121,1,7,121
53,6,57,15,101,5,14,97
54,6,60,16,97,5,16,92
55,3,41,12,120,1,12,119
56,5,52,8,113,2,8,111
57,4,53,7,113,3,6,111
58,6,62,22,89,2,22,87
59,5,67,12,94,4,11,91
60,4,49,5,119,2,5,117
61,5,45,20,108,6,20,102
62,5,12,22,139,6,20,135
63,5,37,37,99,6,34,96
64,4,61,18,94,6,18,88
65,5,32,23,118,2,22,117
66,5,62,9,102,3,9,99
67,5,55,17,101,0,17,101
68,6,30,6,137,3,6,134
69,6,34,4,135,1,4,134
70,5,69,15,89,4,15,85
71,6,11,19,143,8,18,136
72,7,37,12,124,7,10,119
73,6,53,23,97,5,21,94
74,5,45,10,118,6,9,113
75,5,52,13,108,5,13,103
76,3,59,13,101,1,12,101
77,6,65,9,99,3,8,97
78,5,54,15,104,2,14,103
79,4,50,7,116,5,7,111
80,6,36,9,128,1,9,127
81,5,53,13,107,1,12,107
82,6,17,9,147,1,9,146
83,6,57,12,104,4,10,102
84,4,56,12,105,2,12,103
85,4,56,8,109,2,8,107
86,4,60,12,101,3,9,101
87,4,57,9,107,7,6,103
88,5,52,27,94,4,25,92
89,5,34,14,125,6,14,119
90,6,60,15,98,3,15,95
91,5,45,14,114,5,14,109
92,4,48,21,104,1,21,103
93,6,42,8,123,7,7,117
94,3,62,14,97,1,14,96
95,5,53,12,108,4,11,105
96,5,42,5,126,5,5,121
97,4,63,8,102,1,8,101
98,3,51,6,116,1,5,116
99,3,58,12,103,0,12,103
