timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,20,10,10,40,7,3,0,0.9210576
2,0,30,10,20,30,17,3,0,0.9211109
3,0,40,10,30,20,24,6,0,0.9210753
4,0,50,10,40,10,31,9,1,0.9211456
5,0,60,10,50,0,38,12,2,0.921152
6,0,70,20,50,0,32,18,7,0.9203823
7,0,80,30,50,0,26,24,8,0.9210824
8,0,90,40,50,0,21,29,9,0.9209872
9,0,100,50,50,0,13,37,9,0.9210249
10,0,110,60,50,0,8,42,12,0.9210611
11,0,120,70,50,0,4,46,13,0.9209287
12,0,130,80,50,0,2,48,13,0.9208578
13,1,139,90,49,1,1,48,14,0.9205985
14,3,147,99,48,2,2,46,14,0.9206716
15,3,157,107,50,0,2,48,16,0.9208739
16,4,166,117,49,1,0,49,17,0.9204633
17,4,176,126,50,0,1,49,18,0.9202657
18,4,186,136,50,0,0,50,18,0.9211741
19,7,193,146,47,3,0,47,18,0.9208394
20,9,201,153,48,2,1,47,18,0.9204692
21,9,211,161,50,0,0,50,19,0.9204345
22,15,215,171,44,6,0,44,19,0.9208198
23,18,222,175,47,3,3,44,20,0.9208752
24,18,232,182,50,0,2,48,20,0.9209311
25,20,240,192,48,2,1,47,21,0.9204619
26,21,249,200,49,1,1,48,22,0.926698
27,23,257,209,48,2,1,47,23,0.9209712
28,27,263,217,46,4,1,45,24,0.9204923
29,30,270,223,47,3,1,46,25,0.9209512
30,32,278,230,48,2,1,47,26,0.9209858
31,36,284,238,46,4,2,44,26,0.9205109
32,38,292,244,48,2,2,46,26,0.9209396
33,43,297,252,45,5,2,43,28,0.9208419
34,45,305,257,48,2,0,48,29,0.9208973
35,45,315,265,50,0,0,50,29,0.9203996
36,46,324,275,49,1,0,49,30,0.9208477
37,46,334,284,50,0,0,50,30,0.9202427
38,47,343,294,49,1,0,49,31,0.9208723
39,49,351,303,48,2,1,47,31,0.922808
40,53,357,311,46,4,1,45,33,0.9207069
41,57,363,317,46,4,0,46,33,0.9206167
42,59,371,323,48,2,1,47,34,0.9204948
43,63,377,331,46,4,1,45,34,0.9204007
44,63,387,337,50,0,1,49,35,0.9206404
45,64,396,347,49,1,0,49,35,0.9203079
46,69,401,356,45,5,0,45,36,0.9207503
47,70,410,361,49,1,1,48,38,0.9211165
48,71,419,370,49,1,1,48,38,0.9206369
49,73,427,379,48,2,1,47,39,0.9203985
50,76,424,377,47,3,1,46,40,0.9205328
51,78,422,374,48,2,0,48,43,0.9205625
52,80,420,372,48,2,0,48,45,0.9204042
53,81,419,370,49,1,0,49,45,0.920388
54,83,417,369,48,2,0,48,45,0.9202911
55,85,415,367,48,2,0,48,46,0.9204672
56,88,412,365,47,3,1,46,46,0.9204392
57,89,411,362,49,1,1,48,46,0.9205704
58,90,410,361,49,1,1,48,47,0.9203974
59,92,408,360,48,2,0,48,47,0.9203849
60,94,406,358,48,2,0,48,47,0.9204059
61,99,401,356,45,5,1,44,47,0.9204098
62,100,400,351,49,1,1,48,48,0.9206168
63,103,397,350,47,3,0,47,48,0.9204785
64,103,397,347,50,0,0,50,48,0.9204572
65,107,393,347,46,4,0,46,48,0.9209562
66,110,390,343,47,3,0,47,48,0.9205698
67,112,388,340,48,2,1,47,50,0.9204086
68,112,388,338,50,0,1,49,51,0.9206834
69,114,386,338,48,2,0,48,52,0.9211764
70,117,383,336,47,3,0,47,52,0.9205201
71,121,379,333,46,4,0,46,52,0.9204244
72,126,374,329,45,5,1,44,53,0.9206236
73,127,373,324,49,1,3,46,54,0.9208158
74,130,370,323,47,3,2,45,54,0.9205442
75,133,367,320,47,3,0,47,54,0.9206026
76,135,365,317,48,2,1,47,54,0.9204375
77,136,364,315,49,1,2,47,57,0.9204606
78,138,362,314,48,2,0,48,57,0.9204355
79,140,360,312,48,2,0,48,58,0.9205615
80,141,359,310,49,1,1,48,60,0.9203902
81,145,355,309,46,4,2,44,60,0.9203872
82,146,354,305,49,1,2,47,61,0.9205962
83,149,351,304,47,3,1,46,61,0.9204367
84,150,350,301,49,1,1,48,61,0.9206154
85,152,348,300,48,2,0,48,61,0.9204118
86,154,346,298,48,2,1,47,61,0.9203769
87,158,342,296,46,4,0,46,61,0.9204792
88,160,340,292,48,2,1,47,61,0.9205776
89,161,339,290,49,1,2,47,61,0.920443
90,162,338,289,49,1,3,46,62,0.920479
91,164,336,288,48,2,0,48,62,0.9205469
92,169,331,286,45,5,0,45,64,0.9228406
93,169,331,281,50,0,3,47,67,0.9208969
94,170,330,281,49,1,1,48,67,0.920413
95,174,326,280,46,4,1,45,68,0.9203719
96,176,324,276,48,2,0,48,69,0.9205816
97,180,320,274,46,4,1,45,70,0.9205367
98,180,320,270,50,0,2,48,70,0.9208513
99,182,318,270,48,2,2,46,70,0.920397
100,183,317,268,49,1,0,49,70,0.9205532
101,185,315,267,48,2,0,48,70,0.9202724
102,189,311,265,46,4,2,44,71,0.920459
103,190,310,261,49,1,3,46,72,0.9207401
104,193,307,260,47,3,1,46,72,0.9205372
105,197,303,257,46,4,0,46,73,0.9205531
106,198,302,253,49,1,2,47,73,0.9205111
107,200,300,252,48,2,1,47,74,0.9204666
108,202,298,250,48,2,2,46,74,0.920572
109,204,296,248,48,2,1,47,75,0.9208417
110,206,294,246,48,2,1,47,78,0.9205054
111,207,293,244,49,1,0,49,79,0.9205106
112,211,289,243,46,4,1,45,79,0.9202094
113,214,286,239,47,3,2,45,80,0.9205807
114,216,284,236,48,2,2,46,80,0.920815
115,218,282,234,48,2,2,46,81,0.9205558
116,219,281,232,49,1,0,49,81,0.92056
117,222,278,231,47,3,1,46,81,0.9209669
118,224,276,228,48,2,2,46,83,0.9205638
119,227,273,226,47,3,0,47,84,0.9206292
120,228,272,223,49,1,1,48,84,0.9205013
121,228,272,222,50,0,1,49,84,0.9204933
122,230,270,222,48,2,0,48,84,0.9209564
123,232,268,220,48,2,1,47,85,0.9206058
124,234,266,218,48,2,2,46,85,0.9205223
125,235,265,216,49,1,3,46,85,0.9205222
126,236,264,215,49,1,2,47,86,0.9205867
127,236,264,214,50,0,1,49,87,0.920516
128,239,261,214,47,3,1,46,87,0.9209148
129,242,258,211,47,3,0,47,88,0.9205472
130,246,254,208,46,4,2,44,90,0.9204197
131,249,251,204,47,3,1,46,90,0.9209186
132,252,248,201,47,3,4,43,91,0.9205852
133,252,248,198,50,0,2,48,93,0.9209308
134,256,244,198,46,4,1,45,94,0.920412
135,261,239,194,45,5,1,44,94,0.9205565
136,263,237,189,48,2,1,47,94,0.9208852
137,267,233,187,46,4,0,46,94,0.9205056
138,270,230,183,47,3,1,46,95,0.9204808
139,270,230,180,50,0,2,48,95,0.9206265
140,271,229,180,49,1,1,48,95,0.9203638
141,274,226,179,47,3,1,46,95,0.9203703
142,276,224,176,48,2,4,44,97,0.9204943
143,277,223,174,49,1,2,47,98,0.9208983
144,279,221,173,48,2,1,47,100,0.9204624
145,281,219,171,48,2,0,48,100,0.920473
146,285,215,169,46,4,1,45,102,0.9203311
147,285,215,165,50,0,3,47,102,0.9205572
148,291,209,165,44,6,2,42,102,0.920506
149,293,207,159,48,2,3,45,104,0.9209395
150,297,203,157,46,4,3,43,105,0.9206873
151,299,201,153,48,2,4,44,105,0.9209508
152,300,200,151,49,1,5,44,105,0.9209855
153,303,197,150,47,3,5,42,105,0.9210289
154,304,196,147,49,1,3,46,107,0.9209105
155,305,195,146,49,1,3,46,107,0.9204933
156,308,192,145,47,3,4,43,108,0.9204379
157,313,187,142,45,5,3,42,108,0.9209188
158,316,184,137,47,3,2,45,108,0.9208933
159,317,183,134,49,1,3,46,108,0.920565
160,318,182,133,49,1,2,47,108,0.9204935
161,321,179,132,47,3,2,45,108,0.9205842
162,323,177,129,48,2,3,45,109,0.9205343
163,327,173,127,46,4,4,42,111,0.9205843
164,328,172,123,49,1,4,45,112,0.9209173
165,329,171,122,49,1,3,46,113,0.9205685
166,331,169,121,48,2,2,46,113,0.9204507
167,334,166,119,47,3,3,44,114,0.9209118
168,336,164,116,48,2,1,47,115,0.9211241
169,338,162,114,48,2,2,46,115,0.9204241
170,345,155,112,43,7,4,39,116,0.920675
171,349,151,105,46,4,10,36,116,0.920953
172,351,149,101,48,2,9,39,117,0.9209017
173,353,147,99,48,2,7,41,117,0.9210148
174,353,147,97,50,0,3,47,118,0.9210931
