task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,12,26,0,0,4,-1,-1,-1,11,0,11,0,0,0,1,1,12,1.000000
1,0,1,1,26,58,0,0,4,-1,-1.000000,-1.000000,25,0,25,0,0,0,1,1,26,1.000000
2,1,2,5,14,33,0,3,3,4,0.000000,0.000000,9,3,9,0,0,0,1,4,13,1.000000
3,1,2,2,32,8,0,0,3,-1,-1.000000,-1.000000,28,0,30,0,0,0,1,1,31,1.071429
4,2,3,11,24,29,0,8,3,4,0.000000,0.000000,12,8,12,0,1,1,1,9,22,1.000000
5,2,3,3,24,32,0,0,4,-1,-1.000000,-1.000000,21,0,21,0,0,0,1,1,22,1.000000
6,3,4,13,32,14,1,7,3,3,0.000000,0.000000,19,9,19,0,0,0,1,10,29,1.000000
7,3,4,11,36,79,0,7,3,3,0.000000,1.000000,25,7,25,0,0,0,1,8,33,1.000000
8,4,5,8,27,13,1,5,3,3,0.000000,0.000000,19,3,19,0,0,0,1,4,23,1.000000
9,4,5,9,25,25,0,4,3,3,0.000000,0.000000,16,4,16,0,0,0,1,5,21,1.000000
10,5,6,13,26,44,0,7,3,4,0.000000,0.000000,13,7,13,0,0,0,1,8,21,1.000000
11,5,6,13,17,63,1,5,3,4,0.000000,0.000000,4,7,4,0,0,0,1,8,12,1.000000
12,6,7,10,44,63,0,3,3,4,0.000000,0.000000,27,3,33,0,1,1,1,4,38,1.222222
13,6,7,8,35,46,0,1,4,4,0.000000,0.000000,27,1,27,0,0,0,1,2,29,1.000000
14,7,8,30,48,78,11,9,3,3,0.000000,1.000000,12,19,16,3,2,5,1,23,41,1.333333
15,7,8,9,32,21,0,1,4,4,0.000000,0.000000,21,1,23,0,0,0,1,2,25,1.095238
16,8,9,17,29,30,1,9,3,3,0.000000,0.000000,12,8,12,0,0,0,1,9,21,1.000000
17,8,9,22,26,40,3,9,3,3,0.000000,1.000000,4,11,4,2,0,2,1,14,18,1.000000
18,9,10,22,40,20,1,7,3,4,0.000000,0.000000,16,12,18,0,0,0,1,13,31,1.125000
19,9,10,16,30,51,3,8,3,4,0.000000,0.000000,14,6,14,0,0,0,1,7,21,1.000000
20,10,11,21,48,47,0,10,3,4,0.000000,0.000000,26,10,26,0,1,1,1,11,38,1.000000
21,10,11,14,26,31,1,8,3,4,0.000000,0.000000,12,3,12,0,0,0,1,4,16,1.000000
22,11,12,13,34,16,0,1,4,4,0.000000,0.000000,21,1,21,0,0,0,1,2,23,1.000000
23,11,12,14,42,53,0,2,4,4,0.000000,0.000000,28,2,28,0,0,0,1,3,31,1.000000
24,12,13,17,25,78,2,4,3,3,0.000000,1.000000,5,4,7,0,1,1,1,5,13,1.400000
25,12,13,13,44,76,0,0,3,-1,-1.000000,-1.000000,29,0,31,0,0,0,1,1,32,1.068966
26,13,14,19,49,6,1,10,3,3,0.000000,0.000000,30,5,30,0,0,0,1,6,36,1.000000
27,13,14,27,39,43,0,13,3,4,0.000000,0.000000,12,13,12,0,0,0,1,14,26,1.000000
28,14,15,23,42,37,0,8,3,4,0.000000,1.000000,12,8,18,0,1,1,1,9,28,1.500000
29,14,15,15,25,59,0,0,4,-1,-1.000000,-1.000000,9,0,9,0,1,1,1,1,11,1.000000
30,15,16,18,49,36,0,2,4,4,0.000000,0.000000,31,2,31,0,0,0,1,3,34,1.000000
31,15,16,28,50,33,1,14,3,4,0.000000,0.000000,15,12,21,0,1,1,1,13,35,1.400000
32,16,17,20,38,41,0,3,3,4,0.000000,1.000000,12,3,16,0,2,2,1,4,22,1.333333
33,16,17,21,43,56,0,4,3,4,0.000000,1.000000,20,4,22,0,0,0,1,5,27,1.100000
34,17,18,20,60,18,0,2,4,4,0.000000,0.000000,34,2,38,0,2,2,1,3,43,1.117647
35,17,18,27,33,71,0,9,3,3,0.000000,0.000000,4,9,6,0,0,0,1,10,16,1.500000
36,18,19,19,45,9,0,0,3,-1,-1.000000,-1.000000,23,0,25,0,1,1,1,1,27,1.086957
37,18,19,22,36,77,0,3,3,2,0.000000,1.000000,14,3,14,0,0,0,1,4,18,1.000000
38,19,20,20,38,62,0,0,4,-1,-1.000000,-1.000000,18,0,18,0,0,0,1,1,19,1.000000
39,19,20,32,67,27,2,9,3,4,0.000000,0.000000,25,12,35,0,0,0,1,13,48,1.400000
40,20,21,21,42,72,0,0,3,-1,-1.000000,-1.000000,21,0,21,0,0,0,1,1,22,1.000000
41,20,21,29,51,75,0,8,3,3,0.000000,0.000000,21,8,21,0,1,1,1,9,31,1.000000
42,21,22,25,63,74,0,3,3,3,0.000000,0.000000,20,3,38,0,0,0,1,4,42,1.900000
43,21,22,22,64,45,0,0,4,-1,-1.000000,-1.000000,36,0,42,0,0,0,1,1,43,1.166667
44,22,23,28,45,22,1,7,3,4,0.000000,0.000000,17,5,17,0,0,0,1,6,23,1.000000
45,22,23,26,69,12,0,3,3,3,1.000000,1.000000,23,3,43,0,0,0,1,4,47,1.869565
46,23,24,48,52,34,4,14,3,4,0.000000,1.000000,4,23,4,1,0,1,1,25,29,1.000000
47,23,24,33,45,31,2,8,3,4,0.000000,0.000000,12,8,12,1,0,1,1,10,22,1.000000
48,24,25,29,50,52,2,10,3,4,0.000000,0.000000,17,4,21,0,0,0,1,5,26,1.235294
49,24,25,29,38,28,0,4,4,4,0.000000,0.000000,8,4,8,0,1,1,1,5,14,1.000000
50,25,26,30,45,49,0,4,4,4,0.000000,0.000000,15,4,15,0,0,0,1,5,20,1.000000
51,25,26,28,73,31,0,2,4,4,0.000000,0.000000,41,2,45,0,0,0,1,3,48,1.097561
52,26,27,29,58,22,0,2,3,4,0.000000,0.000000,23,2,29,0,0,0,1,3,32,1.260870
53,26,27,29,64,15,0,2,4,4,2.000000,2.000000,33,2,35,0,0,0,1,3,38,1.060606
54,27,28,32,46,52,0,4,3,4,0.000000,1.000000,14,4,14,0,0,0,1,5,19,1.000000
55,27,28,28,46,44,0,0,3,-1,-1.000000,-1.000000,18,0,18,0,0,0,1,1,19,1.000000
56,28,29,32,53,61,0,3,4,4,0.000000,0.000000,21,3,21,0,0,0,1,4,25,1.000000
57,28,29,35,69,39,0,6,4,4,0.000000,0.000000,32,6,34,0,0,0,1,7,41,1.062500
58,29,30,32,44,33,0,2,4,4,1.000000,2.000000,12,2,12,0,0,0,1,3,15,1.000000
59,29,30,30,62,60,0,0,4,-1,-1.000000,-1.000000,32,0,32,0,0,0,1,1,33,1.000000
60,30,31,39,50,54,2,7,3,4,0.000000,0.000000,11,7,11,1,0,1,1,9,20,1.000000
61,30,31,39,60,59,0,8,3,4,0.000000,1.000000,19,8,21,0,0,0,1,9,30,1.105263
62,31,32,33,54,54,1,10,3,4,0.000000,0.000000,19,1,21,0,0,0,1,2,23,1.105263
63,31,32,34,51,19,0,2,4,4,0.000000,2.000000,13,2,17,0,0,0,1,3,20,1.307692
64,32,33,41,45,40,1,12,3,3,1.000000,1.000000,4,8,4,0,0,0,1,9,13,1.000000
65,32,33,33,53,30,0,0,4,-1,-1.000000,-1.000000,20,0,20,0,0,0,1,1,21,1.000000
66,33,34,36,53,24,0,2,4,4,0.000000,2.000000,17,2,17,0,0,0,1,3,20,1.000000
67,33,34,34,51,25,0,0,3,-1,-1.000000,-1.000000,15,0,15,0,2,2,1,1,18,1.000000
68,34,35,42,61,14,0,7,3,3,0.000000,0.000000,17,7,19,0,0,0,1,8,27,1.117647
69,34,35,40,61,34,2,12,3,4,0.000000,0.000000,21,5,21,0,0,0,1,6,27,1.000000
70,35,36,38,66,51,1,3,4,4,0.000000,2.000000,27,2,27,0,1,1,1,3,31,1.000000
71,35,36,36,43,73,0,0,3,-1,-1.000000,-1.000000,7,0,7,0,0,0,1,1,8,1.000000
72,36,37,40,69,38,1,6,4,4,0.000000,0.000000,29,3,29,0,0,0,1,4,33,1.000000
73,36,37,38,55,17,0,1,4,4,0.000000,0.000000,17,1,17,0,0,0,1,2,19,1.000000
74,37,38,40,71,48,0,2,4,4,0.000000,0.000000,29,2,31,0,0,0,1,3,34,1.068966
75,37,38,47,53,38,4,5,3,4,0.000000,0.000000,6,9,6,0,0,0,1,10,16,1.000000
76,38,39,44,55,42,1,4,4,4,0.000000,0.000000,10,5,10,0,1,1,1,6,17,1.000000
77,38,39,49,64,13,5,14,3,4,0.000000,1.000000,15,8,15,2,0,2,1,11,26,1.000000
78,39,40,42,64,41,0,2,4,4,1.000000,1.000000,21,2,21,0,1,1,1,3,25,1.000000
79,39,40,54,73,38,6,6,3,4,0.000000,1.000000,17,14,19,0,0,0,1,15,34,1.117647
80,40,41,41,54,6,0,0,3,-1,-1.000000,-1.000000,13,0,13,0,0,0,1,1,14,1.000000
81,40,41,42,78,38,0,1,4,4,0.000000,0.000000,36,1,36,0,0,0,1,2,38,1.000000
82,41,42,55,106,64,2,8,3,4,0.000000,1.000000,37,12,51,1,0,1,1,14,65,1.378378
83,41,42,48,82,55,1,12,4,4,0.000000,0.000000,34,6,34,0,0,0,1,7,41,1.000000
84,42,43,50,80,16,1,4,3,2,1.000000,1.000000,18,7,30,0,0,0,1,8,38,1.666667
85,42,43,47,74,46,0,4,3,4,0.000000,0.000000,25,4,27,0,0,0,1,5,32,1.080000
86,43,44,49,57,57,1,8,4,4,0.000000,0.000000,8,5,8,0,0,0,1,6,14,1.000000
87,43,44,49,57,72,0,5,3,4,1.000000,1.000000,6,5,8,0,0,0,1,6,14,1.333333
88,44,45,49,64,63,1,3,3,3,1.000000,1.000000,15,4,15,0,0,0,1,5,20,1.000000
89,44,45,47,84,23,0,2,4,4,0.000000,0.000000,33,2,37,0,0,0,1,3,40,1.121212
90,45,46,46,79,62,0,0,4,-1,-1.000000,-1.000000,29,0,33,0,0,0,1,1,34,1.137931
91,45,46,49,72,2,0,3,4,4,1.000000,1.000000,23,3,23,0,0,0,1,4,27,1.000000
92,46,47,50,77,9,0,3,3,3,0.000000,0.000000,15,3,27,0,0,0,1,4,31,1.800000
93,46,47,50,70,16,0,3,3,3,0.000000,0.000000,18,3,20,0,0,0,1,4,24,1.111111
94,47,48,48,78,35,0,0,4,-1,-1.000000,-1.000000,29,0,29,0,1,1,1,1,31,1.000000
95,47,48,49,71,64,0,1,3,3,0.000000,1.000000,15,1,21,0,1,1,1,2,24,1.400000
96,48,49,55,76,52,1,6,3,4,0.000000,1.000000,17,6,19,0,2,2,1,7,28,1.117647
97,48,49,56,74,47,0,6,3,4,0.000000,2.000000,18,6,18,1,0,1,1,8,26,1.000000
98,49,50,55,69,40,1,5,4,4,0.000000,0.000000,14,5,14,0,0,0,1,6,20,1.000000
99,49,50,56,81,5,1,7,3,3,1.000000,1.000000,23,5,25,1,0,1,1,7,32,1.086957
100,50,51,54,76,52,1,2,3,4,0.000000,1.000000,15,2,21,1,1,2,1,4,26,1.400000
101,50,51,55,70,27,0,4,3,4,0.000000,0.000000,13,4,15,0,0,0,1,5,20,1.153846
102,51,52,61,85,58,1,5,3,4,1.000000,1.000000,19,8,23,1,1,2,1,10,34,1.210526
103,51,52,54,57,78,0,2,3,3,0.000000,1.000000,3,2,3,0,0,0,1,3,6,1.000000
104,52,53,58,76,21,1,3,3,3,0.000000,0.000000,12,4,18,1,0,1,1,6,24,1.500000
105,52,53,58,82,44,2,8,3,4,0.000000,3.000000,22,3,24,2,0,2,1,6,30,1.090909
106,53,54,59,90,5,0,4,3,4,0.000000,0.000000,25,4,29,1,2,3,1,6,37,1.160000
107,53,54,54,74,29,0,0,3,-1,-1.000000,-1.000000,18,0,20,0,0,0,1,1,21,1.111111
108,54,55,65,84,71,4,4,3,4,0.000000,0.000000,19,10,19,0,0,0,1,11,30,1.000000
109,54,55,55,76,21,0,0,3,-1,-1.000000,-1.000000,19,0,21,0,0,0,1,1,22,1.105263
110,55,56,59,94,19,0,3,4,4,0.000000,0.000000,33,3,35,0,0,0,1,4,39,1.060606
111,55,56,56,73,53,0,0,3,-1,-1.000000,-1.000000,17,0,17,0,0,0,1,1,18,1.000000
112,56,57,59,84,51,1,9,3,4,1.000000,2.000000,20,2,24,0,1,1,1,3,28,1.200000
113,56,57,60,98,43,0,1,3,3,0.000000,0.000000,24,3,36,0,2,2,1,4,42,1.500000
114,57,58,64,77,17,3,5,3,4,1.000000,1.000000,13,5,13,1,0,1,1,7,20,1.000000
115,57,58,67,81,37,5,6,3,4,0.000000,1.000000,11,8,13,1,1,2,1,10,24,1.181818
116,58,59,68,83,36,5,10,3,4,0.000000,1.000000,9,7,15,2,0,2,1,10,25,1.666667
