timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,2,0,0,0.9205244
2,0,6,2,4,76,4,0,0,0.9206461
3,0,8,2,6,74,5,1,0,0.9211536
4,0,10,2,8,72,6,2,0,0.9210883
5,0,12,2,10,70,8,2,0,0.9208672
6,0,14,2,12,68,9,3,0,0.920413
7,0,16,2,14,66,7,7,0,0.9209522
8,1,17,2,15,65,8,7,0,0.9208713
9,1,19,2,17,63,8,9,0,0.9209286
10,1,21,2,19,61,8,11,0,0.9211508
11,1,23,2,21,59,9,12,0,0.9204118
12,1,25,2,23,57,10,13,0,0.9210888
13,2,26,2,24,56,9,15,0,0.9206906
14,2,28,2,26,54,8,18,0,0.9204934
15,2,30,2,28,52,7,21,1,0.9209261
16,5,29,2,27,53,8,19,1,0.9211552
17,5,31,2,29,51,10,19,2,0.9210477
18,5,33,2,31,49,11,20,2,0.9209614
19,6,34,2,32,48,9,23,4,0.9203259
20,7,35,2,33,47,9,24,5,0.9202064
21,8,36,2,34,46,8,26,5,0.9203304
22,10,36,2,34,46,7,27,6,0.9203943
23,10,38,2,36,44,8,28,6,0.9202398
24,13,37,2,35,45,7,28,7,0.9212035
25,14,38,2,36,44,8,28,7,0.9207577
26,16,38,2,36,44,10,26,7,0.9202259
27,16,40,2,38,42,10,28,8,0.921204
28,17,41,2,39,41,11,28,8,0.9211086
29,18,42,2,40,40,11,29,8,0.9211416
30,19,43,2,41,39,12,29,8,0.9206589
31,21,43,2,41,39,11,30,9,0.9210296
32,25,41,2,39,41,11,28,9,0.9211201
33,26,42,2,40,40,12,28,11,0.920241
34,27,43,2,41,39,13,28,11,0.9207996
35,27,45,2,43,37,13,30,11,0.9202628
36,29,45,2,43,37,12,31,11,0.921019
37,30,46,2,44,36,13,31,11,0.9208464
38,32,46,2,44,36,12,32,11,0.9209843
39,32,48,2,46,34,10,36,13,0.921175
40,35,47,2,45,35,12,33,14,0.9206083
41,38,46,2,44,36,12,32,16,0.9208315
42,40,46,2,44,36,10,34,18,0.9212001
43,43,45,2,43,37,9,34,18,0.9209493
44,46,44,2,42,38,9,33,19,0.9206934
45,48,44,2,42,38,6,36,20,0.9209211
46,50,44,2,42,38,5,37,21,0.9206059
47,50,46,2,44,36,6,38,21,0.9209959
48,52,46,2,44,36,8,36,22,0.9211829
49,54,46,2,44,36,8,36,23,0.9205481
50,54,48,2,46,34,8,38,23,0.9205223
51,54,50,2,48,32,8,40,23,0.9210384
52,56,50,2,48,32,9,39,23,0.9203545
53,59,49,2,47,33,10,37,24,0.9204714
