task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,12,36,0,0,4,-1,-1,-1,11,0,11,0,0,0,1,1,12,1.000000
1,0,1,1,26,71,0,0,4,-1,-1.000000,-1.000000,25,0,25,0,0,0,1,1,26,1.000000
2,0,1,4,13,50,0,3,3,4,0.000000,0.000000,9,3,9,0,0,0,1,4,13,1.000000
3,0,1,1,41,8,0,0,3,-1,-1.000000,-1.000000,28,0,40,0,0,0,1,1,41,1.428571
4,0,1,9,23,39,2,8,3,4,0.000000,0.000000,12,8,14,0,0,0,1,9,23,1.166667
5,1,2,2,23,42,0,0,4,-1,-1.000000,-1.000000,21,0,21,0,0,0,1,1,22,1.000000
6,1,2,2,27,21,0,0,3,-1,-1.000000,-1.000000,19,0,25,0,0,0,1,1,26,1.315789
7,1,2,10,36,92,4,4,3,2,0.000000,0.000000,25,8,25,0,1,1,1,9,35,1.000000
8,1,2,2,21,18,0,0,3,-1,-1.000000,-1.000000,19,0,19,0,0,0,1,1,20,1.000000
9,1,2,6,22,39,1,2,3,3,0.000000,0.000000,16,4,16,0,0,0,1,5,21,1.000000
10,2,3,11,35,57,6,7,3,4,0.000000,0.000000,13,8,23,0,1,1,1,9,33,1.769231
11,2,3,5,9,99,2,2,3,3,0.000000,0.000000,4,2,4,0,0,0,1,3,7,1.000000
12,2,3,7,40,98,2,4,3,3,0.000000,1.000000,27,4,33,0,0,0,1,5,38,1.222222
13,2,3,4,31,59,0,1,4,4,0.000000,0.000000,27,1,27,0,0,0,1,2,29,1.000000
14,2,3,7,21,92,2,4,3,4,0.000000,0.000000,12,4,12,0,2,2,1,5,19,1.000000
15,3,4,5,28,31,0,1,4,4,0.000000,0.000000,21,1,23,0,0,0,1,2,25,1.095238
16,3,4,20,32,17,7,8,3,2,0.000000,2.000000,12,16,12,0,0,0,1,17,29,1.000000
17,3,4,15,20,56,1,12,3,4,0.000000,0.000000,4,11,4,0,1,1,1,12,17,1.000000
18,3,4,11,35,30,0,7,3,4,0.000000,1.000000,16,7,24,0,0,0,1,8,32,1.500000
19,3,4,14,34,61,1,8,3,4,0.000000,0.000000,14,9,20,1,0,1,1,11,31,1.428571
20,4,5,16,44,92,6,5,3,4,0.000000,1.000000,26,10,28,1,0,1,1,12,40,1.076923
21,4,5,10,22,40,0,5,3,3,0.000000,0.000000,12,5,12,0,0,0,1,6,18,1.000000
22,4,5,6,27,28,0,1,4,4,0.000000,0.000000,21,1,21,0,0,0,1,2,23,1.000000
23,4,5,6,34,62,0,1,4,4,0.000000,0.000000,28,1,28,0,0,0,1,2,30,1.000000
24,4,5,6,11,94,0,1,3,3,0.000000,1.000000,5,1,5,0,0,0,1,2,7,1.000000
25,5,6,6,37,86,0,0,3,-1,-1.000000,-1.000000,29,0,31,0,0,0,1,1,32,1.068966
26,5,6,28,61,16,7,6,3,4,0.000000,1.000000,30,21,32,1,1,2,1,23,56,1.066667
27,5,6,23,40,92,13,3,3,2,1.000000,1.000000,12,17,16,0,1,1,1,18,35,1.333333
28,5,6,13,34,47,2,8,3,4,0.000000,1.000000,12,5,20,2,1,3,1,8,29,1.666667
29,5,6,6,15,70,0,0,4,-1,-1.000000,-1.000000,9,0,9,0,0,0,1,1,10,1.000000
30,6,7,9,42,46,0,2,4,4,0.000000,0.000000,31,2,33,0,0,0,1,3,36,1.064516
31,6,7,13,35,93,2,6,3,4,0.000000,1.000000,15,6,19,0,3,3,1,7,29,1.266667
32,6,7,9,23,53,0,2,3,4,0.000000,0.000000,12,2,14,0,0,0,1,3,17,1.166667
33,6,7,11,33,66,0,4,3,4,0.000000,1.000000,20,4,22,0,0,0,1,5,27,1.100000
34,6,7,7,45,26,0,0,4,-1,-1.000000,-1.000000,34,0,38,0,0,0,1,1,39,1.117647
35,7,8,17,21,81,0,9,3,3,0.000000,0.000000,4,9,4,0,0,0,1,10,14,1.000000
36,7,8,8,37,9,0,0,3,-1,-1.000000,-1.000000,23,0,29,0,0,0,1,1,30,1.260870
37,7,8,12,29,95,4,6,3,3,0.000000,1.000000,14,4,16,0,1,1,1,5,22,1.142857
38,7,8,8,26,80,0,0,4,-1,-1.000000,-1.000000,18,0,18,0,0,0,1,1,19,1.000000
39,7,8,17,56,38,2,9,3,4,0.000000,0.000000,25,9,39,0,0,0,1,10,49,1.560000
40,8,9,9,32,82,0,0,3,-1,-1.000000,-1.000000,21,0,23,0,0,0,1,1,24,1.095238
41,8,9,10,33,95,0,1,3,3,2.000000,2.000000,21,1,23,0,0,0,1,2,25,1.095238
42,8,9,9,45,87,0,0,3,-1,-1.000000,-1.000000,20,0,36,0,0,0,1,1,37,1.800000
43,8,9,9,45,55,0,0,4,-1,-1.000000,-1.000000,36,0,36,0,0,0,1,1,37,1.000000
