agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,10,33,13,220,4,12,217
1,8,14,20,232,2,19,231
2,12,25,39,202,10,34,197
3,10,36,21,209,2,20,208
4,9,37,17,212,6,15,208
5,10,45,15,206,4,15,202
6,8,59,16,191,3,16,188
7,11,61,17,188,6,16,183
8,8,48,14,204,2,14,202
9,9,60,29,177,4,29,173
10,12,27,20,219,7,19,213
11,10,31,22,213,5,19,211
12,11,40,5,221,3,5,218
13,10,41,13,212,3,12,210
14,12,44,14,208,6,13,203
15,11,45,18,203,4,18,199
16,9,53,13,200,6,13,194
17,9,28,25,213,5,24,209
18,11,49,8,209,4,8,205
19,10,58,14,194,6,13,189
20,12,21,28,217,5,25,215
21,10,59,10,197,4,10,193
22,10,48,17,201,6,17,195
23,10,47,18,201,1,18,200
24,12,16,28,222,5,26,219
25,10,51,9,206,2,9,204
26,11,34,29,203,7,29,196
27,9,59,7,200,3,6,198
28,9,50,20,196,2,19,195
29,11,44,24,198,5,24,193
30,10,50,19,197,5,18,193
31,12,32,40,194,7,37,190
32,9,36,22,208,3,22,205
33,11,37,29,200,4,28,197
34,12,33,13,220,2,12,219
35,9,43,24,199,3,23,197
36,9,45,8,213,5,7,209
37,12,44,18,204,9,16,197
38,9,23,16,227,2,16,225
39,9,61,20,185,3,20,182
40,9,52,30,184,3,29,182
41,9,56,28,182,2,28,180
42,9,28,22,216,1,22,215
43,8,41,9,216,8,8,209
44,8,57,15,194,0,15,194
45,11,55,14,197,3,14,194
46,11,52,19,195,1,19,194
47,11,39,16,211,9,14,204
48,9,15,12,239,5,10,236
49,9,53,17,196,4,17,192
