timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,20,10,10,40,10,0,0,0.9207699
2,0,30,10,20,30,19,1,0,0.9208206
3,0,40,10,30,20,25,5,0,0.9209604
4,0,50,10,40,10,33,7,4,0.9203545
5,0,60,10,50,0,40,10,4,0.92091
6,0,70,20,50,0,32,18,5,0.920854
7,0,80,30,50,0,30,20,6,0.9204159
8,0,90,40,50,0,25,25,6,0.9205542
9,0,100,50,50,0,20,30,7,0.9204791
10,0,110,60,50,0,16,34,9,0.9209322
11,1,119,70,49,1,11,38,9,0.9206303
12,3,127,79,48,2,8,40,10,0.9202519
13,3,137,87,50,0,8,42,11,0.9210532
14,6,144,97,47,3,4,43,11,0.9208807
15,6,154,104,50,0,2,48,11,0.9206861
16,9,161,114,47,3,0,47,14,0.9207918
17,11,169,121,48,2,2,46,16,0.9210578
18,14,176,129,47,3,2,45,16,0.9211656
19,16,184,136,48,2,2,46,16,0.9203524
20,18,192,144,48,2,2,46,17,0.9211491
21,21,199,152,47,3,1,46,17,0.9202867
22,21,209,159,50,0,1,49,17,0.9202067
23,22,218,169,49,1,0,49,17,0.9206418
24,24,226,178,48,2,0,48,18,0.9207787
25,29,231,186,45,5,0,45,21,0.9203254
26,33,237,191,46,4,3,43,21,0.920437
27,36,244,197,47,3,2,45,21,0.9205723
28,39,251,204,47,3,2,45,23,0.9203186
29,41,259,211,48,2,3,45,24,0.9204509
30,48,262,219,43,7,0,43,25,0.9204161
31,50,270,222,48,2,3,45,25,0.9211039
32,54,276,230,46,4,3,43,26,0.9204365
33,54,286,236,50,0,1,49,26,0.92106
34,56,294,246,48,2,0,48,27,0.9207565
35,60,300,254,46,4,1,45,28,0.9210077
36,66,304,260,44,6,1,43,28,0.9203505
37,69,311,264,47,3,4,43,28,0.9207844
38,72,318,271,47,3,3,44,29,0.9207635
39,74,326,278,48,2,1,47,29,0.9207097
40,79,331,286,45,5,1,44,29,0.9210409
41,84,336,291,45,5,3,42,30,0.920531
42,84,346,296,50,0,3,47,30,0.9209418
43,86,354,306,48,2,2,46,31,0.9202503
44,89,361,314,47,3,1,46,31,0.9202491
45,92,368,321,47,3,0,47,32,0.920243
46,96,374,328,46,4,0,46,34,0.921035
47,101,379,334,45,5,2,43,34,0.9202246
48,106,384,339,45,5,2,43,35,0.9210631
49,110,390,344,46,4,2,44,35,0.920568
50,112,388,340,48,2,1,47,35,0.9205651
51,118,382,338,44,6,0,44,36,0.9210363
52,124,376,332,44,6,2,42,36,0.9204952
53,129,371,326,45,5,5,40,36,0.9210325
54,129,371,321,50,0,3,47,40,0.9201863
55,134,366,321,45,5,2,43,43,0.9210377
56,137,363,316,47,3,3,44,44,0.9207133
57,138,362,313,49,1,2,47,46,0.9205077
58,140,360,312,48,2,0,48,47,0.9210832
59,145,355,310,45,5,1,44,49,0.9208975
60,146,354,305,49,1,1,48,52,0.9206926
61,150,350,304,46,4,1,45,53,0.9208134
62,154,346,300,46,4,0,46,53,0.9203744
63,155,345,296,49,1,1,48,53,0.9211779
64,157,343,295,48,2,0,48,53,0.9208163
65,159,341,293,48,2,1,47,54,0.9208132
66,164,336,291,45,5,2,43,56,0.9210018
67,168,332,286,46,4,4,42,58,0.9206945
68,170,330,282,48,2,0,48,60,0.920927
69,173,327,280,47,3,0,47,61,0.9208084
70,175,325,277,48,2,0,48,61,0.9210204
71,177,323,275,48,2,1,47,63,0.9208894
72,182,318,273,45,5,1,44,64,0.9210617
73,183,317,268,49,1,1,48,67,0.9205385
74,184,316,267,49,1,1,48,67,0.9207867
75,187,313,266,47,3,1,46,71,0.9208152
76,191,309,263,46,4,0,46,71,0.9202271
77,192,308,259,49,1,0,49,72,0.9211652
78,194,306,258,48,2,0,48,73,0.9206258
79,198,302,256,46,4,0,46,73,0.9210844
80,201,299,252,47,3,1,46,73,0.920206
81,203,297,249,48,2,2,46,73,0.9202234
82,206,294,247,47,3,3,44,73,0.921156
83,209,291,244,47,3,2,45,73,0.9204877
84,212,288,241,47,3,3,44,74,0.9203681
85,213,287,238,49,1,2,47,74,0.9205114
86,214,286,237,49,1,1,48,74,0.9211594
87,216,284,236,48,2,2,46,74,0.9209469
88,217,283,234,49,1,3,46,74,0.9202542
89,221,279,233,46,4,3,43,74,0.9211759
90,223,277,229,48,2,3,45,74,0.9206656
91,224,276,227,49,1,1,48,77,0.9203508
92,225,275,226,49,1,1,48,77,0.9208395
93,229,271,225,46,4,1,45,77,0.9207957
94,231,269,221,48,2,2,46,77,0.9203772
95,234,266,219,47,3,2,45,78,0.9204948
96,236,264,216,48,2,2,46,79,0.9211477
97,240,260,214,46,4,2,44,80,0.920284
98,245,255,210,45,5,2,43,80,0.9205891
99,246,254,205,49,1,3,46,80,0.9207619
100,247,253,204,49,1,3,46,80,0.9212117
101,248,252,203,49,1,3,46,80,0.9201988
102,248,252,202,50,0,3,47,81,0.9211974
103,251,249,202,47,3,2,45,82,0.9210893
104,252,248,199,49,1,1,48,82,0.9203246
105,257,243,198,45,5,0,45,83,0.9208395
106,258,242,193,49,1,2,47,83,0.9206924
107,260,240,192,48,2,2,46,83,0.9209995
108,263,237,190,47,3,3,44,83,0.9211423
109,264,236,187,49,1,0,49,85,0.9205451
110,265,235,186,49,1,1,48,85,0.9206222
111,267,233,185,48,2,2,46,87,0.9209431
112,268,232,183,49,1,3,46,89,0.9202365
113,271,229,182,47,3,3,44,91,0.9211383
114,277,223,179,44,6,2,42,93,0.9205553
115,281,219,173,46,4,4,42,94,0.9209339
116,285,215,169,46,4,3,43,97,0.9209502
117,285,215,165,50,0,3,47,97,0.9207354
118,290,210,165,45,5,1,44,97,0.9209984
119,290,210,160,50,0,4,46,97,0.9204833
120,292,208,160,48,2,2,46,98,0.9202733
121,292,208,158,50,0,1,49,99,0.9203371
122,294,206,158,48,2,1,47,100,0.9207078
123,296,204,156,48,2,0,48,102,0.921027
124,297,203,154,49,1,0,49,105,0.920784
125,301,199,153,46,4,0,46,107,0.9206321
126,302,198,149,49,1,2,47,110,0.9211804
127,303,197,148,49,1,2,47,111,0.9210219
128,306,194,147,47,3,3,44,112,0.9210608
129,306,194,144,50,0,3,47,114,0.9205347
130,307,193,144,49,1,2,47,114,0.9210062
131,311,189,143,46,4,2,44,115,0.9209829
132,315,185,139,46,4,4,42,115,0.920528
133,317,183,135,48,2,7,41,116,0.9208446
134,317,183,133,50,0,5,45,117,0.9209776
135,321,179,133,46,4,4,42,120,0.9204816
136,322,178,129,49,1,6,43,121,0.9202051
137,322,178,128,50,0,4,46,121,0.9206713
138,324,176,128,48,2,2,46,123,0.9202451
139,324,176,126,50,0,2,48,123,0.9202196
140,324,176,126,50,0,2,48,123,0.9208688
141,325,175,126,49,1,1,48,123,0.9209148
142,329,171,125,46,4,2,44,123,0.9210613
