task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,122,159,1,2,6,28,5,36,1,1,122,159,1.285714
1,0,1,150,164,28,0,11,14,8,14,0,1,150,164,1.000000
2,0,1,3,31,7,0,2,28,2,28,0,1,3,31,1.000000
3,0,1,7,34,3,2,6,27,6,27,0,1,7,34,1.000000
4,0,1,6,35,36,1,3,26,5,28,1,1,6,35,1.076923
5,0,1,51,68,25,1,9,13,5,17,0,1,51,68,1.307692
6,0,1,1,31,31,0,0,30,0,30,0,1,1,31,1.000000
7,0,1,6,36,14,2,5,30,4,30,1,1,6,36,1.000000
8,0,1,23,31,10,0,5,8,6,8,1,1,23,31,1.000000
9,0,1,4,44,5,0,3,32,3,40,0,1,4,44,1.250000
10,1,2,2,28,22,0,0,24,0,26,0,1,1,27,1.083333
11,1,2,10,44,36,1,7,16,8,34,0,1,9,43,2.125000
12,1,2,125,150,14,1,5,23,3,25,1,1,124,149,1.086957
13,1,2,3,22,34,0,1,17,1,19,0,1,2,21,1.117647
14,1,2,2,22,33,0,0,20,0,20,0,1,1,21,1.000000
15,1,2,2,27,43,0,0,25,0,25,0,1,1,26,1.000000
16,1,2,4,27,17,1,3,21,2,23,0,1,3,26,1.095238
17,1,2,7,36,41,1,6,27,5,29,0,1,6,35,1.074074
18,1,2,179,195,1,5,9,16,5,16,1,1,178,194,1.000000
19,1,2,6,25,0,1,2,17,4,19,0,1,5,24,1.117647
20,2,3,121,141,29,2,13,14,7,20,0,1,119,139,1.428571
21,2,3,125,145,37,1,10,13,6,19,1,1,123,143,1.461538
22,2,3,9,24,32,4,6,14,5,14,2,1,7,22,1.000000
23,2,3,7,22,38,3,5,15,3,15,1,1,5,20,1.000000
24,2,3,5,33,11,1,4,28,2,28,0,1,3,31,1.000000
25,2,3,79,109,15,2,10,30,4,30,0,1,77,107,1.000000
26,2,3,4,44,26,0,1,40,1,40,0,1,2,42,1.000000
27,2,3,4,32,9,0,1,28,1,28,0,1,2,30,1.000000
28,2,3,10,30,0,0,7,18,7,20,0,1,8,28,1.111111
29,2,3,3,6,20,0,0,3,0,3,0,1,1,4,1.000000
30,3,4,6,37,48,0,2,29,2,31,0,1,3,34,1.068966
31,3,4,76,109,16,1,21,31,2,33,0,1,73,106,1.064516
32,3,4,8,12,4,0,4,4,4,4,0,1,5,9,1.000000
33,3,4,190,222,45,1,12,26,6,30,4,1,187,219,1.153846
34,3,4,6,32,12,0,2,26,2,26,0,1,3,29,1.000000
35,3,4,113,147,13,1,14,24,2,34,0,1,110,144,1.416667
36,3,4,6,44,21,2,4,34,2,38,0,1,3,41,1.117647
37,3,4,30,55,46,2,16,25,3,25,0,1,27,52,1.000000
38,3,4,28,44,8,1,11,13,3,15,1,1,25,41,1.153846
39,3,4,6,29,39,2,2,22,2,22,1,1,3,26,1.000000
40,4,5,13,25,19,3,7,12,7,12,1,1,9,21,1.000000
