task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,12,11,0,0,11,0,11,0,1,1,12,1.000000
1,0,1,1,28,46,0,0,25,0,27,0,1,1,28,1.080000
2,0,1,4,14,18,0,3,9,3,9,1,1,4,14,1.000000
3,0,1,11,46,0,3,3,28,10,34,1,1,11,46,1.214286
4,0,1,10,22,14,1,8,12,9,12,0,1,10,22,1.000000
5,0,1,1,22,20,0,0,21,0,21,0,1,1,22,1.000000
6,0,1,9,32,1,3,8,19,7,23,1,1,9,32,1.210526
7,0,1,16,42,41,0,11,25,7,25,1,1,16,42,1.000000
8,0,1,210,240,3,1,13,19,11,29,1,1,210,240,1.526316
9,0,1,4,20,10,1,4,16,3,16,0,1,4,20,1.000000
10,1,2,9,26,32,5,7,13,7,17,0,1,8,25,1.307692
11,1,2,7,11,48,3,5,4,5,4,0,1,6,10,1.000000
12,1,2,7,40,45,4,5,27,5,31,2,1,6,39,1.148148
13,1,2,3,30,31,0,1,27,1,27,0,1,2,29,1.000000
14,1,2,162,204,37,1,10,12,5,42,1,1,161,203,3.500000
15,1,2,3,26,13,0,1,21,1,23,0,1,2,25,1.095238
16,1,2,163,175,15,2,9,12,5,12,0,1,162,174,1.000000
17,1,2,102,107,36,1,11,4,5,4,1,1,101,106,1.000000
18,1,2,9,25,5,3,7,16,7,16,0,1,8,24,1.000000
19,1,2,8,22,25,2,6,14,6,14,0,1,7,21,1.000000
20,2,3,200,226,29,3,10,26,11,26,0,1,198,224,1.000000
21,2,3,7,31,16,2,8,12,4,22,2,1,5,29,1.833333
22,2,3,3,26,3,0,0,21,0,23,0,1,1,24,1.095238
23,2,3,8,40,38,1,2,28,5,30,2,1,6,38,1.071429
24,2,3,120,128,48,2,12,5,5,7,1,1,118,126,1.400000
25,2,3,156,185,47,1,6,29,3,29,0,1,154,183,1.000000
26,2,3,68,99,5,2,8,30,4,30,1,1,66,97,1.000000
27,2,3,174,186,32,3,10,12,7,12,0,1,172,184,1.000000
28,2,3,13,31,22,2,8,12,5,18,0,1,11,29,1.500000
29,2,3,3,14,44,0,0,9,0,11,0,1,1,12,1.222222
30,3,4,7,38,17,2,3,31,3,31,0,1,4,35,1.000000
31,3,4,164,189,28,1,14,15,3,21,4,1,161,186,1.400000
32,3,4,7,19,26,1,3,12,3,12,0,1,4,16,1.000000
33,3,4,8,30,34,1,7,20,4,22,0,1,5,27,1.100000
34,3,4,6,42,7,2,6,34,2,36,0,1,3,39,1.058824
35,3,4,10,14,36,1,7,4,6,4,0,1,7,11,1.000000
36,3,4,6,29,0,2,1,23,2,23,0,1,3,26,1.000000
37,3,4,154,169,39,1,17,14,8,14,1,1,151,166,1.000000
38,3,4,9,29,43,0,5,18,5,20,0,1,6,26,1.111111
39,3,4,215,250,12,3,9,25,3,35,1,1,212,247,1.400000
40,4,5,6,27,40,1,29,21,1,21,0,1,2,23,1.000000
41,4,5,60,93,48,0,10,21,1,31,2,1,56,89,1.476190
42,4,5,70,100,47,0,5,20,1,28,3,1,66,96,1.400000
43,4,5,5,43,30,0,0,36,0,38,0,1,1,39,1.055556
44,4,5,16,33,12,0,7,17,3,17,0,1,12,29,1.000000
45,4,5,139,179,0,0,7,23,0,39,2,1,135,175,1.695652
46,4,5,125,131,15,0,7,4,1,6,0,1,121,127,1.500000
47,4,5,7,19,23,1,6,12,2,12,0,1,3,15,1.000000
48,4,5,142,163,49,0,10,17,5,21,0,1,138,159,1.235294
49,4,5,7,15,7,0,2,8,2,8,0,1,3,11,1.000000
50,5,6,10,25,21,1,2,15,4,15,0,1,5,20,1.000000
51,5,6,6,49,16,0,0,41,0,43,0,1,1,44,1.048780
52,5,6,134,157,19,0,6,23,3,23,0,1,129,152,1.000000
53,5,6,6,40,9,0,0,33,0,33,1,1,1,35,1.000000
54,5,6,6,20,37,0,0,14,0,14,0,1,1,15,1.000000
55,5,6,54,78,38,0,7,18,1,24,0,1,49,73,1.333333
56,5,6,68,89,35,0,31,21,6,21,0,1,63,84,1.000000
57,5,6,216,250,8,1,32,32,2,34,0,1,211,245,1.062500
58,5,6,7,19,17,1,2,12,1,12,0,1,2,14,1.000000
59,5,6,6,38,42,0,0,32,0,32,0,1,1,33,1.000000
60,6,7,8,19,38,0,1,11,1,11,0,1,2,13,1.000000
61,6,58,58,79,37,0,0,19,0,21,0,52,52,73,1.105263
62,6,7,47,68,40,0,8,19,3,21,1,1,41,62,1.105263
63,6,7,9,22,8,0,2,13,2,13,0,1,3,16,1.000000
64,6,27,27,31,32,0,0,4,0,4,0,21,21,25,1.000000
65,6,7,8,30,23,0,1,20,1,22,0,1,2,24,1.100000
66,6,7,226,243,24,6,29,17,16,17,1,1,220,237,1.000000
67,6,106,106,121,30,0,0,15,0,15,0,100,100,115,1.000000
68,6,186,192,215,16,0,5,17,5,23,1,180,186,209,1.352941
69,6,45,45,67,3,0,0,21,0,21,1,39,39,61,1.000000
70,7,15,15,44,18,0,0,27,0,29,0,8,8,37,1.074074
71,7,96,96,106,5,0,0,7,0,9,1,89,89,99,1.285714
72,7,8,12,41,24,2,4,29,4,29,0,1,5,34,1.000000
73,7,8,8,25,4,0,0,17,0,17,0,1,1,18,1.000000
74,7,8,8,39,33,0,0,29,0,31,0,1,1,32,1.068966
75,7,8,9,17,26,0,1,6,1,6,2,1,2,10,1.000000
76,7,8,12,22,27,1,1,10,4,10,0,1,5,15,1.000000
77,7,205,208,232,31,1,2,15,3,23,1,198,201,225,1.533333
78,7,8,51,74,12,0,3,21,1,21,2,1,44,67,1.000000
79,7,145,145,162,8,0,0,17,0,17,0,138,138,155,1.000000
80,8,20,21,34,21,0,1,13,1,13,0,12,13,26,1.000000
81,8,9,12,54,19,0,2,36,2,42,1,1,4,46,1.166667
82,8,9,15,56,49,2,4,37,4,41,1,1,7,48,1.108108
83,8,9,10,45,24,1,2,34,1,34,1,1,2,37,1.000000
84,8,147,147,165,17,0,0,18,0,18,0,139,139,157,1.000000
85,8,9,9,42,29,0,0,25,0,31,2,1,1,34,1.240000
86,8,9,9,17,27,0,0,8,0,8,0,1,1,9,1.000000
87,8,186,193,199,14,0,4,6,2,6,0,178,185,191,1.000000
88,8,91,91,106,6,0,0,15,0,15,0,83,83,98,1.000000
89,8,206,206,243,10,0,0,33,0,37,0,198,198,235,1.121212
90,9,145,145,178,7,0,0,29,0,33,0,136,136,169,1.137931
