agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,11,37,19,208,5,17,205
1,11,24,26,214,3,25,212
2,9,47,6,211,4,5,208
3,12,40,9,215,7,8,209
4,9,49,25,190,6,24,185
5,8,26,29,209,4,29,205
6,12,40,18,206,6,18,200
7,10,38,21,205,4,20,202
8,9,32,28,204,8,26,198
9,11,33,9,222,1,9,221
10,10,38,17,209,3,16,207
11,9,45,4,215,3,4,212
12,11,46,20,198,5,20,193
13,12,20,20,224,2,19,223
14,12,45,15,204,4,15,200
15,8,16,14,234,2,14,232
16,9,39,13,212,3,12,210
17,11,46,13,205,5,12,201
18,11,39,9,216,9,9,207
19,11,47,8,209,3,7,207
20,12,56,24,184,6,24,178
21,12,35,22,207,3,22,204
22,13,39,13,212,1,13,211
23,10,54,6,204,1,6,203
24,10,52,17,195,1,17,194
25,8,42,16,206,1,16,205
26,9,43,14,207,5,13,203
27,10,17,26,221,4,25,218
28,11,33,20,211,4,20,207
29,7,50,26,188,4,23,187
30,9,49,24,191,4,23,188
31,9,50,11,203,3,10,201
32,9,43,16,205,2,16,203
33,9,39,9,216,4,9,212
34,10,20,16,228,5,15,224
35,10,53,19,192,0,19,192
36,11,51,17,196,1,17,195
37,10,21,21,222,5,19,219
38,9,44,12,208,5,11,204
39,8,18,10,236,1,10,235
40,10,51,13,200,7,9,197
41,8,8,15,241,3,13,240
42,11,14,22,228,4,21,225
43,10,43,15,206,5,14,202
44,9,46,10,208,5,10,203
45,10,33,19,212,6,18,207
46,12,56,22,186,4,20,184
47,9,50,9,205,2,9,203
48,11,20,28,216,6,27,211
49,8,17,23,224,8,21,218
