timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,20,10,10,40,10,0,0,0.9209992
2,0,30,10,20,30,17,3,0,0.9203348
3,0,40,10,30,20,25,5,0,0.9211034
4,0,50,10,40,10,31,9,0,0.9210484
5,0,60,10,50,0,40,10,2,0.9202429
6,1,69,20,49,1,34,15,3,0.9211085
7,1,79,29,50,0,30,20,6,0.9210845
8,2,88,39,49,1,17,32,7,0.9210217
9,2,98,48,50,0,16,34,8,0.9209543
10,3,107,58,49,1,10,39,11,0.920892
11,5,115,67,48,2,7,41,14,0.9209113
12,7,123,75,48,2,6,42,16,0.9208724
13,7,133,83,50,0,5,45,16,0.9210438
14,9,141,93,48,2,2,46,16,0.9208961
15,10,150,101,49,1,3,46,16,0.920851
16,11,159,110,49,1,2,47,17,0.9207016
17,13,167,119,48,2,1,47,18,0.9205319
18,16,174,127,47,3,1,46,19,0.920619
19,17,183,134,49,1,1,48,19,0.9205127
20,18,192,143,49,1,1,48,19,0.9204246
21,19,201,152,49,1,1,48,19,0.9203697
22,20,210,161,49,1,0,49,21,0.9203547
23,25,215,170,45,5,0,45,22,0.9207937
24,28,222,175,47,3,0,47,24,0.9208748
25,28,232,182,50,0,0,50,24,0.9206293
26,30,240,192,48,2,0,48,25,0.9208152
27,32,248,200,48,2,0,48,25,0.9203548
28,36,254,208,46,4,0,46,25,0.9203963
29,39,261,214,47,3,0,47,26,0.9205126
30,42,268,221,47,3,1,46,27,0.9206295
31,43,277,228,49,1,3,46,29,0.9205356
32,47,283,237,46,4,1,45,29,0.9207057
33,50,290,243,47,3,0,47,29,0.921008
34,51,299,250,49,1,0,49,29,0.920479
35,52,308,259,49,1,0,49,30,0.9202501
36,57,313,268,45,5,1,44,31,0.9203159
37,59,321,273,48,2,2,46,32,0.9209372
38,60,330,281,49,1,0,49,32,0.9205975
39,66,334,290,44,6,0,44,35,0.9202515
