agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,7,29,23,226,6,23,220
1,9,55,13,210,4,13,206
2,10,37,20,221,4,20,217
3,10,32,15,231,2,13,231
4,10,53,20,205,3,19,203
5,10,57,16,205,5,16,200
6,9,63,15,200,3,14,198
7,11,46,31,201,4,30,198
8,9,68,17,193,4,17,189
9,11,55,21,202,6,19,198
10,10,37,20,221,3,20,218
11,10,20,35,223,4,34,220
12,13,37,14,227,4,12,225
13,13,36,21,221,3,21,218
14,10,56,21,201,5,18,199
15,10,28,24,226,4,24,222
16,9,50,11,217,2,10,216
17,12,43,16,219,6,15,214
18,12,28,28,222,2,28,220
19,7,64,29,185,3,29,182
20,10,40,30,208,4,29,205
21,12,26,31,221,5,29,218
22,13,70,25,183,3,25,180
23,9,45,24,209,1,24,208
24,12,31,38,209,3,37,207
25,9,64,13,201,8,12,194
26,10,13,15,250,6,15,244
27,10,57,18,203,6,18,197
28,10,57,12,209,6,10,205
29,10,51,26,201,8,23,196
30,10,54,28,196,5,24,195
31,9,23,21,234,1,20,234
32,8,67,21,190,4,20,187
33,7,65,19,194,3,19,191
34,11,28,15,235,1,15,234
35,9,59,19,200,5,18,196
36,10,30,20,228,5,19,224
37,11,59,35,184,5,33,181
38,9,42,8,228,4,7,225
39,9,38,12,228,3,12,225
40,10,36,38,204,2,37,203
41,9,32,14,232,3,12,231
42,11,27,14,237,4,14,233
43,9,51,3,224,3,2,222
44,10,68,26,184,4,25,181
45,12,53,10,215,4,10,211
46,11,40,15,223,4,15,219
47,11,50,20,208,6,20,202
48,10,51,29,198,5,28,194
49,7,60,41,177,13,34,171
