task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,124,131,1,0,11,7,5,7,0,1,124,131,1.000000
1,0,1,88,95,18,4,9,7,7,7,0,1,88,95,1.000000
2,0,1,2,14,25,0,1,12,1,12,0,1,2,14,1.000000
3,0,1,2,25,10,0,1,23,1,23,0,1,2,25,1.000000
4,0,1,4,28,5,2,3,24,3,24,0,1,4,28,1.000000
5,0,1,3,16,3,0,2,13,2,13,0,1,3,16,1.000000
6,0,1,8,22,14,3,6,13,7,13,1,1,8,22,1.000000
7,0,1,11,25,0,2,10,14,10,14,0,1,11,25,1.000000
8,0,1,7,31,48,2,6,20,6,24,0,1,7,31,1.200000
9,0,1,1,36,22,0,0,35,0,35,0,1,1,36,1.000000
10,1,2,138,168,14,0,7,28,7,28,2,1,137,167,1.000000
11,1,2,3,25,19,0,1,22,1,22,0,1,2,24,1.000000
12,1,2,6,23,23,2,4,15,4,17,0,1,5,22,1.133333
13,1,2,2,33,37,0,0,31,0,31,0,1,1,32,1.000000
14,1,2,127,146,28,4,10,19,8,19,1,1,126,145,1.000000
15,1,2,6,24,21,3,6,18,4,18,0,1,5,23,1.000000
16,1,2,4,20,15,0,2,14,2,16,0,1,3,19,1.142857
17,1,2,9,31,26,6,7,19,7,21,1,1,8,30,1.105263
18,1,2,2,10,29,0,0,8,0,8,0,1,1,9,1.000000
19,1,2,4,33,11,0,2,27,2,29,0,1,3,32,1.074074
20,2,3,37,57,36,1,5,18,2,20,1,1,35,55,1.111111
21,2,3,106,126,32,2,9,16,9,20,0,1,104,124,1.250000
22,2,3,11,24,20,4,8,13,8,13,0,1,9,22,1.000000
23,2,3,21,36,31,1,12,9,9,15,0,1,19,34,1.666667
24,2,3,12,28,24,5,10,12,9,16,0,1,10,26,1.333333
25,2,3,5,29,7,0,2,24,2,24,0,1,3,27,1.000000
