task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,7,15,36,2,4,6,6,6,2,1,7,15,1.000000
1,0,1,4,13,25,0,3,9,3,9,0,1,4,13,1.000000
2,0,1,16,40,47,1,10,24,5,24,0,1,16,40,1.000000
3,0,1,1,24,3,0,0,23,0,23,0,1,1,24,1.000000
4,0,1,1,34,30,0,0,33,0,33,0,1,1,34,1.000000
5,0,1,170,208,11,4,5,35,11,37,1,1,170,208,1.057143
6,0,1,1,19,41,0,0,18,0,18,0,1,1,19,1.000000
7,0,1,1,5,6,0,0,4,0,4,0,1,1,5,1.000000
8,0,1,6,24,28,5,3,18,4,18,1,1,6,24,1.000000
9,0,1,76,97,15,1,9,16,7,20,1,1,76,97,1.250000
10,1,2,5,24,43,0,3,19,3,19,0,1,4,23,1.000000
11,1,2,72,88,7,3,8,16,6,16,0,1,71,87,1.000000
12,1,2,6,30,29,4,4,24,4,24,0,1,5,29,1.000000
13,1,2,9,24,37,6,7,14,7,14,1,1,8,23,1.000000
14,1,2,9,45,31,2,7,35,7,35,1,1,8,44,1.000000
15,1,2,45,68,18,3,8,20,6,22,2,1,44,67,1.100000
16,1,2,187,204,28,2,10,15,8,17,1,1,186,203,1.133333
17,1,2,135,154,1,2,11,15,4,19,0,1,134,153,1.266667
18,1,2,2,33,38,0,0,31,0,31,0,1,1,32,1.000000
19,1,2,2,4,39,0,0,2,0,2,0,1,1,3,1.000000
20,2,3,8,25,26,5,6,17,4,17,1,1,6,23,1.000000
21,2,3,148,184,1,2,10,31,3,35,1,1,146,182,1.129032
22,2,3,138,167,40,1,12,24,5,28,1,1,136,165,1.166667
23,2,3,157,167,29,2,3,10,7,10,2,1,155,165,1.000000
24,2,3,139,170,34,3,8,22,5,28,3,1,137,168,1.272727
25,2,3,10,25,33,0,7,15,7,15,0,1,8,23,1.000000
26,2,3,4,21,48,0,1,17,1,17,0,1,2,19,1.000000
27,2,3,102,122,37,2,9,14,3,20,0,1,100,120,1.428571
28,2,3,8,22,32,0,5,13,5,13,1,1,6,20,1.000000
29,2,3,164,201,45,1,12,27,14,37,0,1,162,199,1.370370
30,3,4,42,60,14,1,11,18,3,18,0,1,39,57,1.000000
31,3,4,11,21,12,5,7,10,6,10,1,1,8,18,1.000000
32,3,4,26,58,42,2,11,28,4,30,2,1,23,55,1.071429
33,3,4,20,31,44,0,12,11,2,11,0,1,17,28,1.000000
34,3,4,8,43,46,2,6,35,4,35,0,1,5,40,1.000000
35,3,4,35,50,0,2,5,11,4,15,1,1,32,47,1.363636
36,3,4,135,150,49,2,23,15,5,15,0,1,132,147,1.000000
37,3,4,8,29,13,3,7,21,4,21,0,1,5,26,1.000000
