agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,10,44,52,167,11,48,160
1,10,52,13,198,1,13,197
2,10,38,16,209,5,15,205
3,7,52,26,185,1,25,185
4,9,56,14,193,8,13,186
5,10,18,21,224,8,20,217
6,10,38,18,207,3,18,204
7,11,58,18,187,4,17,184
8,10,31,28,204,2,28,202
9,11,56,13,194,3,13,191
10,12,17,12,234,1,12,233
11,9,49,19,195,3,18,193
12,9,34,39,190,5,37,187
13,11,30,34,199,4,32,197
14,9,27,38,198,4,36,196
15,11,40,10,213,4,9,210
16,12,25,18,220,4,18,216
17,11,35,27,201,5,27,196
18,9,20,33,210,2,33,208
19,10,39,15,209,2,14,208
20,11,35,22,206,8,21,199
21,8,54,24,185,5,23,181
22,10,40,16,207,4,14,205
23,10,49,27,187,1,27,186
24,8,49,11,203,5,10,199
25,10,26,20,217,3,20,214
26,8,32,12,219,5,12,214
27,12,18,23,222,5,22,218
28,11,14,28,221,11,25,213
29,14,16,21,226,7,21,219
30,14,37,22,204,5,21,200
31,10,12,39,212,2,39,210
32,9,39,19,205,5,17,202
33,10,56,21,186,4,21,182
34,9,17,12,234,1,11,234
35,12,52,10,201,3,10,198
36,9,51,9,203,4,8,200
37,11,47,13,203,4,12,200
38,11,27,5,231,4,5,227
39,10,44,26,193,6,24,189
40,10,36,17,210,6,17,204
41,10,25,31,207,2,31,205
42,9,37,32,194,1,32,193
43,9,47,3,213,0,3,213
44,7,55,32,176,1,31,176
45,10,48,19,196,5,18,192
46,9,21,29,213,3,27,212
47,8,30,26,207,3,25,205
48,10,26,18,219,4,18,215
49,10,22,23,218,4,23,214
