timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,20,10,10,40,10,0,0,0.9209559
2,0,30,10,20,30,19,1,0,0.9209662
3,0,40,10,30,20,25,5,0,0.9209841
4,0,50,10,40,10,33,7,1,0.9211542
5,0,60,10,50,0,41,9,1,0.9212363
6,0,70,20,50,0,35,15,1,0.9211091
7,0,80,30,50,0,29,21,3,0.9210577
8,0,90,40,50,0,24,26,4,0.9210528
9,0,100,50,50,0,19,31,5,0.9209588
10,0,110,60,50,0,15,35,7,0.9209356
11,1,119,70,49,1,10,39,7,0.9209403
12,3,127,79,48,2,5,43,7,0.9208862
13,3,137,87,50,0,6,44,7,0.9208995
14,4,146,97,49,1,1,48,10,0.920948
15,6,154,106,48,2,2,46,10,0.9204231
16,7,163,114,49,1,1,48,11,0.9205065
17,9,171,123,48,2,1,47,12,0.9203958
18,12,178,131,47,3,0,47,13,0.9205351
19,13,187,138,49,1,0,49,15,0.9205174
20,16,194,147,47,3,0,47,16,0.9203199
21,16,204,154,50,0,0,50,16,0.9204548
22,17,213,164,49,1,0,49,17,0.9208808
23,20,220,173,47,3,1,46,17,0.9202491
24,24,226,180,46,4,3,43,17,0.9207579
25,26,234,186,48,2,2,46,17,0.9210032
26,28,242,194,48,2,1,47,18,0.9205375
27,28,252,202,50,0,0,50,19,0.9204284
28,30,260,212,48,2,0,48,20,0.9208249
29,32,268,220,48,2,1,47,22,0.9204615
30,34,276,228,48,2,0,48,24,0.9205268
31,37,283,236,47,3,2,45,25,0.9204121
32,40,290,243,47,3,3,44,25,0.920538
33,42,298,250,48,2,2,46,26,0.9205442
34,43,307,258,49,1,2,47,26,0.9205294
35,45,315,267,48,2,1,47,29,0.9204795
36,50,320,275,45,5,1,44,31,0.9206057
37,52,328,280,48,2,3,45,33,0.920644
38,55,335,288,47,3,1,46,35,0.9204847
39,59,341,295,46,4,0,46,35,0.9204378
40,61,349,301,48,2,1,47,36,0.9205618
41,65,355,309,46,4,1,45,37,0.9205123
