task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,125,142,18,1,12,17,8,17,0,1,125,142,1.000000
1,0,1,1,28,44,0,0,25,0,27,0,1,1,28,1.080000
2,0,1,1,10,20,0,0,9,0,9,0,1,1,10,1.000000
3,0,1,51,71,5,3,13,10,5,18,2,1,51,71,1.800000
4,0,1,3,36,21,0,2,33,2,33,0,1,3,36,1.000000
5,0,1,24,40,29,2,13,10,7,14,2,1,24,40,1.400000
6,0,1,115,147,6,2,9,32,6,32,0,1,115,147,1.000000
7,0,1,7,27,1,4,7,17,6,19,1,1,7,27,1.117647
8,0,1,9,39,3,4,7,28,7,30,1,1,9,39,1.071429
9,0,1,4,25,36,1,1,21,2,21,1,1,4,25,1.000000
10,1,2,8,45,48,0,6,29,6,37,0,1,7,44,1.275862
11,1,2,15,32,47,1,6,15,4,17,0,1,14,31,1.133333
12,1,2,2,11,41,0,0,9,0,9,0,1,1,10,1.000000
13,1,2,100,125,18,3,3,21,5,25,1,1,99,124,1.190476
14,1,2,3,26,2,0,1,23,1,23,0,1,2,25,1.000000
15,1,2,3,14,25,0,1,11,1,11,0,1,2,13,1.000000
16,1,2,27,46,43,3,11,11,6,19,0,1,26,45,1.727273
17,1,2,8,45,0,0,6,37,6,37,0,1,7,44,1.000000
18,1,2,2,17,36,0,0,15,0,15,0,1,1,16,1.000000
19,1,2,4,12,14,2,1,8,2,8,0,1,3,11,1.000000
20,2,3,205,227,11,2,9,21,15,21,1,1,203,225,1.000000
21,2,3,3,37,38,0,0,34,0,34,0,1,1,35,1.000000
22,2,3,8,24,37,0,5,12,5,16,0,1,6,22,1.333333
23,2,3,185,207,34,1,6,20,3,22,0,1,183,205,1.100000
24,2,3,5,21,5,0,2,16,2,16,0,1,3,19,1.000000
25,2,3,5,36,15,1,1,29,2,31,0,1,3,34,1.068966
26,2,3,4,36,28,1,4,24,1,32,0,1,2,34,1.333333
27,2,3,11,25,46,1,10,14,3,14,0,1,9,23,1.000000
28,2,3,78,105,18,1,7,24,3,26,1,1,76,103,1.083333
29,2,3,75,91,29,5,7,16,4,16,2,1,73,89,1.000000
30,3,4,119,140,10,1,10,21,3,21,0,1,116,137,1.000000
31,3,4,10,22,12,1,11,12,6,12,0,1,7,19,1.000000
32,3,4,9,38,9,1,7,25,5,29,0,1,6,35,1.160000
33,3,4,64,92,45,3,10,20,5,26,2,1,61,89,1.300000
34,3,4,9,28,43,1,4,19,5,19,0,1,6,25,1.000000
35,3,4,10,19,18,2,6,9,6,9,0,1,7,16,1.000000
36,3,4,4,32,33,0,0,27,0,27,1,1,1,29,1.000000
37,3,4,6,24,13,1,3,18,2,18,0,1,3,21,1.000000
38,3,4,28,33,4,1,12,5,2,5,0,1,25,30,1.000000
39,3,4,10,30,8,0,6,20,6,20,0,1,7,27,1.000000
40,4,5,9,12,32,3,4,3,4,3,0,1,5,8,1.000000
41,4,5,9,10,43,0,4,1,4,1,0,1,5,6,1.000000
42,4,5,71,97,39,2,17,16,3,24,2,1,67,93,1.500000
43,4,5,5,14,46,0,0,9,0,9,0,1,1,10,1.000000
44,4,5,13,16,26,3,11,3,4,3,0,1,9,12,1.000000
45,4,5,76,95,6,1,6,19,4,19,0,1,72,91,1.000000
46,4,5,5,34,24,0,0,29,0,29,0,1,1,30,1.000000
47,4,5,5,23,34,0,0,18,0,18,0,1,1,19,1.000000
48,4,5,167,192,4,0,11,22,2,24,1,1,163,188,1.090909
49,4,5,8,26,17,0,3,15,3,17,1,1,4,22,1.133333
50,5,6,8,48,40,1,3,39,2,39,1,1,3,43,1.000000
51,5,6,7,31,16,0,1,24,1,24,0,1,2,26,1.000000
52,5,6,6,32,23,0,0,24,0,26,0,1,1,27,1.083333
53,5,6,15,26,26,0,13,11,1,11,0,1,10,21,1.000000
54,5,6,26,41,27,1,14,15,2,15,0,1,21,36,1.000000
55,5,6,7,18,9,0,1,11,1,11,0,1,2,13,1.000000
56,5,120,120,156,40,0,0,34,0,36,0,115,115,151,1.058824
57,5,6,90,122,39,0,16,20,1,30,2,1,85,117,1.500000
58,5,6,14,27,15,1,6,13,8,13,0,1,9,22,1.000000
59,5,6,6,21,4,0,0,15,0,15,0,1,1,16,1.000000
60,6,7,14,35,40,1,6,16,7,20,1,1,8,29,1.250000
61,6,7,9,21,27,1,5,12,2,12,0,1,3,15,1.000000
62,6,157,158,180,40,0,1,22,1,22,0,151,152,174,1.000000
63,6,173,183,210,42,0,4,27,10,27,0,167,177,204,1.000000
64,6,7,85,102,26,0,9,17,2,17,0,1,79,96,1.000000
65,6,7,7,13,35,0,0,6,0,6,0,1,1,7,1.000000
