agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,8,62,25,185,5,23,182
1,9,39,22,211,3,22,208
2,7,33,22,217,2,20,217
3,9,36,25,211,4,23,209
4,13,56,29,187,3,28,185
5,10,69,19,184,3,19,181
6,9,27,20,225,3,19,223
7,8,67,11,194,1,11,193
8,11,55,33,184,6,32,179
9,10,53,15,204,4,15,200
10,11,32,26,214,3,26,211
11,11,72,10,190,2,10,188
12,10,56,6,210,2,6,208
13,8,64,13,195,1,13,194
14,9,40,10,222,2,10,220
15,13,69,12,191,7,12,184
16,10,25,21,226,2,21,224
17,8,62,5,205,5,4,201
18,9,27,28,217,1,28,216
19,9,32,25,215,2,25,213
20,12,59,16,197,3,16,194
21,10,52,25,195,6,22,192
22,10,58,13,201,3,13,198
23,8,57,4,211,5,4,206
24,12,64,19,189,1,19,188
25,12,22,22,228,3,22,225
26,11,12,16,244,2,14,244
27,12,64,4,204,4,4,200
28,11,69,22,181,1,22,180
29,11,48,44,180,5,43,176
30,11,20,30,222,6,29,217
31,9,53,38,181,8,36,175
32,10,38,22,212,4,21,209
33,11,27,36,209,3,36,206
34,12,37,46,189,2,44,189
35,10,38,22,212,11,18,205
36,9,39,15,218,2,15,216
37,12,16,23,233,3,23,230
38,9,65,12,195,4,11,192
39,10,61,17,194,5,16,190
40,8,56,14,202,3,14,199
41,10,58,28,186,1,28,185
42,9,25,42,205,6,41,200
43,11,25,5,242,2,5,240
44,10,64,24,184,3,23,182
45,9,37,29,206,5,29,201
46,12,54,16,202,3,15,200
47,8,53,26,193,6,26,187
48,9,36,14,222,1,14,221
49,10,64,13,195,3,13,192
