timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,20,10,10,40,7,3,0,0.9205627
2,0,30,10,20,30,15,5,0,0.9206004
3,0,40,10,30,20,22,8,0,0.9207044
4,0,50,10,40,10,25,15,0,0.9210407
5,0,60,10,50,0,35,15,0,0.9206782
6,0,70,20,50,0,28,22,4,0.9206376
7,1,79,30,49,1,23,26,6,0.9205916
8,1,89,39,50,0,16,34,7,0.9206083
9,1,99,49,50,0,13,37,7,0.9205979
10,2,108,59,49,1,8,41,7,0.9205753
11,3,117,68,49,1,6,43,9,0.920615
12,5,125,77,48,2,4,44,10,0.920574
13,6,134,85,49,1,4,45,12,0.9205142
14,7,143,94,49,1,4,45,12,0.9206192
15,9,151,103,48,2,2,46,12,0.9205498
16,12,158,111,47,3,1,46,13,0.9205225
17,14,166,118,48,2,1,47,14,0.9205463
18,15,175,126,49,1,1,48,14,0.9205541
19,16,184,135,49,1,2,47,14,0.9205466
20,18,192,144,48,2,2,46,14,0.9205134
21,18,202,152,50,0,2,48,17,0.9205467
22,19,211,162,49,1,2,47,17,0.9205322
23,20,220,171,49,1,1,48,19,0.9206285
24,26,224,180,44,6,2,42,19,0.9205275
25,26,234,184,50,0,5,45,19,0.9206213
26,27,243,194,49,1,1,48,20,0.9205811
27,31,249,203,46,4,2,44,21,0.9205083
28,34,256,209,47,3,0,47,21,0.9205879
29,40,260,216,44,6,1,43,21,0.9204855
30,44,266,220,46,4,2,44,21,0.9205329
31,47,273,226,47,3,2,45,21,0.9205912
32,48,282,233,49,1,2,47,21,0.9205078
33,48,292,242,50,0,1,49,22,0.9205257
34,51,299,252,47,3,0,47,22,0.920507
35,56,304,259,45,5,2,43,22,0.9205629
36,58,312,264,48,2,1,47,22,0.9206037
37,58,322,272,50,0,0,50,23,0.9205108
38,58,332,282,50,0,0,50,24,0.9204084
39,63,337,292,45,5,0,45,24,0.9203711
40,66,344,297,47,3,2,45,24,0.9206395
41,70,350,304,46,4,2,44,26,0.9205539
42,73,357,310,47,3,3,44,26,0.9205931
43,78,362,317,45,5,3,42,28,0.9205335
44,78,372,322,50,0,5,45,28,0.920802
45,83,377,332,45,5,2,43,29,0.9204905
46,86,384,337,47,3,2,45,32,0.9205733
47,87,393,344,49,1,2,47,33,0.9205376
48,88,402,353,49,1,0,49,35,0.9206301
49,91,409,362,47,3,0,47,36,0.920534
50,96,404,359,45,5,1,44,38,0.9205382
51,99,401,354,47,3,1,46,40,0.920583
52,103,397,351,46,4,0,46,41,0.9206471
53,106,394,347,47,3,0,47,44,0.9206011
54,110,390,344,46,4,0,46,46,0.9205012
55,113,387,340,47,3,0,47,46,0.9205482
56,116,384,337,47,3,1,46,49,0.9205046
57,123,377,334,43,7,0,43,50,0.9205184
58,123,377,327,50,0,2,48,50,0.9205489
59,127,373,327,46,4,0,46,51,0.9204509
60,130,370,323,47,3,0,47,51,0.9205026
61,131,369,320,49,1,0,49,52,0.9204761
62,131,369,319,50,0,0,50,52,0.9204456
63,136,364,319,45,5,0,45,53,0.9204087
64,137,363,314,49,1,0,49,56,0.9206362
65,138,362,313,49,1,0,49,59,0.9205013
66,145,355,312,43,7,0,43,60,0.9204041
67,147,353,305,48,2,2,46,62,0.920514
68,150,350,303,47,3,0,47,62,0.9204906
69,152,348,300,48,2,1,47,66,0.9204668
70,154,346,298,48,2,0,48,67,0.9204438
71,159,341,296,45,5,1,44,68,0.9204301
72,162,338,291,47,3,1,46,70,0.920538
73,163,337,288,49,1,0,49,70,0.9205301
74,163,337,287,50,0,0,50,70,0.9204416
75,165,335,287,48,2,0,48,72,0.9204163
76,172,328,285,43,7,0,43,72,0.9204304
