timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,20,10,10,40,6,4,0,0.9205716
2,0,30,10,20,30,14,6,0,0.9205994
3,0,40,10,30,20,23,7,0,0.9205997
4,1,49,10,39,11,30,9,0,0.9206556
5,2,58,10,48,2,39,9,0,0.920667
6,2,68,18,50,0,37,13,3,0.9207408
7,2,78,28,50,0,31,19,7,0.9207143
8,2,88,38,50,0,26,24,8,0.9206705
9,2,98,48,50,0,17,33,9,0.9207161
10,2,108,58,50,0,11,39,11,0.9205862
11,2,118,68,50,0,10,40,12,0.9205966
12,2,128,78,50,0,4,46,13,0.9205706
13,4,136,88,48,2,2,46,13,0.9205048
14,4,146,96,50,0,3,47,14,0.9205437
15,5,155,106,49,1,1,48,15,0.9205708
16,6,164,115,49,1,0,49,17,0.9207052
17,6,174,124,50,0,0,50,18,0.9205592
18,7,183,134,49,1,0,49,19,0.9204592
19,10,190,143,47,3,0,47,20,0.9205184
20,12,198,150,48,2,0,48,22,0.9205044
21,16,204,158,46,4,1,45,22,0.9207217
22,17,213,164,49,1,2,47,23,0.9205416
23,19,221,173,48,2,3,45,23,0.9205614
24,24,226,181,45,5,0,45,24,0.9205207
25,25,235,186,49,1,2,47,26,0.9205891
26,28,242,195,47,3,1,46,27,0.920616
27,32,248,202,46,4,2,44,27,0.9205702
28,35,255,208,47,3,2,45,29,0.920542
29,35,265,215,50,0,3,47,29,0.9205408
30,37,273,225,48,2,0,48,29,0.9205041
31,40,280,233,47,3,1,46,29,0.9204856
32,43,287,240,47,3,2,45,30,0.9205093
33,44,296,247,49,1,1,48,30,0.9205127
34,48,302,256,46,4,1,45,32,0.9204764
35,51,309,262,47,3,3,44,32,0.9205589
36,51,319,269,50,0,2,48,33,0.9205615
37,53,327,279,48,2,1,47,34,0.920501
38,53,337,287,50,0,1,49,34,0.9205535
39,55,345,297,48,2,1,47,37,0.9204102
40,59,351,305,46,4,1,45,38,0.9205127
41,60,360,311,49,1,2,47,38,0.9205852
42,64,366,320,46,4,1,45,38,0.9205019
43,68,372,326,46,4,1,45,41,0.9205299
44,72,378,332,46,4,3,43,43,0.9205309
45,76,384,338,46,4,1,45,43,0.920673
46,81,389,344,45,5,1,44,43,0.9205879
47,85,395,349,46,4,0,46,43,0.9206369
48,90,400,355,45,5,0,45,43,0.920478
49,95,405,360,45,5,1,44,45,0.9206383
50,97,403,355,48,2,1,47,46,0.920752
51,101,399,353,46,4,1,45,47,0.920517
52,103,397,349,48,2,2,46,48,0.9205156
53,105,395,347,48,2,1,47,48,0.9204809
54,107,393,345,48,2,1,47,48,0.9205524
55,112,388,343,45,5,0,45,48,0.9205383
56,115,385,338,47,3,2,45,49,0.9206414
57,117,383,335,48,2,2,46,49,0.9205626
58,121,379,333,46,4,1,45,49,0.9205286
59,124,376,329,47,3,1,46,50,0.920569
60,127,373,326,47,3,2,45,51,0.9205512
61,131,369,323,46,4,3,43,51,0.9205201
62,133,367,319,48,2,3,45,51,0.9205764
63,137,363,317,46,4,1,45,53,0.9205108
64,140,360,313,47,3,0,47,54,0.9204582
65,146,354,310,44,6,0,44,54,0.9204596
66,150,350,304,46,4,0,46,55,0.9204965
67,152,348,300,48,2,0,48,57,0.9205207
68,155,345,298,47,3,0,47,57,0.9204399
69,159,341,295,46,4,0,46,58,0.9204991
