task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,4,22,14,2,3,18,3,18,0,1,4,22,1.000000
1,0,1,1,38,41,0,0,37,0,37,0,1,1,38,1.000000
2,0,1,1,9,20,0,0,8,0,8,0,1,1,9,1.000000
3,0,1,5,17,37,2,4,10,4,10,2,1,5,17,1.000000
4,0,1,61,78,18,1,8,12,6,16,1,1,61,78,1.333333
5,0,1,6,20,22,0,5,14,5,14,0,1,6,20,1.000000
6,0,1,142,162,11,4,11,16,12,20,0,1,142,162,1.250000
7,0,1,2,24,0,0,1,22,1,22,0,1,2,24,1.000000
8,0,1,36,49,6,4,8,13,7,13,0,1,36,49,1.000000
9,0,1,4,27,10,2,3,21,3,23,0,1,4,27,1.095238
10,1,2,33,43,37,2,9,6,9,10,1,1,32,42,1.666667
11,1,2,3,26,13,0,1,21,1,23,0,1,2,25,1.095238
12,1,2,65,81,36,1,10,15,5,15,1,1,64,80,1.000000
13,1,2,6,27,2,3,7,21,4,21,0,1,5,26,1.000000
14,1,2,48,60,5,2,8,12,7,12,0,1,47,59,1.000000
15,1,2,2,42,7,0,0,40,0,40,0,1,1,41,1.000000
16,1,2,57,69,1,1,9,12,6,12,0,1,56,68,1.000000
17,1,2,5,20,15,1,4,11,3,15,0,1,4,19,1.363636
18,1,2,110,135,47,4,9,21,8,23,2,1,109,134,1.095238
19,1,2,196,232,9,0,7,31,5,35,2,1,195,231,1.129032
20,2,3,10,12,12,2,10,2,6,2,1,1,8,10,1.000000
21,2,3,64,89,46,3,14,14,4,24,1,1,62,87,1.714286
22,2,3,3,17,3,0,0,14,0,14,0,1,1,15,1.000000
23,2,3,50,75,29,2,12,25,6,25,0,1,48,73,1.000000
24,2,3,3,44,30,0,0,41,0,41,0,1,1,42,1.000000
25,2,3,218,250,4,4,11,32,9,32,0,1,216,248,1.000000
26,2,3,70,121,6,1,8,26,5,50,1,1,68,119,1.923077
27,2,3,4,31,21,0,1,27,1,27,0,1,2,29,1.000000
28,2,3,16,39,48,3,10,21,13,23,0,1,14,37,1.095238
29,2,3,72,93,28,1,11,13,6,19,2,1,70,91,1.461538
30,3,4,10,31,31,1,13,19,6,21,0,1,7,28,1.105263
31,3,4,10,25,40,3,7,15,6,15,0,1,7,22,1.000000
32,3,4,40,70,25,2,7,17,2,27,4,1,37,67,1.588235
33,3,4,140,170,45,1,12,30,3,30,0,1,137,167,1.000000
34,3,4,6,35,43,0,2,29,2,29,0,1,3,32,1.000000
35,3,4,8,41,16,1,5,29,4,33,0,1,5,38,1.137931
36,3,4,9,34,29,0,5,24,5,24,1,1,6,31,1.000000
37,3,4,36,60,26,2,12,24,3,24,0,1,33,57,1.000000
38,3,4,7,26,19,0,3,19,3,19,0,1,4,23,1.000000
39,3,4,57,69,32,2,10,12,6,12,0,1,54,66,1.000000
40,4,5,160,187,35,0,32,25,1,27,0,1,156,183,1.080000
41,4,5,102,124,23,3,8,20,5,22,1,1,98,120,1.100000
42,4,5,7,16,46,1,13,8,2,8,1,1,3,12,1.000000
43,4,5,5,25,2,0,0,20,0,20,0,1,1,21,1.000000
44,4,5,26,39,25,0,8,13,2,13,0,1,22,35,1.000000
45,4,5,18,25,26,1,15,7,2,7,0,1,14,21,1.000000
46,4,5,8,17,31,1,12,9,3,9,0,1,4,13,1.000000
47,4,5,5,18,44,0,0,13,0,13,0,1,1,14,1.000000
48,4,5,8,15,34,0,3,6,3,6,1,1,4,11,1.000000
49,4,5,5,17,17,0,0,10,0,12,0,1,1,13,1.200000
50,5,82,83,98,13,0,1,13,1,15,0,77,78,93,1.153846
51,5,6,47,61,45,1,11,14,2,14,0,1,42,56,1.000000
52,5,6,9,21,4,1,4,12,3,12,0,1,4,16,1.000000
53,5,6,11,48,42,1,10,23,5,37,0,1,6,43,1.608696
54,5,127,128,155,2,0,1,27,1,27,0,122,123,150,1.000000
55,5,6,13,17,24,2,7,4,7,4,0,1,8,12,1.000000
