timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,20,10,10,40,10,0,0,0.9206166
2,0,30,10,20,30,16,4,0,0.9206154
3,0,40,10,30,20,23,7,1,0.92082
4,0,50,10,40,10,31,9,1,0.9207387
5,0,60,10,50,0,38,12,1,0.9207482
6,0,70,20,50,0,35,15,2,0.9207366
7,0,80,30,50,0,29,21,3,0.920651
8,1,89,40,49,1,22,27,4,0.9205392
9,2,98,49,49,1,17,32,4,0.9206392
10,2,108,58,50,0,12,38,6,0.9208225
11,2,118,68,50,0,6,44,6,0.9205684
12,3,127,78,49,1,2,47,6,0.9203866
13,3,137,87,50,0,0,50,7,0.9206272
14,3,147,97,50,0,0,50,8,0.9203905
15,3,157,107,50,0,0,50,8,0.9205207
16,4,166,117,49,1,0,49,10,0.9204187
17,6,174,126,48,2,0,48,11,0.9208121
18,7,183,134,49,1,1,48,11,0.9205668
19,8,192,143,49,1,2,47,12,0.9204515
20,9,201,152,49,1,0,49,12,0.9204519
21,13,207,161,46,4,1,45,13,0.9204769
22,17,213,167,46,4,2,44,14,0.920869
23,20,220,173,47,3,5,42,16,0.9207722
24,21,229,180,49,1,3,46,19,0.9206265
25,24,236,189,47,3,2,45,21,0.9205416
26,26,244,196,48,2,0,48,22,0.920702
27,30,250,204,46,4,1,45,22,0.9205894
28,31,259,210,49,1,0,49,23,0.9205439
29,32,268,219,49,1,0,49,24,0.9205623
30,35,275,228,47,3,1,46,25,0.9204833
31,40,280,235,45,5,2,43,26,0.9206914
32,45,285,240,45,5,1,44,26,0.9205963
33,47,293,245,48,2,1,47,28,0.9207423
34,50,300,253,47,3,2,45,31,0.9204874
35,52,308,260,48,2,2,46,35,0.9205375
36,52,318,268,50,0,0,50,35,0.92064
37,56,324,278,46,4,0,46,36,0.9203967
38,59,331,284,47,3,3,44,37,0.9205543
39,61,339,291,48,2,1,47,39,0.9204696
40,63,347,299,48,2,0,48,39,0.9204949
41,67,353,307,46,4,1,45,41,0.9206156
42,70,360,313,47,3,1,46,43,0.9206043
43,72,368,320,48,2,0,48,46,0.9205406
44,77,373,328,45,5,0,45,48,0.9205276
45,79,381,333,48,2,0,48,48,0.9205302
46,83,387,341,46,4,0,46,50,0.920513
47,86,394,347,47,3,1,46,52,0.9205409
48,89,401,354,47,3,2,45,53,0.9205619
49,91,409,361,48,2,2,46,54,0.920518
50,93,407,359,48,2,0,48,54,0.920541
51,96,404,357,47,3,0,47,58,0.920503
52,97,403,354,49,1,1,48,63,0.920516
53,105,395,353,42,8,1,41,63,0.9204582
54,107,393,345,48,2,2,46,65,0.9206167
55,111,389,343,46,4,0,46,65,0.9204933
56,116,384,339,45,5,1,44,65,0.9205578
57,118,382,334,48,2,2,46,65,0.9205912
58,120,380,332,48,2,2,46,66,0.9204976
59,121,379,330,49,1,1,48,66,0.9205296
60,126,374,329,45,5,0,45,67,0.9204715
61,128,372,324,48,2,1,47,68,0.9207667
62,133,367,322,45,5,2,43,69,0.9207453
63,138,362,317,45,5,0,45,70,0.9209227
64,140,360,312,48,2,0,48,71,0.9206336
65,144,356,310,46,4,1,45,73,0.9204985
66,146,354,306,48,2,0,48,75,0.9206194
67,146,354,304,50,0,1,49,75,0.920513
68,150,350,304,46,4,0,46,80,0.9204112
69,153,347,300,47,3,1,46,84,0.920502
70,154,346,297,49,1,1,48,87,0.920556
71,155,345,296,49,1,1,48,89,0.9204936
72,157,343,295,48,2,1,47,89,0.920511
73,164,336,293,43,7,1,42,90,0.9205014
74,168,332,286,46,4,3,43,91,0.9205138
75,173,327,282,45,5,3,42,94,0.9205668
76,178,322,277,45,5,3,42,94,0.9205462
77,182,318,272,46,4,5,41,94,0.9205316
78,185,315,268,47,3,3,44,96,0.9207264
79,188,312,265,47,3,2,45,97,0.9205598
80,189,311,262,49,1,2,47,97,0.9205513
81,193,307,261,46,4,0,46,97,0.920594
82,193,307,257,50,0,2,48,97,0.9207177
83,195,305,257,48,2,0,48,98,0.9204785
84,197,303,255,48,2,0,48,99,0.9205423
85,200,300,253,47,3,0,47,99,0.9205235
86,203,297,250,47,3,1,46,99,0.9205266
87,204,296,247,49,1,2,47,99,0.9205419
88,208,292,246,46,4,1,45,100,0.9204601
89,210,290,242,48,2,3,45,100,0.9205116
90,211,289,240,49,1,5,44,101,0.9204771
91,213,287,239,48,2,3,45,104,0.9204584
92,214,286,237,49,1,1,48,106,0.9205373
93,217,283,236,47,3,0,47,107,0.9205133
94,219,281,233,48,2,2,46,110,0.920461
95,223,277,231,46,4,0,46,111,0.9205373
96,225,275,227,48,2,2,46,112,0.9204574
97,229,271,225,46,4,2,44,112,0.9205964
98,231,269,221,48,2,2,46,112,0.9205907
99,233,267,219,48,2,4,44,113,0.9205712
100,233,267,217,50,0,4,46,113,0.9204332
101,235,265,217,48,2,0,48,113,0.9203936
102,239,261,215,46,4,0,46,115,0.9204217
103,241,259,211,48,2,2,46,115,0.9205332
104,243,257,209,48,2,2,46,115,0.9204511
105,247,253,207,46,4,3,43,117,0.9204185
106,249,251,203,48,2,3,45,117,0.9204701
107,252,248,201,47,3,1,46,117,0.9204351
108,256,244,198,46,4,2,44,117,0.9204685
109,260,240,194,46,4,1,45,119,0.9204915
110,263,237,190,47,3,1,46,120,0.9204911
111,264,236,187,49,1,1,48,120,0.9205789
112,266,234,186,48,2,1,47,120,0.9204766
113,267,233,184,49,1,1,48,120,0.9204908
114,267,233,183,50,0,0,50,120,0.9204829
115,269,231,183,48,2,0,48,121,0.9203881
116,269,231,181,50,0,1,49,123,0.9204698
117,272,228,181,47,3,1,46,125,0.9204586
118,274,226,178,48,2,1,47,126,0.9206738
119,276,224,176,48,2,2,46,126,0.9204936
120,277,223,174,49,1,2,47,128,0.9205393
121,279,221,173,48,2,3,45,129,0.920455
122,283,217,171,46,4,4,42,131,0.920454
123,287,213,167,46,4,5,41,133,0.9208238
124,289,211,163,48,2,5,43,134,0.920456
125,291,209,161,48,2,3,45,134,0.9204544
126,294,206,159,47,3,4,43,134,0.9205076
127,295,205,156,49,1,4,45,134,0.920547
128,298,202,155,47,3,3,44,135,0.9204606
129,299,201,152,49,1,4,45,138,0.9205141
130,304,196,151,45,5,4,41,139,0.9204489
131,305,195,146,49,1,5,44,139,0.9205075
132,309,191,145,46,4,4,42,139,0.9204348
133,311,189,141,48,2,5,43,140,0.9205781
134,312,188,139,49,1,4,45,140,0.9206057
135,312,188,138,50,0,4,46,142,0.9204564
136,312,188,138,50,0,2,48,143,0.9204357
137,314,186,138,48,2,2,46,144,0.9204546
138,316,184,136,48,2,3,45,145,0.920437
139,319,181,134,47,3,2,45,146,0.9204408
140,322,178,131,47,3,4,43,146,0.9204168
141,322,178,128,50,0,3,47,146,0.9204798
142,325,175,128,47,3,3,44,146,0.9204314
143,326,174,125,49,1,3,46,147,0.9204788
144,328,172,124,48,2,4,44,148,0.9205349
145,331,169,122,47,3,1,46,148,0.9204476
146,336,164,119,45,5,4,41,149,0.9204567
147,338,162,114,48,2,6,42,150,0.9204402
148,338,162,112,50,0,5,45,151,0.9204148
149,340,160,112,48,2,2,46,153,0.9204751
150,343,157,110,47,3,3,44,154,0.9204053
151,344,156,107,49,1,2,47,154,0.9205166
152,346,154,106,48,2,0,48,155,0.9204362
153,349,151,104,47,3,2,45,155,0.9204241
154,352,148,101,47,3,2,45,155,0.9204396
155,353,147,98,49,1,4,45,156,0.920432
156,354,146,97,49,1,2,47,157,0.9204761
157,355,145,96,49,1,1,48,159,0.9204617
158,358,142,95,47,3,0,47,159,0.9204065
159,359,141,92,49,1,2,47,159,0.9205064
160,361,139,91,48,2,1,47,160,0.9204456
161,363,137,89,48,2,3,45,160,0.9204092
162,366,134,87,47,3,5,42,163,0.920651
163,368,132,84,48,2,4,44,163,0.9204636
164,369,131,82,49,1,2,47,164,0.9204179
165,371,129,81,48,2,2,46,164,0.9205349
166,373,127,79,48,2,1,47,165,0.9204095
167,374,126,77,49,1,0,49,165,0.9204645
168,374,126,76,50,0,1,49,165,0.9204781
169,375,125,76,49,1,1,48,166,0.9205038
170,378,122,75,47,3,2,45,166,0.9204925
171,381,119,72,47,3,3,44,166,0.920448
172,384,116,69,47,3,4,43,166,0.9204334
173,386,114,66,48,2,6,42,166,0.9205518
174,387,113,64,49,1,8,41,167,0.920418
175,388,112,63,49,1,6,43,167,0.9206558
176,388,112,62,50,0,6,44,168,0.9204723
177,390,110,62,48,2,2,46,168,0.9204081
178,393,107,60,47,3,1,46,168,0.9203864
179,394,106,57,49,1,4,45,168,0.9204268
180,395,105,56,49,1,5,44,168,0.9206671
181,398,102,55,47,3,4,43,169,0.920623
182,399,101,52,49,1,5,44,170,0.9204481
183,404,96,51,45,5,4,41,171,0.9204932
184,405,95,46,49,1,5,44,171,0.9207254
185,406,94,45,49,1,6,43,171,0.9205479
186,410,90,44,46,4,6,40,172,0.9206084
187,412,88,40,48,2,8,40,172,0.9205005
188,414,86,38,48,2,9,39,173,0.9204232
189,416,84,36,48,2,8,40,176,0.9204087
190,417,83,34,49,1,9,40,176,0.9204203
191,418,82,33,49,1,8,41,176,0.9206565
192,418,82,32,50,0,7,43,177,0.9204258
193,418,82,32,50,0,7,43,178,0.9203997
194,418,82,32,50,0,5,45,178,0.9204302
195,420,80,32,48,2,5,43,178,0.9204033
196,420,80,30,50,0,7,43,180,0.9204464
197,421,79,30,49,1,5,44,180,0.9204653
198,421,79,29,50,0,6,44,180,0.9204716
199,422,78,29,49,1,6,43,182,0.9204403
200,423,77,28,49,1,6,43,182,0.9204297
201,426,74,27,47,3,7,40,184,0.9205208
202,428,72,24,48,2,9,39,185,0.9205843
203,429,71,22,49,1,9,40,185,0.9204812
204,433,67,21,46,4,9,37,186,0.920438
205,435,65,17,48,2,12,36,187,0.9204525
206,437,63,15,48,2,11,37,187,0.9204061
207,437,63,13,50,0,9,41,188,0.9204632
208,438,62,13,49,1,8,41,189,0.9204413
209,439,61,12,49,1,9,40,190,0.9205589
210,439,61,11,50,0,10,40,191,0.9205647
211,439,61,11,50,0,10,40,191,0.9203858
212,441,59,11,48,2,10,38,191,0.9203847
213,443,57,9,48,2,9,39,192,0.9203933
214,446,54,7,47,3,10,37,192,0.9204517
215,449,51,4,47,3,13,34,193,0.9203909
216,452,48,1,47,3,15,32,194,0.9204546
217,452,48,0,48,2,16,32,194,0.9205311
218,455,45,0,45,5,15,30,194,0.9204312
219,456,44,0,44,6,15,29,196,0.9204245
220,458,42,0,42,8,15,27,198,0.9204139
221,459,41,0,41,9,13,28,198,0.9204156
222,459,41,0,41,9,12,29,198,0.9203888
223,460,40,0,40,10,12,28,198,0.9205139
224,462,38,0,38,12,11,27,198,0.9204226
225,463,37,0,37,13,11,26,199,0.9204315
226,465,35,0,35,15,10,25,201,0.9204186
227,466,34,0,34,16,10,24,201,0.9205541
228,467,33,0,33,17,9,24,201,0.920647
229,467,33,0,33,17,9,24,201,0.9204893
230,468,32,0,32,18,6,26,201,0.9204279
231,468,32,0,32,18,5,27,201,0.9204496
232,470,30,0,30,20,4,26,201,0.9203986
233,471,29,0,29,21,4,25,201,0.9204742
234,473,27,0,27,23,2,25,201,0.9204305
235,475,25,0,25,25,2,23,201,0.9204119
236,475,25,0,25,25,1,24,201,0.9203871
237,475,25,0,25,25,1,24,201,0.9204186
238,475,25,0,25,25,0,25,201,0.9203668
239,475,25,0,25,25,0,25,202,0.9203642
240,475,25,0,25,25,0,25,202,0.9203893
241,475,25,0,25,25,0,25,204,0.9204191
242,476,24,0,24,26,0,24,204,0.9204231
243,476,24,0,24,26,0,24,204,0.9203932
244,478,22,0,22,28,0,22,206,0.9204791
245,478,22,0,22,28,0,22,206,0.9205043
