agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,9,47,7,210,3,7,207
1,9,21,25,218,5,25,213
2,12,37,28,199,2,28,197
3,12,28,10,226,2,10,224
4,10,46,21,197,2,20,196
5,9,24,19,221,3,19,218
6,10,18,32,214,7,31,208
7,10,13,22,229,6,21,224
8,12,20,30,214,3,29,212
9,11,17,20,227,4,20,223
10,9,33,29,202,0,29,202
11,10,49,24,191,3,24,188
12,9,46,22,196,5,22,191
13,10,45,27,192,2,25,192
14,11,25,17,222,3,16,220
15,10,47,12,205,7,12,198
16,11,25,21,218,4,20,215
17,11,28,13,223,2,13,221
18,10,21,19,224,3,19,221
19,11,59,6,199,2,6,197
20,11,25,17,222,1,17,221
21,11,33,10,221,0,10,221
22,11,16,38,210,4,37,207
23,11,60,26,178,7,24,173
24,11,19,16,229,2,16,227
25,12,40,30,194,1,29,194
26,9,35,35,194,7,33,189
27,7,49,9,206,4,9,202
28,10,56,15,193,3,15,190
29,11,56,15,193,1,15,192
30,9,29,37,198,4,37,194
31,11,58,24,182,8,21,177
32,10,45,16,203,3,16,200
33,8,54,18,192,4,18,188
34,9,43,9,212,2,7,212
35,11,50,10,204,5,8,201
36,9,39,30,195,3,27,195
37,10,55,28,181,4,26,179
38,8,55,12,197,5,12,192
39,11,30,30,204,4,30,200
40,10,43,14,207,1,14,206
41,8,53,8,203,2,8,201
42,10,21,23,220,3,23,217
43,10,44,26,194,5,26,189
44,11,56,20,188,6,17,185
45,8,18,24,222,3,24,219
46,10,49,17,198,6,17,192
47,9,52,19,193,4,19,189
48,8,55,21,188,3,21,185
49,10,14,33,217,6,31,213
