task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,6,25,10,0,5,17,5,19,0,1,6,25,1.117647
1,0,1,1,34,17,0,0,33,0,33,0,1,1,34,1.000000
2,0,1,3,25,29,0,2,18,2,22,0,1,3,25,1.222222
3,0,1,6,31,5,0,5,25,5,25,0,1,6,31,1.000000
4,0,1,5,22,36,0,4,13,4,17,0,1,5,22,1.307692
5,0,1,5,33,31,0,4,28,4,28,0,1,5,33,1.000000
6,0,1,2,17,38,0,1,15,1,15,0,1,2,17,1.000000
7,0,1,3,10,25,0,2,7,2,7,0,1,3,10,1.000000
8,0,1,3,13,15,0,2,10,2,10,0,1,3,13,1.000000
9,0,1,1,7,4,0,0,6,0,6,0,1,1,7,1.000000
10,1,2,2,26,11,0,0,24,0,24,0,1,1,25,1.000000
11,1,2,2,14,0,0,0,12,0,12,0,1,1,13,1.000000
12,1,2,91,108,14,2,15,15,6,15,3,1,90,107,1.000000
13,1,2,50,71,26,0,11,19,5,19,2,1,49,70,1.000000
14,1,2,40,52,9,2,11,10,5,12,0,1,39,51,1.200000
15,1,2,5,20,18,0,3,15,3,15,0,1,4,19,1.000000
16,1,2,12,28,6,0,10,15,10,15,1,1,11,27,1.000000
17,1,2,101,133,41,0,10,28,4,32,0,1,100,132,1.142857
18,1,2,23,37,28,0,10,11,6,13,1,1,22,36,1.181818
19,1,2,8,28,3,0,6,20,6,20,0,1,7,27,1.000000
20,2,3,87,116,45,0,10,26,10,28,2,1,85,114,1.076923
21,2,3,5,17,1,0,2,12,2,12,0,1,3,15,1.000000
22,2,3,29,36,48,0,13,7,6,7,0,1,27,34,1.000000
23,2,3,3,19,30,0,0,16,0,16,0,1,1,17,1.000000
24,2,3,3,23,44,0,0,20,0,20,0,1,1,21,1.000000
25,2,3,15,24,37,1,7,9,12,9,0,1,13,22,1.000000
26,2,3,109,142,14,0,6,32,4,32,1,1,107,140,1.000000
27,2,3,21,49,16,0,12,20,4,28,0,1,19,47,1.400000
28,2,3,101,122,21,1,12,21,4,21,1,1,99,120,1.000000
29,2,3,190,222,47,1,10,30,9,32,0,1,188,220,1.066667
30,3,4,135,149,20,1,11,14,3,14,1,1,132,146,1.000000
31,3,4,46,53,7,0,13,7,10,7,0,1,43,50,1.000000
32,3,4,15,58,2,0,12,23,2,41,2,1,12,55,1.782609
33,3,4,29,52,34,0,11,13,5,21,2,1,26,49,1.615385
34,3,4,8,29,21,0,4,21,4,21,0,1,5,26,1.000000
35,3,4,141,168,13,1,13,21,8,25,2,1,138,165,1.190476
36,3,4,13,32,32,0,9,11,9,19,0,1,10,29,1.727273
37,3,4,10,22,43,1,8,12,6,12,0,1,7,19,1.000000
38,3,4,4,39,12,0,0,33,0,35,0,1,1,36,1.060606
39,3,4,35,45,46,0,15,10,5,10,0,1,32,42,1.000000
40,4,5,180,213,9,0,11,17,11,33,0,1,176,209,1.941176
41,4,5,108,124,13,0,19,15,2,15,1,1,104,120,1.000000
42,4,5,7,37,19,0,2,28,2,30,0,1,3,33,1.071429
43,4,5,31,43,33,0,13,12,5,12,0,1,27,39,1.000000
44,4,5,11,34,40,0,6,18,6,22,1,1,7,30,1.222222
45,4,5,66,89,22,1,7,21,4,23,1,1,62,85,1.095238
46,4,5,8,28,20,2,10,17,3,19,1,1,4,24,1.117647
47,4,5,10,42,24,1,10,32,5,32,0,1,6,38,1.000000
48,4,5,13,45,42,0,8,24,8,32,0,1,9,41,1.333333
49,4,5,124,142,8,1,10,18,4,18,0,1,120,138,1.000000
50,5,98,98,137,3,0,0,37,0,39,0,93,93,132,1.054054
51,5,73,73,99,42,0,0,16,0,26,0,68,68,94,1.625000
52,5,6,7,25,23,1,4,16,1,18,0,1,2,20,1.125000
53,5,6,10,34,37,0,4,18,4,24,0,1,5,29,1.333333
54,5,6,8,18,20,0,2,10,2,10,0,1,3,13,1.000000
55,5,6,14,24,13,0,7,9,7,9,2,1,9,19,1.000000
56,5,6,11,21,35,1,15,10,5,10,0,1,6,16,1.000000
57,5,6,6,24,27,0,0,13,0,17,1,1,1,19,1.307692
58,5,6,40,50,47,0,8,10,3,10,0,1,35,45,1.000000
59,5,6,161,185,41,0,6,22,3,24,0,1,156,180,1.090909
60,6,7,29,46,9,0,4,15,0,17,1,1,23,40,1.133333
61,6,7,9,33,23,0,2,24,2,24,0,1,3,27,1.000000
62,6,35,35,56,40,0,0,16,0,20,1,29,29,50,1.250000
63,6,7,10,19,49,2,6,9,3,9,0,1,4,13,1.000000
64,6,194,194,222,27,0,0,22,0,28,0,188,188,216,1.272727
65,6,7,8,29,8,1,3,19,0,21,1,1,2,23,1.105263
66,6,7,11,17,34,0,4,6,4,6,0,1,5,11,1.000000
67,6,7,9,28,26,0,2,15,2,19,0,1,3,22,1.266667
68,6,7,8,31,2,0,1,22,1,22,1,1,2,25,1.000000
69,6,44,44,54,4,0,0,10,0,10,0,38,38,48,1.000000
70,7,38,38,54,19,0,0,16,0,16,0,31,31,47,1.000000
71,7,8,8,40,8,0,0,28,0,32,0,1,1,33,1.142857
72,7,8,11,13,9,0,3,2,3,2,0,1,4,6,1.000000
73,7,11,14,33,25,0,3,19,3,19,0,4,7,26,1.000000
74,7,129,131,159,41,0,2,24,2,28,0,122,124,152,1.166667
75,7,8,9,39,49,0,1,28,1,30,0,1,2,32,1.071429
76,7,126,126,152,38,0,0,20,0,26,0,119,119,145,1.300000
77,7,8,11,21,43,0,1,7,3,9,1,1,4,14,1.285714
78,7,8,13,23,46,0,3,10,5,10,0,1,6,16,1.000000
79,7,49,49,65,31,0,0,14,0,16,0,42,42,58,1.142857
80,8,86,87,101,0,0,1,14,1,14,0,78,79,93,1.000000
81,8,9,9,26,47,0,0,17,0,17,0,1,1,18,1.000000
82,8,62,62,84,33,0,0,20,0,22,0,54,54,76,1.100000
