agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,9,39,11,206,1,11,205
1,13,39,17,200,6,16,195
2,8,36,15,205,2,15,203
3,11,26,7,223,1,6,223
4,8,53,9,194,3,8,192
5,10,35,21,200,2,21,198
6,10,43,10,203,4,10,199
7,11,30,15,211,2,14,210
8,8,47,11,198,6,11,192
9,10,42,8,206,1,8,205
10,8,35,18,203,5,18,198
11,9,43,11,202,3,11,199
12,11,42,25,189,3,25,186
13,13,17,17,222,5,17,217
14,10,54,17,185,5,15,182
15,13,30,15,211,3,14,209
16,10,43,19,194,3,18,192
17,11,21,30,205,3,29,203
18,9,56,22,178,6,20,174
19,9,38,24,194,6,23,189
20,8,55,18,183,5,18,178
21,10,46,13,197,2,13,195
22,10,49,13,194,4,13,190
23,9,40,18,198,2,18,196
24,10,31,12,213,2,12,211
25,12,54,22,180,4,21,177
26,11,43,13,200,7,13,193
27,7,53,14,189,9,12,182
28,12,36,18,202,4,18,198
29,10,49,18,189,4,18,185
30,10,46,5,205,2,5,203
31,8,38,14,204,5,13,200
32,10,24,49,183,6,46,180
33,11,29,30,197,7,28,192
34,10,39,15,202,5,15,197
35,9,49,24,183,3,22,182
36,10,19,8,229,1,8,228
37,12,50,16,190,4,16,186
38,9,34,9,213,7,8,207
39,12,58,16,182,4,16,178
40,12,27,30,199,5,27,197
41,11,50,4,202,6,4,196
42,10,55,32,169,4,30,167
43,9,42,23,191,3,21,190
44,12,32,28,196,3,26,195
45,11,48,18,190,6,17,185
46,9,55,11,190,1,11,189
47,7,53,20,183,2,20,181
48,9,37,11,208,6,11,202
49,9,34,28,194,4,28,190
