"Run","Makespan","Finished","EntryTimeouts","PlannerErrors","ScheduleErrors"
"f10_n50_age_010_seed10","254","500","0","0","0"
"f10_n50_age_010_seed11","276","500","0","0","0"
"f10_n50_age_010_seed12","265","500","0","0","0"
"f10_n50_age_010_seed15","267","500","0","0","0"
"f10_n50_age_010_seed18","276","500","0","0","0"
"f10_n50_age_010_seed23","272","500","0","0","0"
"f10_n50_age_010_seed24","265","500","0","0","0"
"f10_n50_age_010_seed8","277","500","0","0","0"
"f10_n50_age_025_seed10","250","500","0","0","0"
"f10_n50_age_025_seed11","276","500","0","0","0"
"f10_n50_age_025_seed12","261","500","0","0","0"
"f10_n50_age_025_seed15","267","500","0","0","0"
"f10_n50_age_025_seed18","269","500","0","0","0"
"f10_n50_age_025_seed23","271","500","0","0","0"
"f10_n50_age_025_seed24","263","500","0","0","0"
"f10_n50_age_025_seed8","288","500","0","0","0"
"f10_n50_age_025_stable_seed10","258","500","0","0","0"
"f10_n50_age_025_stable_seed11","273","500","0","0","0"
"f10_n50_age_025_stable_seed12","261","500","0","0","0"
"f10_n50_age_025_stable_seed15","266","500","0","0","0"
"f10_n50_age_025_stable_seed18","271","500","0","0","0"
"f10_n50_age_025_stable_seed23","276","500","0","0","0"
"f10_n50_age_025_stable_seed24","259","500","0","0","0"
"f10_n50_age_025_stable_seed8","277","500","0","0","0"
"f10_n50_age_050_seed10","252","500","0","0","0"
"f10_n50_age_050_seed11","271","500","0","0","0"
"f10_n50_age_050_seed12","261","500","0","0","0"
"f10_n50_age_050_seed15","262","500","0","0","0"
"f10_n50_age_050_seed18","270","500","0","0","0"
"f10_n50_age_050_seed23","278","500","0","0","0"
"f10_n50_age_050_seed24","258","500","0","0","0"
"f10_n50_age_050_seed8","290","500","0","0","0"
