timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.9206972
2,0,6,2,4,76,3,1,0,0.9208863
3,0,8,2,6,74,5,1,0,0.9209915
4,0,10,2,8,72,6,2,0,0.9203357
5,0,12,2,10,70,7,3,0,0.9204573
6,0,14,2,12,68,9,3,0,0.9208593
7,0,16,2,14,66,10,4,0,0.9209639
8,0,18,2,16,64,8,8,1,0.9205735
9,1,19,2,17,63,7,10,1,0.9210588
10,1,21,2,19,61,8,11,1,0.9208308
11,1,23,2,21,59,9,12,2,0.9205383
12,1,25,2,23,57,6,17,2,0.9210605
13,1,27,2,25,55,8,17,3,0.9211474
14,1,29,2,27,53,9,18,3,0.9208824
15,1,31,2,29,51,9,20,3,0.9207893
16,2,32,2,30,50,9,21,3,0.9202976
17,2,34,2,32,48,8,24,4,0.9205071
18,4,34,2,32,48,9,23,4,0.920669
19,7,33,2,31,49,10,21,5,0.9204863
20,8,34,2,32,48,11,21,7,0.9210913
21,11,33,2,31,49,12,19,8,0.9211119
22,11,35,2,33,47,12,21,8,0.920412
23,11,37,2,35,45,13,22,9,0.9203248
24,12,38,2,36,44,14,22,9,0.9203297
25,12,40,2,38,42,13,25,9,0.9211051
26,15,39,2,37,43,11,26,10,0.9204395
27,16,40,2,38,42,12,26,11,0.9207813
28,16,42,2,40,40,11,29,12,0.9210939
29,17,43,2,41,39,10,31,13,0.920928
30,19,43,2,41,39,11,30,13,0.9203606
31,21,43,2,41,39,11,30,14,0.9204346
32,22,44,2,42,38,13,29,14,0.9204389
33,25,43,2,41,39,12,29,14,0.9209012
34,26,44,2,42,38,11,31,14,0.9208139
35,27,45,2,43,37,11,32,14,0.9204906
36,28,46,2,44,36,11,33,14,0.9206704
37,29,47,2,45,35,9,36,15,0.920724
38,31,47,2,45,35,9,36,16,0.9211624
39,33,47,2,45,35,7,38,19,0.9208009
40,34,48,2,46,34,8,38,19,0.9205389
41,34,50,2,48,32,8,40,20,0.9205892
42,34,52,2,50,30,9,41,20,0.9210549
43,37,51,2,49,31,6,43,20,0.9212135
44,40,50,2,48,32,5,43,21,0.9203634
45,44,48,2,46,34,7,39,21,0.9206499
46,44,50,2,48,32,6,42,21,0.9203266
47,46,50,2,48,32,7,41,21,0.9207038
48,47,51,2,49,31,7,42,22,0.9210248
49,49,51,2,49,31,8,41,23,0.9202457
50,49,53,2,51,29,9,42,24,0.921186
51,51,53,2,51,29,11,40,24,0.920937
52,56,50,2,48,32,9,39,24,0.9203347
53,56,52,2,50,30,7,43,25,0.9203874
54,60,50,2,48,32,7,41,26,0.9209725
55,63,49,2,47,33,8,39,28,0.9211565
56,63,51,2,49,31,6,43,30,0.9203972
57,65,51,2,49,31,5,44,30,0.9209472
58,67,51,2,49,31,3,46,31,0.9208171
59,71,49,2,47,33,2,45,31,0.9204801
60,75,47,2,45,35,3,42,31,0.9208309
61,77,47,2,45,35,4,41,33,0.9203265
62,78,48,2,46,34,4,42,33,0.9210186
63,78,50,2,48,32,6,42,35,0.9206483
64,81,49,2,47,33,7,40,36,0.9210977
65,85,47,2,45,35,8,37,36,0.9210897
66,89,45,2,43,37,8,35,36,0.9205219
67,93,43,2,41,39,8,33,36,0.9211152
68,95,43,2,41,39,9,32,36,0.9212156
69,95,45,2,43,37,7,36,36,0.9212058
70,97,45,2,43,37,8,35,36,0.9205546
71,97,47,2,45,35,7,38,36,0.9205866
72,99,47,2,45,35,8,37,36,0.9210396
73,100,48,2,46,34,5,41,36,0.9204115
74,102,48,2,46,34,6,40,36,0.9209858
75,102,50,2,48,32,5,43,36,0.92049
76,103,51,2,49,31,7,42,37,0.921043
77,103,53,2,51,29,7,44,39,0.9203676
78,104,54,2,52,28,9,43,39,0.9203734
