agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,3,153,13,124,1,13,123
1,6,143,28,119,2,27,118
2,7,104,26,160,4,24,158
3,3,221,9,60,0,9,60
4,5,156,23,111,0,23,111
5,6,128,23,139,4,23,135
6,5,144,19,127,1,19,126
7,5,127,32,131,1,32,130
8,6,93,23,174,4,21,172
9,4,184,7,99,0,7,99
10,3,205,5,80,1,5,79
11,6,108,34,148,5,32,145
12,6,106,18,166,3,17,164
13,5,184,32,74,2,31,73
14,7,103,30,157,2,30,155
15,6,152,25,113,4,24,110
16,8,85,29,176,3,29,173
17,7,106,24,160,2,23,159
18,6,107,32,151,6,32,145
19,7,164,29,97,1,28,97
20,8,117,34,139,2,32,139
21,9,96,24,170,4,23,167
22,7,77,39,174,6,38,169
23,8,106,26,158,1,26,157
24,7,158,20,112,4,20,108
25,9,63,20,207,1,20,206
26,9,92,35,163,7,35,156
27,5,120,1,169,3,1,166
28,9,97,19,174,1,19,173
29,7,117,31,142,4,31,138
30,8,84,35,171,7,32,167
31,6,120,31,139,4,29,137
32,6,148,25,117,3,24,115
33,6,90,31,169,0,31,169
34,6,158,17,115,3,16,113
35,8,111,20,159,1,19,159
36,8,164,30,96,2,29,95
37,8,102,24,164,1,23,164
38,8,88,14,188,9,14,179
39,5,184,9,97,3,7,96
40,10,76,32,182,1,32,181
41,6,174,25,91,1,25,90
42,5,131,11,148,5,10,144
43,5,157,21,112,2,21,110
44,11,66,38,186,6,38,180
45,8,116,37,137,2,35,137
46,6,143,18,129,1,18,128
47,9,92,27,171,3,26,169
48,4,165,12,113,2,11,112
49,6,154,10,126,2,10,124
50,2,238,4,48,0,4,48
51,9,78,35,177,5,35,172
52,9,114,24,152,2,24,150
53,8,122,27,141,2,27,139
54,6,101,13,176,0,13,176
55,6,133,30,127,2,30,125
56,7,89,25,176,0,25,176
57,6,141,18,131,2,17,130
58,8,142,16,132,3,14,131
59,5,151,19,120,1,19,119
60,5,148,31,111,1,30,111
61,6,124,20,146,2,20,144
62,9,136,27,127,2,27,125
63,8,73,21,196,2,21,194
64,4,187,6,97,2,6,95
65,0,290,0,0,0,0,0
66,3,202,12,76,6,11,71
67,3,216,13,61,3,10,61
68,5,189,25,76,1,25,75
69,6,162,20,108,1,20,107
70,6,123,22,145,4,20,143
71,4,176,19,95,3,18,93
72,7,132,25,133,2,25,131
73,4,202,9,79,3,8,77
74,4,135,3,152,3,3,149
75,5,195,12,83,2,12,81
76,7,127,17,146,4,17,142
77,5,142,17,131,3,16,129
78,8,99,32,159,7,30,154
79,7,129,36,125,6,33,122
