task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,4,45,16,0,3,3,4,0,0,39,3,41,0,0,0,1,4,45,1.051282
1,0,1,15,43,14,1,9,3,3,0.000000,0.000000,24,14,28,0,0,0,1,15,43,1.166667
2,1,2,7,16,29,0,5,3,4,0.000000,0.000000,9,5,9,0,0,0,1,6,15,1.000000
3,1,2,13,29,51,1,9,3,3,0.000000,0.000000,16,11,16,0,0,0,1,12,28,1.000000
4,2,3,3,42,7,0,0,3,-1,-1.000000,-1.000000,39,0,39,0,0,0,1,1,40,1.000000
5,2,3,8,22,30,0,5,3,3,0.000000,0.000000,14,5,14,0,0,0,1,6,20,1.000000
6,3,4,7,16,37,0,3,3,4,0.000000,0.000000,9,3,9,0,0,0,1,4,13,1.000000
7,3,4,10,23,51,0,6,3,3,0.000000,0.000000,10,6,12,0,1,1,1,7,20,1.200000
8,4,5,13,25,46,0,8,3,4,0.000000,0.000000,12,8,12,0,0,0,1,9,21,1.000000
9,4,5,6,16,34,0,1,4,4,0.000000,0.000000,10,1,10,0,0,0,1,2,12,1.000000
10,5,6,15,23,44,0,9,3,4,0.000000,0.000000,7,9,7,0,1,1,1,10,18,1.000000
11,5,6,9,21,14,0,3,3,3,0.000000,0.000000,12,3,12,0,0,0,1,4,16,1.000000
12,6,7,7,8,20,0,0,4,-1,-1.000000,-1.000000,1,0,1,0,0,0,1,1,2,1.000000
13,6,7,7,43,54,0,0,4,-1,-1.000000,-1.000000,36,0,36,0,0,0,1,1,37,1.000000
14,7,8,20,45,33,4,12,3,4,0.000000,0.000000,13,11,25,1,0,1,1,13,38,1.923077
15,7,8,14,30,63,0,6,3,4,0.000000,0.000000,16,6,16,0,0,0,1,7,23,1.000000
16,8,9,14,24,56,0,5,3,4,0.000000,0.000000,8,5,10,0,0,0,1,6,16,1.250000
17,8,9,9,39,2,0,0,4,-1,-1.000000,-1.000000,30,0,30,0,0,0,1,1,31,1.000000
18,9,10,10,27,11,0,0,3,-1,-1.000000,-1.000000,16,0,16,0,1,1,1,1,18,1.000000
19,9,10,20,36,40,0,10,3,4,0.000000,0.000000,16,10,16,0,0,0,1,11,27,1.000000
20,10,11,24,38,36,6,13,3,4,0.000000,0.000000,13,13,13,0,1,1,1,14,28,1.000000
21,10,11,11,13,26,0,0,4,-1,-1.000000,-1.000000,2,0,2,0,0,0,1,1,3,1.000000
22,11,12,14,19,32,1,4,4,4,0.000000,0.000000,5,2,5,0,0,0,1,3,8,1.000000
23,11,12,12,28,8,0,0,3,-1,-1.000000,-1.000000,16,0,16,0,0,0,1,1,17,1.000000
24,12,13,16,32,49,0,3,4,4,0.000000,0.000000,16,3,16,0,0,0,1,4,20,1.000000
25,12,13,13,31,38,0,0,4,-1,-1.000000,-1.000000,18,0,18,0,0,0,1,1,19,1.000000
26,13,14,15,24,28,0,1,4,4,0.000000,1.000000,9,1,9,0,0,0,1,2,11,1.000000
27,13,14,19,32,52,0,5,3,4,0.000000,0.000000,13,5,13,0,0,0,1,6,19,1.000000
28,14,15,26,45,53,0,9,3,4,0.000000,1.000000,14,11,18,0,1,1,1,12,31,1.285714
29,14,15,21,40,43,1,11,3,4,0.000000,0.000000,19,6,19,0,0,0,1,7,26,1.000000
30,15,16,16,33,20,0,0,4,-1,-1.000000,-1.000000,17,0,17,0,0,0,1,1,18,1.000000
31,15,16,19,50,32,1,4,4,4,0.000000,0.000000,31,2,31,1,0,1,1,4,35,1.000000
32,16,17,19,23,58,0,2,4,4,0.000000,0.000000,4,2,4,0,0,0,1,3,7,1.000000
33,16,17,23,38,18,0,6,3,4,0.000000,1.000000,15,6,15,0,0,0,1,7,22,1.000000
34,17,18,18,50,77,0,0,3,-1,-1.000000,-1.000000,27,0,31,0,1,1,1,1,33,1.148148
35,17,18,36,58,32,6,14,3,4,0.000000,0.000000,18,18,22,0,0,0,1,19,41,1.222222
36,18,19,22,29,32,0,3,4,4,0.000000,0.000000,7,3,7,0,0,0,1,4,11,1.000000
37,18,19,19,33,57,0,0,4,-1,-1.000000,-1.000000,14,0,14,0,0,0,1,1,15,1.000000
38,19,20,21,31,26,0,1,3,3,0.000000,2.000000,8,1,10,0,0,0,1,2,12,1.250000
39,19,20,25,50,62,2,9,3,4,0.000000,0.000000,23,4,25,1,0,1,1,6,31,1.086957
40,20,21,21,31,17,0,0,4,-1,-1.000000,-1.000000,10,0,10,0,0,0,1,1,11,1.000000
41,20,21,27,41,43,0,6,3,4,0.000000,1.000000,13,6,13,0,1,1,1,7,21,1.000000
42,21,22,25,40,47,0,3,4,4,0.000000,1.000000,15,3,15,0,0,0,1,4,19,1.000000
43,21,22,22,38,14,0,0,3,-1,-1.000000,-1.000000,16,0,16,0,0,0,1,1,17,1.000000
44,22,23,25,32,71,1,11,3,3,1.000000,1.000000,7,2,7,0,0,0,1,3,10,1.000000
45,22,23,30,44,5,0,7,3,4,0.000000,1.000000,14,7,14,0,0,0,1,8,22,1.000000
46,23,24,25,40,62,0,1,4,4,1.000000,1.000000,13,1,15,0,0,0,1,2,17,1.153846
47,23,24,27,53,21,0,3,3,4,0.000000,1.000000,24,3,26,0,0,0,1,4,30,1.083333
48,24,25,34,35,31,0,9,3,4,0.000000,1.000000,1,9,1,0,0,0,1,10,11,1.000000
49,24,25,29,40,28,0,4,3,3,0.000000,1.000000,11,4,11,0,0,0,1,5,16,1.000000
50,25,26,39,59,60,1,11,3,4,0.000000,0.000000,19,13,19,0,1,1,1,14,34,1.000000
51,25,26,35,58,24,1,7,3,4,0.000000,0.000000,23,9,23,0,0,0,1,10,33,1.000000
52,26,27,27,34,29,0,0,4,-1,-1.000000,-1.000000,7,0,7,0,0,0,1,1,8,1.000000
53,26,27,46,60,6,2,10,3,3,0.000000,0.000000,14,19,14,0,0,0,1,20,34,1.000000
54,27,28,36,59,55,1,8,3,4,0.000000,0.000000,19,8,21,0,2,2,1,9,32,1.105263
55,27,28,39,43,13,1,9,3,3,0.000000,0.000000,3,11,3,0,1,1,1,12,16,1.000000
56,28,29,31,62,76,0,2,3,3,0.000000,0.000000,31,2,31,0,0,0,1,3,34,1.000000
