timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,2,0,0,0.9209553
2,0,6,2,4,76,4,0,0,0.9208515
3,0,8,2,6,74,5,1,0,0.9208224
4,0,10,2,8,72,6,2,0,0.9208194
5,0,12,2,10,70,8,2,0,0.9208038
6,0,14,2,12,68,9,3,0,0.9210583
7,0,16,2,14,66,7,7,0,0.9209524
8,1,17,2,15,65,8,7,0,0.9208524
9,1,19,2,17,63,8,9,0,0.9209211
10,1,21,2,19,61,9,10,0,0.9210353
11,1,23,2,21,59,9,12,0,0.9209195
12,1,25,2,23,57,9,14,0,0.9209245
13,2,26,2,24,56,9,15,0,0.9209004
14,2,28,2,26,54,9,17,0,0.920944
15,2,30,2,28,52,7,21,0,0.9209062
16,5,29,2,27,53,8,19,0,0.9209281
17,5,31,2,29,51,10,19,0,0.9208657
18,5,33,2,31,49,9,22,0,0.920952
19,5,35,2,33,47,7,26,1,0.9209899
20,6,36,2,34,46,7,27,1,0.9209137
21,7,37,2,35,45,7,28,1,0.9209863
22,9,37,2,35,45,6,29,2,0.9211244
23,10,38,2,36,44,7,29,4,0.9209295
24,12,38,2,36,44,9,27,4,0.9209041
25,13,39,2,37,43,10,27,5,0.920887
26,13,41,2,39,41,12,27,7,0.9209479
27,15,41,2,39,41,13,26,8,0.9209845
28,17,41,2,39,41,12,27,9,0.9209599
29,17,43,2,41,39,11,30,10,0.9209445
30,18,44,2,42,38,11,31,10,0.9211219
31,19,45,2,43,37,12,31,12,0.9208824
32,22,44,2,42,38,13,29,13,0.9209724
33,24,44,2,42,38,12,30,13,0.9209498
34,26,44,2,42,38,10,32,15,0.9208947
35,28,44,2,42,38,10,32,19,0.9209228
36,31,43,2,41,39,11,30,19,0.9211904
37,32,44,2,42,38,12,30,21,0.9213151
38,33,45,2,43,37,10,33,23,0.9203762
39,35,45,2,43,37,11,32,23,0.9209253
40,36,46,2,44,36,12,32,23,0.921062
41,39,45,2,43,37,12,31,26,0.9202851
42,40,46,2,44,36,12,32,27,0.9208678
43,41,47,2,45,35,11,34,28,0.9209112
44,44,46,2,44,36,7,37,28,0.9208673
45,48,44,2,42,38,4,38,28,0.9208627
46,49,45,2,43,37,4,39,29,0.9209332
47,49,47,2,45,35,6,39,30,0.9208895
48,53,45,2,43,37,6,37,30,0.9208525
49,55,45,2,43,37,7,36,30,0.9208133
50,55,47,2,45,35,5,40,31,0.9208273
