agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,1,171,74,44,4,70,44
1,7,139,39,111,3,37,110
2,3,195,25,69,1,24,69
3,2,225,10,54,0,10,54
4,1,259,4,26,1,3,26
5,7,168,12,109,3,12,106
6,8,71,39,179,2,39,177
7,3,197,6,86,1,6,85
8,5,146,33,110,5,30,108
9,5,131,22,136,1,21,136
10,8,106,28,155,5,27,151
11,4,138,21,130,2,21,128
12,7,91,21,177,2,20,176
13,7,125,42,122,6,40,118
14,7,114,27,148,0,27,148
15,5,144,35,110,4,33,108
16,9,111,26,152,4,24,150
17,5,150,61,78,7,57,75
18,9,67,50,172,6,48,168
19,8,115,37,137,4,36,134
20,11,40,45,204,6,44,199
21,7,91,19,179,8,18,172
22,7,146,19,124,5,19,119
23,6,121,54,114,12,45,111
24,4,139,40,110,2,38,110
25,7,72,38,179,3,37,177
26,9,81,37,171,6,35,167
27,6,176,10,103,2,10,101
28,5,136,43,110,7,39,107
29,9,84,34,171,4,33,168
30,8,138,32,119,5,29,117
31,10,60,34,195,3,34,192
32,7,122,21,146,4,21,142
33,5,173,26,90,6,23,87
34,9,69,17,203,6,16,198
35,5,158,32,99,4,29,98
36,8,86,33,170,5,31,167
37,9,63,22,204,6,22,198
38,7,105,20,164,2,20,162
39,7,120,31,138,4,30,135
40,6,150,26,113,2,25,112
41,7,103,25,161,2,25,159
42,7,106,25,158,4,24,155
43,9,77,52,160,5,51,156
44,6,121,38,130,8,35,125
45,8,86,31,172,7,29,167
46,10,48,38,203,4,35,202
47,8,119,32,138,6,29,135
48,6,114,27,148,3,25,147
49,7,89,27,173,3,27,170
50,6,137,28,124,5,27,120
51,10,88,30,171,2,29,170
52,8,82,28,179,2,27,178
53,9,87,30,172,3,28,171
54,6,128,25,136,4,23,134
55,3,188,29,72,4,25,72
56,7,164,17,108,1,17,107
57,7,108,29,152,4,27,150
58,11,70,42,177,4,42,173
59,5,158,23,108,4,23,104
60,5,149,10,130,2,10,128
61,6,116,20,153,2,20,151
62,5,152,12,125,1,11,125
63,9,111,38,140,2,37,139
64,7,150,16,123,3,16,120
65,0,267,22,0,0,22,0
66,5,168,18,103,6,18,97
67,2,234,8,47,1,7,47
68,3,215,19,55,1,18,55
69,6,129,30,130,4,28,128
70,5,150,24,115,0,24,115
71,2,227,11,51,1,11,50
72,3,210,10,69,1,10,68
73,7,168,14,107,2,14,105
74,4,171,15,103,4,12,102
75,4,166,13,110,2,12,109
76,6,148,21,120,1,21,119
77,3,197,21,71,4,20,68
78,8,92,34,163,5,34,158
79,7,143,28,118,2,27,117
