task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,service_shortest_distance,empty_distance,loaded_distance,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,5,12,14,0,4,7,4,7,0,1,5,12,1.000000
1,0,1,10,17,33,0,9,7,9,7,0,1,10,17,1.000000
2,1,2,3,15,40,0,1,12,1,12,0,1,2,14,1.000000
3,1,2,3,26,25,0,1,23,1,23,0,1,2,25,1.000000
4,2,3,6,30,20,0,3,24,3,24,0,1,4,28,1.000000
5,2,3,5,18,18,0,2,13,2,13,0,1,3,16,1.000000
6,3,4,10,26,29,0,6,13,6,15,1,1,7,23,1.153846
7,3,4,13,27,6,1,9,14,9,14,0,1,10,24,1.000000
8,4,5,11,31,63,0,6,20,6,20,0,1,7,27,1.000000
9,4,5,5,40,37,0,0,35,0,35,0,1,1,36,1.000000
10,5,6,15,44,32,0,9,28,9,28,1,1,10,39,1.000000
11,5,6,8,30,30,1,1,22,2,22,0,1,3,25,1.000000
12,6,7,9,24,30,0,2,15,2,15,0,1,3,18,1.000000
13,6,7,7,38,52,0,0,31,0,31,0,1,1,32,1.000000
14,7,8,25,48,41,1,9,19,16,23,1,1,18,41,1.210526
15,7,8,14,34,36,0,6,18,6,18,2,1,7,27,1.000000
16,8,9,15,29,31,1,5,14,6,14,0,1,7,21,1.000000
17,8,9,17,46,38,0,8,19,8,27,2,1,9,38,1.421053
18,9,10,10,18,44,0,0,8,0,8,0,1,1,9,1.000000
19,9,10,11,39,31,0,1,27,1,27,1,1,2,30,1.000000
20,10,11,17,35,51,1,5,18,6,18,0,1,7,25,1.000000
21,10,11,20,36,47,0,9,16,9,16,0,1,10,26,1.000000
22,11,12,19,32,46,0,7,13,7,13,0,1,8,21,1.000000
23,11,12,23,32,79,0,11,9,11,9,0,1,12,21,1.000000
24,12,13,17,31,43,1,9,12,4,14,0,1,5,19,1.166667
25,12,13,15,39,22,0,2,24,2,24,0,1,3,27,1.000000
26,13,14,15,22,56,0,1,7,1,7,0,1,2,9,1.000000
27,13,14,19,35,53,1,7,14,5,16,0,1,6,22,1.142857
28,14,15,16,29,62,0,1,13,1,13,0,1,2,15,1.000000
29,14,15,20,27,60,0,5,7,5,7,0,1,6,13,1.000000
30,15,16,21,49,16,0,5,24,5,28,0,1,6,34,1.166667
31,15,16,18,21,51,0,2,3,2,3,0,1,3,6,1.000000
32,16,17,20,28,49,0,3,8,3,8,0,1,4,12,1.000000
33,16,17,25,37,6,0,8,12,8,12,0,1,9,21,1.000000
34,17,18,27,49,78,0,9,17,9,21,1,1,10,32,1.235294
35,17,18,26,42,13,0,8,16,8,16,0,1,9,25,1.000000
36,18,19,30,43,53,1,6,13,11,13,0,1,12,25,1.000000
37,18,19,34,47,26,3,7,13,15,13,0,1,16,29,1.000000
38,19,20,24,43,53,0,4,17,4,19,0,1,5,24,1.117647
39,19,20,27,43,48,0,5,15,7,15,1,1,8,24,1.000000
40,20,21,22,33,45,0,1,11,1,11,0,1,2,13,1.000000
41,20,21,28,43,27,0,7,15,7,15,0,1,8,23,1.000000
42,21,22,23,47,12,0,1,21,1,23,1,1,2,26,1.095238
43,21,22,31,65,11,0,9,28,9,34,0,1,10,44,1.214286
44,22,23,23,32,24,0,0,8,0,8,1,1,1,10,1.000000
45,22,23,32,47,33,0,9,15,9,15,0,1,10,25,1.000000
46,23,24,24,50,58,0,0,24,0,26,0,1,1,27,1.083333
47,23,24,30,57,51,3,11,27,6,27,0,1,7,34,1.000000
48,24,25,25,46,26,0,0,21,0,21,0,1,1,22,1.000000
49,24,25,30,52,18,1,3,18,5,22,0,1,6,28,1.222222
50,25,26,44,74,28,3,9,27,18,29,1,1,19,49,1.074074
51,25,26,34,43,51,1,9,9,8,9,0,1,9,18,1.000000
52,26,27,27,39,30,0,0,12,0,12,0,1,1,13,1.000000
53,26,27,38,51,23,0,11,13,11,13,0,1,12,25,1.000000
54,27,28,42,72,29,1,10,30,14,30,0,1,15,45,1.000000
55,27,28,29,61,69,0,1,32,1,32,0,1,2,34,1.000000
56,28,29,31,41,49,1,4,6,2,10,0,1,3,13,1.666667
57,28,29,32,54,56,0,3,20,3,22,0,1,4,26,1.100000
58,29,30,31,33,5,0,1,2,1,2,0,1,2,4,1.000000
59,29,30,37,60,25,0,7,18,7,22,1,1,8,31,1.222222
60,30,31,33,53,61,0,2,20,2,20,0,1,3,23,1.000000
61,30,31,41,57,10,0,10,16,10,16,0,1,11,27,1.000000
62,31,32,35,65,63,1,4,28,3,30,0,1,4,34,1.071429
63,31,32,33,55,66,0,1,22,1,22,0,1,2,24,1.000000
64,32,33,34,41,46,0,1,6,1,6,1,1,2,9,1.000000
65,32,33,33,59,50,0,0,26,0,26,0,1,1,27,1.000000
66,33,34,34,60,39,0,0,26,0,26,0,1,1,27,1.000000
67,33,34,40,46,24,0,5,6,5,6,1,1,7,13,1.000000
68,34,35,51,93,21,3,5,24,14,42,2,1,17,59,1.750000
69,34,35,37,77,63,0,2,30,2,40,0,1,3,43,1.333333
70,35,36,42,71,42,0,6,29,6,29,0,1,7,36,1.000000
71,35,36,36,65,40,0,0,29,0,29,0,1,1,30,1.000000
72,36,37,46,65,21,1,3,15,9,19,0,1,10,29,1.266667
73,36,37,42,56,44,0,5,14,5,14,0,1,6,20,1.000000
74,37,38,38,70,7,0,0,26,0,32,0,1,1,33,1.230769
75,37,38,42,50,29,0,4,8,4,8,0,1,5,13,1.000000
76,38,39,39,54,57,0,0,15,0,15,0,1,1,16,1.000000
77,38,39,41,66,41,0,2,25,2,25,0,1,3,28,1.000000
78,39,40,49,61,20,0,9,12,9,12,0,1,10,22,1.000000
79,39,40,44,60,62,1,2,16,2,16,2,1,5,21,1.000000
80,40,41,45,57,9,0,4,10,4,12,0,1,5,17,1.200000
81,40,41,52,73,30,3,7,16,10,20,2,1,12,33,1.250000
82,41,42,46,77,55,1,6,18,4,30,1,1,5,36,1.666667
83,41,42,47,65,47,0,5,15,5,15,3,1,6,24,1.000000
84,42,43,59,91,34,4,15,32,14,32,2,1,17,49,1.000000
85,42,43,48,76,8,0,5,25,5,27,1,1,6,34,1.080000
86,43,44,47,68,22,0,3,19,3,21,0,1,4,25,1.105263
87,43,44,45,62,34,0,1,14,1,16,1,1,2,19,1.142857
88,44,45,45,55,48,0,0,9,0,9,1,1,1,11,1.000000
89,44,45,49,72,31,2,7,22,4,22,1,1,5,28,1.000000
90,45,46,47,55,31,0,1,8,1,8,0,1,2,10,1.000000
91,45,46,51,80,5,0,5,25,5,29,0,1,6,35,1.160000
92,46,47,65,89,30,6,11,24,17,24,1,1,19,43,1.000000
93,46,47,60,67,77,0,11,7,13,7,0,1,14,21,1.000000
94,47,48,50,71,27,1,2,15,2,21,0,1,3,24,1.400000
95,47,48,48,61,12,0,0,13,0,13,0,1,1,14,1.000000
96,48,49,51,54,37,0,2,3,2,3,0,1,3,6,1.000000
97,48,49,52,70,24,1,4,18,3,18,0,1,4,22,1.000000
98,49,50,50,68,35,0,0,18,0,18,0,1,1,19,1.000000
99,49,50,53,85,27,0,3,30,3,30,2,1,4,36,1.000000
100,50,51,60,66,26,1,4,6,9,6,0,1,10,16,1.000000
101,50,51,51,85,73,0,0,26,0,34,0,1,1,35,1.307692
102,51,52,52,57,17,0,0,5,0,5,0,1,1,6,1.000000
103,51,52,53,71,33,0,1,18,1,18,0,1,2,20,1.000000
104,52,53,56,61,29,0,2,5,2,5,1,1,4,9,1.000000
105,52,53,61,71,32,2,8,10,7,10,1,1,9,19,1.000000
106,53,54,61,85,45,0,7,24,7,24,0,1,8,32,1.000000
107,53,54,60,92,28,1,6,29,6,31,1,1,7,39,1.068966
108,54,55,56,84,28,0,1,24,1,28,0,1,2,30,1.166667
109,54,55,67,90,13,5,14,21,12,23,0,1,13,36,1.095238
110,55,56,60,87,15,1,4,25,4,27,0,1,5,32,1.080000
111,55,56,58,73,62,0,1,15,1,15,1,1,3,18,1.000000
112,56,57,58,92,60,0,1,34,1,34,0,1,2,36,1.000000
113,56,57,60,88,66,1,3,18,3,28,0,1,4,32,1.555556
114,57,58,60,83,48,1,3,19,2,23,0,1,3,26,1.210526
115,57,58,62,100,59,0,4,36,4,38,0,1,5,43,1.055556
