agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,4,159,8,115,1,8,114
1,7,130,20,132,4,20,128
2,8,73,22,187,3,20,186
3,4,167,16,99,5,14,96
4,5,112,25,145,0,25,145
5,6,134,28,120,1,27,120
6,5,122,29,131,2,29,129
7,9,113,45,124,6,42,121
8,4,188,17,77,3,15,76
9,2,238,10,34,3,9,32
10,7,99,24,159,2,24,157
11,5,153,26,103,4,24,101
12,4,150,33,99,4,32,96
13,8,118,25,139,1,25,138
14,4,185,18,79,3,18,76
15,6,129,10,143,1,10,142
16,6,98,22,162,3,21,160
17,5,164,10,108,2,9,107
18,9,86,35,161,4,33,159
19,7,113,33,136,6,31,132
20,8,110,22,150,3,21,148
21,8,129,40,113,4,38,111
22,7,113,27,142,5,25,139
23,9,80,16,186,2,15,185
24,10,104,25,153,1,24,153
25,5,133,35,114,1,35,113
26,5,127,15,140,2,14,139
27,6,146,16,120,0,16,120
28,5,123,20,139,3,20,136
29,7,137,30,115,0,30,115
30,8,70,34,178,1,34,177
31,8,93,12,177,0,12,177
32,6,104,28,150,1,28,149
33,8,66,28,188,3,28,185
34,4,183,8,91,1,8,90
35,6,93,22,167,1,21,167
36,8,35,15,232,1,15,231
37,6,140,30,112,1,30,111
38,5,159,11,112,2,11,110
39,7,99,23,160,4,23,156
40,9,65,20,197,2,20,195
41,8,82,17,183,6,17,177
42,8,136,16,130,2,16,128
43,7,140,32,110,2,31,109
44,8,107,32,143,3,31,141
45,6,176,10,96,1,10,95
46,9,112,27,143,3,26,141
47,5,94,38,150,0,38,150
48,7,122,20,140,4,19,137
49,8,112,26,144,6,26,138
50,3,196,8,78,5,6,75
51,6,104,20,158,0,20,158
52,9,81,28,173,1,27,173
53,5,147,22,113,2,22,111
54,5,152,21,109,2,21,107
55,5,131,22,129,1,22,128
56,9,70,43,169,3,42,167
57,2,247,11,24,2,10,23
58,6,77,30,175,2,30,173
59,5,157,21,104,2,20,103
60,9,140,31,111,2,31,109
61,8,107,19,156,3,19,153
62,8,113,24,145,1,24,144
63,3,166,18,98,5,17,94
64,7,112,17,153,3,16,151
65,5,194,19,69,1,18,69
66,4,193,8,81,1,8,80
67,3,215,11,56,0,11,56
68,7,125,27,130,3,25,129
69,6,151,27,104,4,24,103
70,6,141,15,126,1,15,125
71,5,150,25,107,3,24,105
72,6,111,17,154,5,16,150
73,5,140,11,131,3,11,128
74,6,141,16,125,4,15,122
75,3,180,15,87,2,15,85
76,5,153,15,114,1,15,113
77,6,90,23,169,5,23,164
78,8,52,33,197,10,32,188
79,9,45,25,212,3,25,209
