timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.9204485
2,0,6,2,4,76,3,1,0,0.9204216
3,0,8,2,6,74,5,1,0,0.9204299
4,0,10,2,8,72,6,2,0,0.920434
5,0,12,2,10,70,7,3,0,0.920433
6,0,14,2,12,68,9,3,0,0.9205089
7,0,16,2,14,66,10,4,0,0.9205275
8,0,18,2,16,64,8,8,1,0.9204162
9,1,19,2,17,63,7,10,1,0.9204535
10,1,21,2,19,61,8,11,1,0.9204183
11,1,23,2,21,59,9,12,1,0.9204775
12,1,25,2,23,57,6,17,1,0.9204802
13,1,27,2,25,55,8,17,1,0.9204576
14,1,29,2,27,53,9,18,1,0.9204581
15,2,30,2,28,52,10,18,2,0.9204837
16,2,32,2,30,50,10,20,2,0.9205061
17,2,34,2,32,48,7,25,2,0.9204566
18,4,34,2,32,48,9,23,2,0.9204619
19,7,33,2,31,49,10,21,2,0.9204411
20,8,34,2,32,48,11,21,3,0.9204699
21,11,33,2,31,49,11,20,4,0.9204532
22,11,35,2,33,47,13,20,4,0.9204994
23,11,37,2,35,45,13,22,4,0.9204824
24,12,38,2,36,44,13,23,4,0.9204741
25,12,40,2,38,42,13,25,4,0.9204734
26,15,39,2,37,43,11,26,4,0.9206056
27,16,40,2,38,42,13,25,6,0.9204219
28,16,42,2,40,40,13,27,7,0.9204857
29,17,43,2,41,39,11,30,8,0.9204988
30,21,41,2,39,41,10,29,10,0.9204953
31,22,42,2,40,40,10,30,11,0.9204933
32,24,42,2,40,40,11,29,11,0.9204968
33,24,44,2,42,38,12,30,12,0.9205671
34,25,45,2,43,37,11,32,13,0.9204507
35,26,46,2,44,36,11,33,14,0.9204921
36,26,48,2,46,34,11,35,14,0.9205474
37,27,49,2,47,33,9,38,16,0.9204732
38,29,49,2,47,33,7,40,16,0.920472
39,33,47,2,45,35,6,39,17,0.9205117
40,34,48,2,46,34,7,39,18,0.920452
41,34,50,2,48,32,7,41,18,0.9204842
42,36,50,2,48,32,9,39,20,0.9204415
43,38,50,2,48,32,6,42,21,0.9205305
44,38,52,2,50,30,5,45,21,0.9204579
45,41,51,2,49,31,5,44,21,0.9204641
46,44,50,2,48,32,7,41,21,0.920463
47,45,51,2,49,31,8,41,23,0.9204683
48,46,52,2,50,30,8,42,23,0.9205115
49,48,52,2,50,30,9,41,24,0.9205103
50,48,54,2,52,28,10,42,26,0.9205377
51,51,53,2,51,29,10,41,26,0.9204821
52,53,53,2,51,29,11,40,29,0.9204505
53,56,52,2,50,30,11,39,29,0.9204678
54,59,51,2,49,31,6,43,29,0.9204516
55,63,49,2,47,33,6,41,30,0.9204663
56,66,48,2,46,34,6,40,30,0.9204707
57,72,44,2,42,38,7,35,31,0.920503
58,73,45,2,43,37,5,38,33,0.9206423
59,73,47,2,45,35,3,42,36,0.9205809
60,76,46,2,44,36,3,41,36,0.9205062
61,78,46,2,44,36,3,41,36,0.9204713
62,80,46,2,44,36,3,41,37,0.9204974
63,80,48,2,46,34,5,41,37,0.9204652
64,81,49,2,47,33,4,43,38,0.9204644
65,83,49,2,47,33,5,42,38,0.920452
66,87,47,2,45,35,5,40,38,0.9204845
67,91,45,2,43,37,7,36,38,0.9205485
68,91,47,2,45,35,8,37,38,0.9204745
69,91,49,2,47,33,8,39,41,0.9204967
70,92,50,2,48,32,6,42,41,0.9204485
71,94,50,2,48,32,5,43,42,0.9204552
72,96,50,2,48,32,3,45,42,0.9204673
73,98,50,2,48,32,4,44,42,0.9204734
74,99,51,2,49,31,6,43,43,0.9204785
75,101,51,2,49,31,5,44,43,0.9204421
76,105,49,2,47,33,7,40,43,0.9204859
77,105,51,2,49,31,7,42,43,0.9204993
78,105,53,2,51,29,9,42,45,0.9205115
79,107,53,2,51,29,7,44,45,0.9204974
80,107,55,2,53,27,7,46,45,0.9204697
81,107,57,2,55,25,7,48,45,0.9205002
82,110,56,2,54,26,8,46,45,0.9204716
83,113,55,2,53,27,5,48,45,0.9204868
84,114,56,2,54,26,7,47,45,0.9205101
85,117,55,2,53,27,8,45,45,0.9205253
86,122,52,2,50,30,4,46,45,0.9205094
87,122,54,2,52,28,4,48,45,0.9205025
88,125,53,2,51,29,6,45,47,0.9205284
89,128,52,2,50,30,8,42,47,0.9204625
90,128,54,2,52,28,7,45,47,0.9204437
91,130,54,2,52,28,8,44,47,0.9204686
92,133,53,2,51,29,8,43,50,0.9204844
93,136,52,2,50,30,8,42,50,0.9204872
94,139,51,2,49,31,6,43,52,0.9205032
95,140,52,2,50,30,5,45,53,0.9204549
96,142,52,2,50,30,7,43,55,0.9204338
97,143,53,2,51,29,6,45,55,0.9205184
98,145,53,2,51,29,5,46,55,0.9205281
99,146,54,2,52,28,5,47,57,0.9204977
100,150,52,2,50,30,3,47,59,0.9205268
101,154,50,2,48,32,3,45,59,0.9204522
102,154,52,2,50,30,3,47,59,0.9205245
103,156,52,2,50,30,4,46,60,0.9204626
104,157,53,2,51,29,6,45,60,0.9204569
105,158,54,2,52,28,6,46,61,0.9205198
106,160,54,2,52,28,5,47,61,0.9204874
107,163,53,2,51,29,5,46,64,0.9204495
108,163,55,2,53,27,4,49,64,0.9204837
109,165,55,2,53,27,5,48,66,0.9205565
110,166,56,2,54,26,6,48,66,0.9205358
111,168,56,2,54,26,6,48,68,0.9204641
112,168,58,2,56,24,6,50,71,0.9204618
113,170,58,2,56,24,7,49,71,0.920495
114,173,57,2,55,25,8,47,71,0.920514
115,174,58,2,56,24,7,49,72,0.9204879
116,181,53,2,51,29,7,44,74,0.9205182
117,182,54,2,52,28,6,46,75,0.9205066
118,183,55,2,53,27,7,46,75,0.920479
119,184,56,2,54,26,6,48,76,0.9204632
120,185,57,2,55,25,7,48,77,0.920676
121,189,55,2,53,27,9,44,77,0.9205287
122,189,57,2,55,25,7,48,77,0.9204832
123,193,55,2,53,27,8,45,77,0.920478
124,197,53,2,51,29,6,45,77,0.9204468
125,201,51,2,49,31,5,44,78,0.9204334
126,207,47,2,45,35,5,40,78,0.9205162
127,209,47,2,45,35,4,41,78,0.9204679
128,210,48,2,46,34,5,41,78,0.9204501
129,210,50,2,48,32,2,46,78,0.9205556
130,211,51,2,49,31,3,46,80,0.9204431
131,213,51,2,49,31,4,45,80,0.920443
132,215,51,2,49,31,5,44,81,0.9204531
133,217,51,2,49,31,5,44,81,0.920516
134,218,52,2,50,30,4,46,81,0.9204984
135,221,51,2,49,31,6,43,83,0.9204891
136,224,50,2,48,32,6,42,85,0.920483
137,227,49,2,47,33,5,42,86,0.9204582
138,229,49,2,47,33,6,41,86,0.9205115
139,230,50,2,48,32,4,44,86,0.9205818
140,232,50,2,48,32,5,43,86,0.9204884
141,234,50,2,48,32,6,42,87,0.9204834
142,235,51,2,49,31,8,41,88,0.92051
143,235,53,2,51,29,8,43,90,0.9204445
144,239,51,2,49,31,7,42,92,0.9204637
145,241,51,2,49,31,7,42,96,0.9204587
146,243,51,2,49,31,7,42,96,0.9204954
147,245,51,2,49,31,7,42,96,0.9205417
148,246,52,2,50,30,6,44,100,0.9204789
149,249,51,2,49,31,6,43,102,0.9205015
150,250,52,2,50,30,6,44,102,0.9206553
151,252,52,2,50,30,7,43,103,0.9206026
152,255,51,2,49,31,8,41,103,0.9205717
153,256,52,2,50,30,8,42,106,0.9204518
154,260,50,2,48,32,10,38,108,0.920427
155,260,52,2,50,30,11,39,109,0.9204531
156,261,53,2,51,29,13,38,111,0.92047
157,262,54,2,52,28,8,44,111,0.9204862
158,266,52,2,50,30,8,42,112,0.9204692
159,269,51,2,49,31,6,43,113,0.9205339
160,272,50,2,48,32,8,40,114,0.9204707
161,272,52,2,50,30,8,42,116,0.9204992
162,276,50,2,48,32,8,40,117,0.9204908
163,278,50,2,48,32,9,39,119,0.9204485
164,280,50,2,48,32,9,39,121,0.9204824
165,282,50,2,48,32,8,40,121,0.9204839
166,284,50,2,48,32,10,38,122,0.9204757
167,286,50,2,48,32,9,39,122,0.9204561
168,291,47,2,45,35,8,37,122,0.920494
169,293,47,2,45,35,6,39,122,0.9204773
170,294,48,2,46,34,7,39,123,0.9205449
171,298,46,2,44,36,6,38,123,0.920468
172,301,45,2,43,37,3,40,123,0.920469
173,302,46,2,44,36,2,42,123,0.9204848
174,302,48,2,46,34,3,43,124,0.9204905
175,302,50,2,48,32,5,43,125,0.9204379
176,303,51,2,49,31,5,44,125,0.9204424
177,304,52,2,50,30,5,45,127,0.9204981
178,306,52,2,50,30,6,44,128,0.9204509
179,309,51,2,49,31,7,42,130,0.9204703
180,310,52,2,50,30,4,46,130,0.9207266
181,312,52,2,50,30,5,45,132,0.9204587
182,317,49,2,47,33,6,41,133,0.9204705
183,318,50,2,48,32,5,43,133,0.9205037
184,320,50,2,48,32,5,43,133,0.9204754
185,320,52,2,50,30,7,43,133,0.9205137
186,322,52,2,50,30,7,43,135,0.9204542
187,323,53,2,51,29,8,43,136,0.9205222
188,325,53,2,51,29,8,43,137,0.9204744
189,330,50,2,48,32,7,41,137,0.920443
190,333,49,2,47,33,6,41,138,0.9204266
191,335,49,2,47,33,8,39,138,0.9205022
192,340,46,2,44,36,9,35,142,0.9205477
193,341,47,2,45,35,7,38,145,0.9204729
194,341,49,2,47,33,4,43,147,0.9204953
195,343,49,2,47,33,6,41,149,0.9204745
196,344,50,2,48,32,5,43,150,0.9204872
197,346,50,2,48,32,4,44,150,0.9204257
198,348,50,2,48,32,6,42,150,0.9204286
199,352,48,2,46,34,8,38,150,0.9205432
200,356,46,2,44,36,10,34,150,0.9204458
201,356,48,2,46,34,11,35,151,0.9204775
202,357,49,2,47,33,11,36,154,0.9204682
203,358,50,2,48,32,9,39,154,0.9204976
204,361,49,2,47,33,7,40,154,0.9204567
