"Run","Makespan","Finished","EntryTimeouts","PlannerErrors","ScheduleErrors"
"f2_n80_flow-unit_seed0","257","500","0","0","0"
"f2_n80_flow-unit_seed1","243","500","0","0","0"
"f2_n80_flow-unit_seed2","260","500","0","0","0"
"f2_n80_flow-unit_seed3","249","500","0","0","0"
"f2_n80_flow-unit_seed4","246","500","0","0","0"
"f2_n80_taskmatcher-free_seed0","248","500","0","0","0"
"f2_n80_taskmatcher-free_seed1","227","500","0","0","0"
"f2_n80_taskmatcher-free_seed2","246","500","0","0","0"
"f2_n80_taskmatcher-free_seed3","255","500","0","0","0"
"f2_n80_taskmatcher-free_seed4","220","500","0","0","0"
