timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,0,2,0,0.9208897
2,0,6,2,4,76,1,3,0,0.9207907
3,0,8,2,6,74,2,4,0,0.9207876
4,0,10,2,8,72,4,4,0,0.9208173
5,0,12,2,10,70,5,5,0,0.9208599
6,0,14,2,12,68,6,6,0,0.920898
7,0,16,2,14,66,8,6,0,0.9209374
8,0,18,2,16,64,9,7,0,0.9209577
9,0,20,2,18,62,10,8,0,0.9208726
10,0,22,2,20,60,11,9,0,0.9209529
11,0,24,2,22,58,11,11,1,0.9209133
12,1,25,2,23,57,11,12,2,0.9201835
13,1,27,2,25,55,11,14,3,0.9209077
14,2,28,2,26,54,10,16,3,0.9210173
15,2,30,2,28,52,11,17,3,0.9208774
16,3,31,2,29,51,10,19,5,0.9208863
17,3,33,2,31,49,9,22,6,0.9208863
18,3,35,2,33,47,10,23,6,0.9208693
19,3,37,2,35,45,10,25,9,0.9209201
20,3,39,2,37,43,8,29,11,0.9208739
21,3,41,2,39,41,8,31,11,0.9209684
22,4,42,2,40,40,8,32,13,0.9210141
23,4,44,2,42,38,9,33,14,0.9209836
24,5,45,2,43,37,10,33,14,0.9209217
25,6,46,2,44,36,11,33,16,0.9209287
26,7,47,2,45,35,12,33,17,0.9209914
27,9,47,2,45,35,13,32,18,0.9208785
28,9,49,2,47,33,12,35,18,0.9208976
29,12,48,2,46,34,11,35,19,0.9209447
30,16,46,2,44,36,8,36,19,0.9209641
31,16,48,2,46,34,10,36,20,0.921002
32,17,49,2,47,33,11,36,21,0.9208618
33,18,50,2,48,32,10,38,21,0.9208705
34,21,49,2,47,33,7,40,21,0.9209648
35,23,49,2,47,33,8,39,22,0.920883
36,25,49,2,47,33,6,41,23,0.9208881
37,26,50,2,48,32,7,41,23,0.920933
38,27,51,2,49,31,7,42,23,0.9208935
39,29,51,2,49,31,7,42,25,0.921024
40,29,53,2,51,29,9,42,25,0.9209989
41,30,54,2,52,28,9,43,26,0.9210118
42,32,54,2,52,28,10,42,28,0.9209132
43,38,50,2,48,32,10,38,29,0.9208964
44,40,50,2,48,32,11,37,30,0.9209554
45,42,50,2,48,32,9,39,30,0.9208899
46,43,51,2,49,31,7,42,30,0.9208444
47,45,51,2,49,31,9,40,30,0.9208719
48,47,51,2,49,31,7,42,33,0.9209048
49,49,51,2,49,31,8,41,34,0.9208619
50,50,52,2,50,30,9,41,36,0.9210003
51,53,51,2,49,31,8,41,38,0.9208658
52,53,53,2,51,29,7,44,38,0.9210008
53,57,51,2,49,31,7,42,38,0.9209819
