agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,3,181,50,62,2,48,62
1,3,187,33,73,2,31,73
2,3,187,38,68,3,37,66
3,5,138,27,128,5,24,126
4,4,141,36,116,1,36,115
5,5,138,36,119,1,35,119
6,4,155,39,99,6,35,97
7,6,146,32,115,2,31,114
8,8,113,15,165,3,15,162
9,7,97,8,188,2,8,186
10,5,120,36,137,1,36,136
11,6,83,28,182,5,26,179
12,7,102,59,132,3,58,130
13,6,107,35,151,4,33,149
14,8,123,26,144,1,26,143
15,5,131,15,147,0,15,147
16,8,109,21,163,5,20,159
17,6,132,21,140,4,21,136
18,6,127,30,136,4,27,135
19,6,165,34,94,0,34,94
20,9,90,38,165,2,37,164
21,9,93,46,154,3,45,152
22,8,96,14,183,6,11,180
23,7,109,30,154,6,27,151
24,7,131,31,131,1,31,130
25,6,109,32,152,3,32,149
26,9,105,28,160,3,26,159
27,3,167,33,93,2,32,92
28,10,115,35,143,6,34,138
29,8,101,18,174,1,18,173
30,9,112,34,147,4,32,145
31,7,124,36,133,3,35,131
32,7,123,18,152,1,18,151
33,10,110,27,156,2,26,155
34,6,101,18,174,5,17,170
35,8,135,36,122,4,34,120
36,7,153,15,125,2,14,124
37,8,109,35,149,6,32,146
38,6,114,17,162,3,17,159
39,7,115,31,147,4,28,146
40,8,103,23,167,3,22,165
41,6,128,26,139,6,23,136
42,8,141,23,129,3,22,127
43,8,83,34,176,6,33,171
44,8,94,31,168,3,28,168
45,5,148,20,125,2,20,123
46,7,130,27,136,8,22,133
47,7,121,31,141,4,29,139
48,8,88,31,174,3,30,172
49,9,107,24,162,4,24,158
50,5,130,16,147,4,16,143
51,7,104,45,144,4,42,143
52,5,127,39,127,1,38,127
53,9,75,29,189,6,29,183
54,6,105,40,148,5,39,144
55,5,171,14,108,2,13,107
56,8,116,39,138,2,39,136
57,4,191,24,78,2,23,77
58,9,89,24,180,2,24,178
59,6,169,16,108,2,15,107
60,8,126,17,150,2,17,148
61,4,155,29,109,1,28,109
62,6,149,17,127,2,17,125
63,8,119,37,137,6,34,134
64,7,109,25,159,4,22,158
65,3,231,11,51,0,11,51
66,4,174,5,114,2,5,112
67,4,164,31,98,7,26,96
68,5,187,5,101,4,5,97
69,6,156,13,124,0,13,124
70,4,179,16,98,0,16,98
71,4,184,22,87,3,21,85
72,7,87,20,186,2,19,185
73,3,223,6,64,0,6,64
74,4,184,11,98,1,11,97
75,7,108,18,167,4,17,164
76,4,218,10,65,2,9,64
77,4,214,15,64,2,14,63
78,5,137,14,142,0,14,142
79,3,225,22,46,1,22,45
