timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,0,2,0,0.920913
2,0,6,2,4,76,1,3,0,0.9207404
3,0,8,2,6,74,2,4,0,0.9207988
4,0,10,2,8,72,4,4,0,0.9208534
5,0,12,2,10,70,5,5,0,0.9208094
6,0,14,2,12,68,6,6,0,0.9208207
7,0,16,2,14,66,8,6,0,0.9209635
8,0,18,2,16,64,9,7,0,0.9208335
9,0,20,2,18,62,10,8,0,0.9209291
10,0,22,2,20,60,11,9,0,0.9208996
11,0,24,2,22,58,11,11,1,0.9209776
12,1,25,2,23,57,11,12,2,0.9209608
13,1,27,2,25,55,11,14,3,0.9209068
14,2,28,2,26,54,10,16,3,0.920956
15,2,30,2,28,52,11,17,3,0.92094
16,3,31,2,29,51,10,19,5,0.9209648
17,3,33,2,31,49,9,22,6,0.9208976
18,3,35,2,33,47,10,23,6,0.920944
19,3,37,2,35,45,10,25,9,0.9209863
20,3,39,2,37,43,8,29,11,0.9210263
21,3,41,2,39,41,8,31,11,0.9208824
22,4,42,2,40,40,8,32,14,0.920965
23,4,44,2,42,38,9,33,14,0.9208939
24,5,45,2,43,37,10,33,15,0.9209775
25,6,46,2,44,36,11,33,15,0.9209339
26,7,47,2,45,35,11,34,17,0.9208887
27,9,47,2,45,35,12,33,17,0.9208404
28,9,49,2,47,33,12,35,17,0.9210237
29,12,48,2,46,34,10,36,17,0.9209024
30,17,45,2,43,37,8,35,17,0.9208647
31,17,47,2,45,35,9,36,18,0.9209627
32,19,47,2,45,35,10,35,18,0.9209211
33,20,48,2,46,34,8,38,18,0.9208847
34,22,48,2,46,34,6,40,19,0.9208027
35,23,49,2,47,33,7,40,20,0.9208943
36,26,48,2,46,34,3,43,20,0.920902
37,26,50,2,48,32,5,43,21,0.9209478
38,27,51,2,49,31,5,44,22,0.9209113
39,29,51,2,49,31,6,43,22,0.9209943
40,29,53,2,51,29,6,45,22,0.9209462
41,33,51,2,49,31,7,42,23,0.9208981
42,35,51,2,49,31,9,40,24,0.921006
43,38,50,2,48,32,9,39,25,0.920939
44,41,49,2,47,33,10,37,26,0.9209051
45,42,50,2,48,32,9,39,26,0.9209029
46,42,52,2,50,30,9,41,26,0.9208712
47,44,52,2,50,30,7,43,26,0.9208841
48,48,50,2,48,32,9,39,27,0.9209791
49,50,50,2,48,32,10,38,27,0.9209504
50,51,51,2,49,31,10,39,30,0.9209515
51,55,49,2,47,33,9,38,32,0.920838
52,57,49,2,47,33,6,41,32,0.9210862
53,58,50,2,48,32,7,41,32,0.9203376
54,59,51,2,49,31,9,40,33,0.9209008
55,62,50,2,48,32,11,37,33,0.9209423
56,67,47,2,45,35,12,33,34,0.9209261
57,68,48,2,46,34,10,36,35,0.9209665
58,70,48,2,46,34,9,37,36,0.9208879
59,70,50,2,48,32,10,38,38,0.9210457
60,71,51,2,49,31,11,38,39,0.9209701
61,72,52,2,50,30,13,37,42,0.921022
62,73,53,2,51,29,13,38,43,0.9210559
63,74,54,2,52,28,15,37,44,0.9209874
64,75,55,2,53,27,16,37,47,0.9210048
65,76,56,2,54,26,15,39,49,0.9210008
66,79,55,2,53,27,14,39,49,0.9210022
67,79,57,2,55,25,15,40,51,0.9211974
68,82,56,2,54,26,15,39,53,0.9210048
69,83,57,2,55,25,13,42,55,0.9203196
70,84,58,2,56,24,12,44,57,0.9210266
71,88,56,2,54,26,11,43,59,0.9210258
72,90,56,2,54,26,12,42,59,0.9209652
73,92,56,2,54,26,11,43,61,0.920988
74,96,54,2,52,28,11,41,61,0.9210405
75,97,55,2,53,27,12,41,63,0.9209488
76,98,56,2,54,26,11,43,63,0.9210102
77,100,56,2,54,26,10,44,63,0.9212087
78,102,56,2,54,26,9,45,63,0.9207554
79,104,56,2,54,26,9,45,63,0.9210826
80,105,57,2,55,25,9,46,64,0.9210593
81,108,56,2,54,26,11,43,66,0.9209794
82,109,57,2,55,25,12,43,68,0.9209722
83,113,55,2,53,27,13,40,69,0.9210752
84,117,53,2,51,29,14,37,69,0.9211493
85,117,55,2,53,27,11,42,70,0.9203471
86,117,57,2,55,25,10,45,71,0.9209641
87,118,58,2,56,24,10,46,71,0.9209506
88,122,56,2,54,26,11,43,72,0.920988
89,123,57,2,55,25,9,46,72,0.9209181
90,125,57,2,55,25,10,45,72,0.9209854
91,127,57,2,55,25,10,45,72,0.9209615
92,129,57,2,55,25,9,46,73,0.9209432
93,134,54,2,52,28,9,43,73,0.9209809
94,135,55,2,53,27,10,43,74,0.9209734
95,135,57,2,55,25,11,44,74,0.9209679
96,138,56,2,54,26,12,42,74,0.9208784
97,139,57,2,55,25,11,44,74,0.9209814
98,143,55,2,53,27,12,41,74,0.9210092
99,143,57,2,55,25,10,45,77,0.9210084
100,145,57,2,55,25,11,44,77,0.9210304
101,147,57,2,55,25,10,45,80,0.9210363
