agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,0,275,8,0,0,8,0
1,4,160,6,117,1,6,116
2,3,172,26,85,2,25,84
3,4,192,14,77,2,13,76
4,3,205,15,63,0,15,63
5,6,116,19,148,5,18,144
6,7,82,29,172,4,27,170
7,7,81,28,174,2,28,172
8,7,110,14,159,2,14,157
9,4,182,9,92,2,9,90
10,4,186,13,84,0,13,84
11,7,95,40,148,8,35,145
12,5,119,10,154,0,10,154
13,8,78,24,181,4,23,178
14,8,67,21,195,5,21,190
15,8,99,16,168,2,16,166
16,6,95,17,171,3,17,168
17,5,151,17,115,1,17,114
18,6,94,17,172,1,17,171
19,6,146,23,114,2,22,113
20,10,92,42,149,4,40,147
21,9,83,24,176,1,24,175
22,7,107,41,135,3,40,133
23,4,158,14,111,3,13,109
24,8,136,18,129,2,17,128
25,8,71,17,195,6,16,190
26,8,123,19,141,3,17,140
27,7,134,23,126,3,22,124
28,7,84,15,184,4,14,181
29,9,66,41,176,2,40,175
30,6,79,44,160,9,37,158
31,9,78,34,171,6,33,166
32,8,128,19,136,3,19,133
33,8,97,48,138,4,46,136
34,5,146,9,128,2,8,127
35,10,91,30,162,6,29,157
36,6,147,23,113,4,22,110
37,8,126,34,123,1,34,122
38,8,125,17,141,4,16,138
39,4,176,27,80,2,26,79
40,7,84,57,142,8,55,136
41,7,124,20,139,3,20,136
42,5,162,28,93,2,27,92
43,8,73,34,176,6,32,172
44,9,79,50,154,5,48,151
45,6,114,19,150,0,19,150
46,7,50,23,210,2,22,209
47,8,69,24,190,3,24,187
48,6,116,25,142,6,24,137
49,7,136,26,121,5,25,117
50,6,143,15,125,2,14,124
51,9,84,33,166,0,33,166
52,6,124,26,133,1,26,132
53,9,122,25,136,5,24,132
54,8,93,28,162,4,26,160
55,5,149,12,122,1,12,121
56,7,101,38,144,3,37,142
57,7,123,20,140,1,20,139
58,10,113,32,138,3,31,136
59,8,117,27,139,1,27,138
60,6,126,30,127,2,29,126
61,2,260,8,15,1,7,15
62,5,118,19,146,1,19,145
63,7,66,20,197,2,20,195
64,5,144,31,108,2,29,108
65,1,236,19,28,2,18,27
66,0,275,8,0,1,7,0
67,5,152,8,123,0,8,123
68,2,222,15,46,0,15,46
69,3,186,15,82,2,15,80
70,7,145,18,120,1,18,119
71,6,108,22,153,3,22,150
72,4,167,18,98,2,17,97
73,3,191,9,83,2,8,82
74,6,138,10,135,3,9,133
75,6,134,37,112,2,36,111
76,8,79,28,176,4,28,172
77,7,108,13,162,4,12,159
78,6,108,35,140,4,35,136
79,9,66,43,174,5,42,170
