task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,38,73,0,0,3,-1,-1,-1,37,0,37,0,0,0,1,1,38,1.000000
1,0,1,8,23,18,0,7,3,4,0.000000,0.000000,15,7,15,0,0,0,1,8,23,1.000000
2,1,2,11,28,30,2,9,3,3,0.000000,0.000000,17,9,17,0,0,0,1,10,27,1.000000
3,1,2,4,18,47,0,2,3,4,0.000000,0.000000,14,2,14,0,0,0,1,3,17,1.000000
4,2,3,6,29,16,0,3,3,4,0.000000,0.000000,23,3,23,0,0,0,1,4,27,1.000000
5,2,3,21,39,63,1,8,3,4,1.000000,1.000000,16,17,18,1,0,1,1,19,37,1.125000
6,3,4,8,46,51,0,4,3,3,0.000000,0.000000,36,4,38,0,0,0,1,5,43,1.055556
7,3,4,26,46,79,6,6,3,3,0.000000,1.000000,18,21,20,1,0,1,1,23,43,1.111111
8,4,5,6,39,36,0,1,4,4,0.000000,0.000000,33,1,33,0,0,0,1,2,35,1.000000
9,4,5,5,39,56,0,0,4,-1,-1.000000,-1.000000,34,0,34,0,0,0,1,1,35,1.000000
10,5,6,6,41,21,0,0,4,-1,-1.000000,-1.000000,35,0,35,0,0,0,1,1,36,1.000000
11,5,6,21,40,30,1,5,3,3,0.000000,0.000000,19,15,19,0,0,0,1,16,35,1.000000
12,6,7,12,19,29,0,5,3,4,0.000000,0.000000,3,5,7,0,0,0,1,6,13,2.333333
13,6,7,8,31,70,0,1,4,4,0.000000,0.000000,23,1,23,0,0,0,1,2,25,1.000000
14,7,8,12,42,26,0,4,3,4,0.000000,0.000000,28,4,30,0,0,0,1,5,35,1.071429
15,7,8,10,40,79,0,2,3,3,0.000000,1.000000,22,2,30,0,0,0,1,3,33,1.363636
16,8,9,19,30,33,0,10,3,4,0.000000,0.000000,11,10,11,0,0,0,1,11,22,1.000000
17,8,9,11,39,14,0,2,3,3,0.000000,1.000000,28,2,28,0,0,0,1,3,31,1.000000
18,9,10,20,51,40,2,4,3,3,0.000000,0.000000,29,10,31,0,0,0,1,11,42,1.068966
19,9,10,11,40,62,0,1,4,4,0.000000,0.000000,29,1,29,0,0,0,1,2,31,1.000000
20,10,11,14,27,40,0,3,3,4,0.000000,0.000000,13,3,13,0,0,0,1,4,17,1.000000
21,10,11,20,40,78,0,9,3,4,0.000000,1.000000,19,9,19,0,1,1,1,10,30,1.000000
22,11,12,13,51,52,1,8,3,4,1.000000,2.000000,24,1,38,0,0,0,1,2,40,1.583333
23,11,12,22,28,46,0,9,3,4,0.000000,1.000000,2,9,4,1,2,3,1,11,17,2.000000
24,12,13,16,24,49,0,3,4,4,0.000000,0.000000,8,3,8,0,0,0,1,4,12,1.000000
25,12,13,34,75,53,5,11,3,4,1.000000,2.000000,31,21,39,0,2,2,1,22,63,1.258065
26,13,14,14,34,25,0,0,4,-1,-1.000000,-1.000000,20,0,20,0,0,0,1,1,21,1.000000
27,13,14,17,51,22,0,3,4,4,0.000000,0.000000,34,3,34,0,0,0,1,4,38,1.000000
28,14,15,17,42,76,1,7,3,3,0.000000,0.000000,25,2,25,0,0,0,1,3,28,1.000000
29,14,15,16,33,32,0,1,4,4,0.000000,0.000000,17,1,17,0,0,0,1,2,19,1.000000
30,15,16,26,45,20,1,11,3,4,0.000000,1.000000,11,10,19,0,0,0,1,11,30,1.727273
31,15,16,17,39,75,1,2,3,3,0.000000,1.000000,22,1,22,0,0,0,1,2,24,1.000000
32,16,17,17,45,17,0,0,4,-1,-1.000000,-1.000000,28,0,28,0,0,0,1,1,29,1.000000
33,16,17,45,48,42,21,33,4,4,0.000000,0.000000,3,22,3,6,0,6,1,29,32,1.000000
34,17,18,25,48,27,1,8,3,4,0.000000,1.000000,18,7,22,0,1,1,1,8,31,1.222222
35,17,18,22,34,69,0,4,4,4,0.000000,0.000000,12,4,12,0,0,0,1,5,17,1.000000
36,18,19,29,47,13,2,10,3,3,0.000000,0.000000,18,10,18,0,0,0,1,11,29,1.000000
37,18,19,24,44,24,1,6,3,4,0.000000,2.000000,20,5,20,0,0,0,1,6,26,1.000000
38,19,20,28,52,6,0,8,3,3,0.000000,0.000000,24,8,24,0,0,0,1,9,33,1.000000
39,19,20,27,62,71,0,7,3,3,0.000000,2.000000,27,7,33,0,2,2,1,8,43,1.222222
40,20,21,28,50,53,5,10,3,4,0.000000,2.000000,18,7,22,0,0,0,1,8,30,1.222222
41,20,21,22,55,58,0,1,4,4,0.000000,0.000000,32,1,32,0,1,1,1,2,35,1.000000
42,21,22,30,63,75,3,6,3,4,0.000000,0.000000,22,8,32,0,1,1,1,9,42,1.454545
43,21,22,30,57,13,1,4,3,4,0.000000,1.000000,25,8,27,0,0,0,1,9,36,1.080000
44,22,23,26,32,41,0,3,3,4,0.000000,0.000000,6,3,6,0,0,0,1,4,10,1.000000
45,22,23,35,58,42,4,29,4,4,0.000000,0.000000,21,10,23,2,0,2,1,13,36,1.095238
46,23,24,27,62,68,0,3,4,4,0.000000,0.000000,35,3,35,0,0,0,1,4,39,1.000000
47,23,24,29,53,53,2,5,3,4,1.000000,2.000000,21,5,23,0,1,1,1,6,30,1.095238
