task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,1,1,12,26,0,0,4,-1,-1,-1,11,0,11,0,0,0,1,1,12,1.000000
1,0,1,1,26,58,0,0,4,-1,-1.000000,-1.000000,25,0,25,0,0,0,1,1,26,1.000000
2,1,2,5,14,33,0,3,3,4,0.000000,0.000000,9,3,9,0,0,0,1,4,13,1.000000
3,1,2,2,42,8,0,0,3,-1,-1.000000,-1.000000,28,0,40,0,0,0,1,1,41,1.428571
4,2,3,11,24,29,0,8,3,4,0.000000,0.000000,12,8,12,0,1,1,1,9,22,1.000000
5,2,3,3,24,32,0,0,4,-1,-1.000000,-1.000000,21,0,21,0,0,0,1,1,22,1.000000
6,3,4,13,32,14,1,7,3,3,0.000000,0.000000,19,9,19,0,0,0,1,10,29,1.000000
7,3,4,11,36,79,0,7,3,3,0.000000,1.000000,25,7,25,0,0,0,1,8,33,1.000000
8,4,5,8,27,13,1,5,3,3,0.000000,0.000000,19,3,19,0,0,0,1,4,23,1.000000
9,4,5,9,25,25,0,4,3,3,0.000000,0.000000,16,4,16,0,0,0,1,5,21,1.000000
10,5,6,13,26,44,0,7,3,4,0.000000,0.000000,13,7,13,0,0,0,1,8,21,1.000000
11,5,6,13,17,63,1,5,3,4,0.000000,0.000000,4,7,4,0,0,0,1,8,12,1.000000
12,6,7,10,46,63,0,3,3,4,0.000000,0.000000,27,3,35,0,1,1,1,4,40,1.296296
13,6,7,8,35,46,0,1,4,4,0.000000,0.000000,27,1,27,0,0,0,1,2,29,1.000000
14,7,8,17,33,78,0,9,3,3,0.000000,1.000000,12,9,14,0,2,2,1,10,26,1.166667
15,7,8,9,32,21,0,1,4,4,0.000000,0.000000,21,1,23,0,0,0,1,2,25,1.095238
16,8,9,17,29,30,1,9,3,3,0.000000,0.000000,12,8,12,0,0,0,1,9,21,1.000000
17,8,9,22,26,40,1,9,3,3,0.000000,1.000000,4,12,4,1,0,1,1,14,18,1.000000
18,9,10,22,38,20,1,7,3,4,0.000000,0.000000,16,12,16,0,0,0,1,13,29,1.000000
19,9,10,16,32,51,1,8,3,4,0.000000,0.000000,14,5,16,1,0,1,1,7,23,1.142857
20,10,11,26,52,47,1,10,3,4,0.000000,0.000000,26,15,26,0,0,0,1,16,42,1.000000
21,10,11,14,26,31,1,8,3,4,0.000000,0.000000,12,3,12,0,0,0,1,4,16,1.000000
22,11,12,13,34,16,0,1,4,4,0.000000,0.000000,21,1,21,0,0,0,1,2,23,1.000000
23,11,12,14,42,53,0,2,4,4,0.000000,0.000000,28,2,28,0,0,0,1,3,31,1.000000
24,12,13,20,33,77,0,6,3,3,0.000000,1.000000,5,6,13,1,0,1,1,8,21,2.600000
25,12,13,13,43,76,0,0,3,-1,-1.000000,-1.000000,29,0,29,0,1,1,1,1,31,1.000000
26,13,14,19,51,6,1,10,3,3,0.000000,0.000000,30,5,32,0,0,0,1,6,38,1.066667
27,13,14,22,36,43,1,13,3,4,0.000000,0.000000,12,8,12,0,2,2,1,9,23,1.000000
28,14,15,23,41,37,0,8,3,4,0.000000,1.000000,12,8,18,0,0,0,1,9,27,1.500000
29,14,15,15,25,59,0,0,4,-1,-1.000000,-1.000000,9,0,9,0,1,1,1,1,11,1.000000
30,15,16,18,51,36,0,2,4,4,0.000000,0.000000,31,2,33,0,0,0,1,3,36,1.064516
31,15,16,28,43,33,1,14,3,4,0.000000,0.000000,15,12,15,0,0,0,1,13,28,1.000000
32,16,17,20,39,41,0,3,3,4,0.000000,1.000000,12,3,16,0,3,3,1,4,23,1.333333
33,16,17,23,51,56,0,4,3,4,0.000000,1.000000,20,6,28,0,0,0,1,7,35,1.400000
34,17,18,20,58,18,0,2,4,4,0.000000,0.000000,34,2,38,0,0,0,1,3,41,1.117647
35,17,18,27,35,71,0,9,3,3,0.000000,0.000000,4,9,8,0,0,0,1,10,18,2.000000
36,18,19,19,48,9,0,0,3,-1,-1.000000,-1.000000,23,0,29,0,0,0,1,1,30,1.260870
37,18,19,34,48,75,5,10,3,3,0.000000,0.000000,14,15,14,0,0,0,1,16,30,1.000000
38,19,20,20,38,62,0,0,4,-1,-1.000000,-1.000000,18,0,18,0,0,0,1,1,19,1.000000
39,19,20,29,63,27,0,9,3,4,0.000000,0.000000,25,9,33,0,1,1,1,10,44,1.320000
40,20,21,21,49,72,0,0,3,-1,-1.000000,-1.000000,21,0,27,0,1,1,1,1,29,1.285714
41,20,21,27,50,74,1,9,3,3,0.000000,0.000000,21,6,23,0,0,0,1,7,30,1.095238
42,21,22,26,46,73,0,4,3,3,0.000000,0.000000,20,4,20,0,0,0,1,5,25,1.000000
43,21,22,22,61,45,0,0,4,-1,-1.000000,-1.000000,36,0,38,0,1,1,1,1,40,1.055556
44,22,23,30,49,22,0,7,3,4,0.000000,0.000000,17,7,19,0,0,0,1,8,27,1.117647
45,22,23,28,65,12,0,4,3,3,0.000000,0.000000,23,4,37,1,0,1,1,6,43,1.608696
46,23,24,29,33,11,1,13,3,3,0.000000,1.000000,4,5,4,0,0,0,1,6,10,1.000000
47,23,24,31,43,38,0,6,3,4,0.000000,2.000000,12,6,12,1,0,1,1,8,20,1.000000
48,24,25,32,53,52,2,10,3,4,0.000000,1.000000,17,7,21,0,0,0,1,8,29,1.235294
49,24,25,29,39,28,0,4,4,4,0.000000,0.000000,8,4,10,0,0,0,1,5,15,1.250000
50,25,26,30,47,49,0,4,4,4,0.000000,0.000000,15,4,17,0,0,0,1,5,22,1.133333
51,25,26,28,76,31,0,2,4,4,0.000000,0.000000,41,2,47,0,1,1,1,3,51,1.146341
52,26,27,36,59,34,2,7,3,4,0.000000,0.000000,23,8,23,1,0,1,1,10,33,1.000000
53,26,27,29,68,15,0,2,4,4,1.000000,1.000000,33,2,39,0,0,0,1,3,42,1.181818
54,27,28,31,45,52,0,3,3,3,0.000000,2.000000,14,3,14,0,0,0,1,4,18,1.000000
55,27,28,28,46,44,0,0,3,-1,-1.000000,-1.000000,18,0,18,0,0,0,1,1,19,1.000000
56,28,29,32,58,61,0,3,4,4,0.000000,0.000000,21,3,25,0,1,1,1,4,30,1.190476
57,28,29,33,74,34,0,4,4,4,0.000000,1.000000,32,4,40,0,1,1,1,5,46,1.250000
58,29,30,32,46,33,0,2,4,4,0.000000,0.000000,12,2,14,0,0,0,1,3,17,1.166667
59,29,30,30,64,60,0,0,4,-1,-1.000000,-1.000000,32,0,34,0,0,0,1,1,35,1.062500
60,30,31,32,44,59,0,1,3,3,0.000000,0.000000,11,1,11,0,1,1,1,2,14,1.000000
61,30,31,35,57,74,0,4,3,3,0.000000,1.000000,19,4,21,0,1,1,1,5,27,1.105263
62,31,32,41,61,54,0,9,3,4,0.000000,2.000000,19,9,19,0,1,1,1,10,30,1.000000
63,31,32,34,49,19,0,2,4,4,1.000000,2.000000,13,2,15,0,0,0,1,3,18,1.153846
64,32,33,43,47,14,1,14,3,3,0.000000,0.000000,4,10,4,0,0,0,1,11,15,1.000000
65,32,33,33,53,30,0,0,4,-1,-1.000000,-1.000000,20,0,20,0,0,0,1,1,21,1.000000
66,33,34,37,54,24,0,2,4,4,0.000000,3.000000,17,2,17,1,0,1,1,4,21,1.000000
67,33,34,39,54,32,0,5,3,3,0.000000,0.000000,15,5,15,0,0,0,1,6,21,1.000000
68,34,35,39,60,14,0,4,3,3,0.000000,0.000000,17,4,21,0,0,0,1,5,26,1.235294
69,34,35,41,71,21,1,13,3,3,0.000000,0.000000,21,6,29,0,1,1,1,7,37,1.380952
70,35,36,44,71,51,0,3,4,4,1.000000,1.000000,27,7,27,1,0,1,1,9,36,1.000000
71,35,36,39,46,70,0,3,3,4,0.000000,2.000000,7,3,7,0,0,0,1,4,11,1.000000
72,36,37,44,73,39,0,7,4,4,0.000000,0.000000,29,7,29,0,0,0,1,8,37,1.000000
73,36,37,38,55,17,0,1,4,4,0.000000,0.000000,17,1,17,0,0,0,1,2,19,1.000000
74,37,38,40,69,48,0,2,4,4,0.000000,0.000000,29,2,29,0,0,0,1,3,32,1.000000
75,37,38,46,52,42,3,8,3,4,0.000000,0.000000,6,8,6,0,0,0,1,9,15,1.000000
76,38,39,43,53,50,0,4,4,4,0.000000,0.000000,10,4,10,0,0,0,1,5,15,1.000000
77,38,39,45,60,6,1,2,3,3,1.000000,1.000000,15,5,15,1,0,1,1,7,22,1.000000
78,39,40,45,66,41,0,3,4,3,1.000000,1.000000,21,5,21,0,0,0,1,6,27,1.000000
79,39,40,50,73,21,1,12,3,4,0.000000,0.000000,17,10,21,0,2,2,1,11,34,1.235294
80,40,41,45,58,78,1,2,3,3,1.000000,1.000000,13,2,13,2,0,2,1,5,18,1.000000
81,40,41,52,90,42,3,4,4,4,0.000000,1.000000,36,11,36,0,2,2,1,12,50,1.000000
82,41,42,50,101,64,0,8,3,4,0.000000,0.000000,37,8,51,0,0,0,1,9,60,1.378378
83,41,42,45,81,42,0,3,4,4,0.000000,0.000000,34,3,34,0,2,2,1,4,40,1.000000
84,42,43,48,75,16,0,5,3,4,0.000000,2.000000,18,5,26,0,1,1,1,6,33,1.444444
85,42,43,45,71,46,0,2,3,4,0.000000,1.000000,25,2,25,0,1,1,1,3,29,1.000000
86,43,44,48,58,55,1,6,4,4,0.000000,0.000000,8,4,10,0,0,0,1,5,15,1.250000
87,43,44,49,55,78,2,8,3,3,1.000000,1.000000,6,4,6,1,0,1,1,6,12,1.000000
88,44,45,51,66,78,1,4,3,3,1.000000,1.000000,15,5,15,1,0,1,1,7,22,1.000000
89,44,45,45,80,25,0,0,4,-1,-1.000000,-1.000000,33,0,35,0,0,0,1,1,36,1.060606
90,45,46,48,84,62,0,2,4,4,0.000000,1.000000,29,2,35,0,1,1,1,3,39,1.206897
91,45,46,47,70,23,0,1,4,4,0.000000,0.000000,23,1,23,0,0,0,1,2,25,1.000000
92,46,47,54,70,8,2,9,3,4,0.000000,3.000000,15,7,15,0,1,1,1,8,24,1.000000
93,46,47,54,94,11,0,5,3,3,0.000000,0.000000,18,7,40,0,0,0,1,8,48,2.222222
94,47,48,48,77,35,0,0,4,-1,-1.000000,-1.000000,29,0,29,0,0,0,1,1,30,1.000000
95,47,48,55,72,40,0,7,3,3,0.000000,1.000000,15,7,17,0,0,0,1,8,25,1.133333
96,48,49,54,73,52,2,5,3,3,0.000000,1.000000,17,4,17,1,2,3,1,6,25,1.000000
97,48,49,55,73,49,1,2,3,3,0.000000,1.000000,18,6,18,0,0,0,1,7,25,1.000000
98,49,50,58,72,2,1,8,4,3,0.000000,0.000000,14,7,14,1,0,1,1,9,23,1.000000
99,49,50,53,76,49,0,2,3,3,0.000000,1.000000,23,2,23,1,0,1,1,4,27,1.000000
100,50,51,53,68,52,1,3,3,4,0.000000,2.000000,15,2,15,0,0,0,1,3,18,1.000000
101,50,51,57,70,37,0,6,3,4,0.000000,2.000000,13,6,13,0,0,0,1,7,20,1.000000
102,51,52,61,88,71,3,6,3,4,2.000000,4.000000,19,8,27,1,0,1,1,10,37,1.421053
103,51,52,54,57,63,0,2,3,3,0.000000,0.000000,3,2,3,0,0,0,1,3,6,1.000000
104,52,53,55,73,76,0,2,3,3,0.000000,1.000000,12,2,18,0,0,0,1,3,21,1.500000
105,52,53,56,78,44,1,8,3,4,0.000000,2.000000,22,3,22,0,0,0,1,4,26,1.000000
106,53,54,56,83,30,0,2,3,3,0.000000,1.000000,25,2,27,0,0,0,1,3,30,1.080000
107,53,54,76,94,13,2,11,3,3,1.000000,1.000000,18,21,18,1,0,1,1,23,41,1.000000
108,54,55,61,80,71,1,6,3,3,0.000000,1.000000,19,6,19,0,0,0,1,7,26,1.000000
109,54,55,63,86,24,1,5,3,3,0.000000,2.000000,19,8,23,0,0,0,1,9,32,1.210526
110,55,56,57,90,19,0,1,4,4,0.000000,0.000000,33,1,33,0,0,0,1,2,35,1.000000
111,55,56,56,73,53,0,0,3,-1,-1.000000,-1.000000,17,0,17,0,0,0,1,1,18,1.000000
112,56,57,65,97,17,1,8,3,4,2.000000,4.000000,20,8,30,0,2,2,1,9,41,1.500000
113,56,57,67,91,77,1,7,3,3,0.000000,2.000000,24,8,24,2,0,2,1,11,35,1.000000
114,57,58,58,73,71,0,0,3,-1,-1.000000,-1.000000,13,0,15,0,0,0,1,1,16,1.153846
115,57,58,62,73,24,0,4,3,3,0.000000,2.000000,11,4,11,0,0,0,1,5,16,1.000000
116,58,59,90,106,22,11,7,3,4,0.000000,1.000000,9,27,15,4,1,5,1,32,48,1.666667
