agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,3,211,8,70,0,8,70
1,3,192,8,89,1,7,89
2,5,172,8,109,4,8,105
3,5,178,17,94,2,16,93
4,6,120,25,144,3,24,142
5,6,144,13,132,2,13,130
6,9,85,58,146,3,57,144
7,6,137,13,139,1,13,138
8,5,146,32,111,2,32,109
9,3,201,11,77,1,11,76
10,4,170,33,86,4,32,83
11,8,97,32,160,3,32,157
12,9,54,25,210,5,23,207
13,5,144,15,130,0,15,130
14,9,84,39,166,1,38,166
15,6,131,18,140,2,18,138
16,7,136,36,117,1,36,116
17,8,146,15,128,3,14,126
18,7,95,23,171,10,18,166
19,5,142,12,135,1,12,134
20,7,96,33,160,2,32,159
21,8,111,33,145,7,31,140
22,8,105,23,161,2,21,161
23,9,129,32,128,2,32,126
24,7,149,19,121,4,17,119
25,8,58,35,196,5,33,193
26,9,79,23,187,3,23,184
27,10,92,45,152,4,45,148
28,6,126,35,128,4,34,125
29,9,65,46,178,6,44,174
30,7,103,45,141,5,42,139
31,5,168,28,93,2,27,92
32,6,118,36,135,5,35,131
33,8,152,28,109,1,28,108
34,9,116,30,143,0,30,143
35,6,140,16,133,3,14,132
36,4,148,20,121,3,20,118
37,6,96,22,171,1,21,171
38,7,107,29,153,2,29,151
39,6,109,22,158,4,22,154
40,8,85,11,193,3,11,190
41,9,61,36,192,5,33,190
42,8,108,30,151,0,30,151
43,5,153,40,96,6,37,93
44,11,75,32,182,9,31,174
45,7,92,33,164,7,29,161
46,6,174,32,83,3,30,82
47,6,110,33,146,4,32,143
48,9,140,25,124,4,22,123
49,6,196,11,82,0,11,82
50,6,123,20,146,3,19,144
51,8,118,34,137,3,33,135
52,5,146,17,126,1,17,125
53,7,142,40,107,5,37,105
54,7,101,38,150,4,36,148
55,10,95,29,165,4,28,162
56,10,128,20,141,1,20,140
57,4,175,10,104,4,10,100
58,7,157,15,117,1,15,116
59,3,197,14,78,2,13,77
60,6,110,17,162,5,17,157
61,3,214,2,73,2,2,71
62,8,121,17,151,5,13,150
63,7,89,24,176,5,23,172
64,7,87,16,186,7,14,181
65,0,289,0,0,0,0,0
66,5,181,15,93,2,15,91
67,0,289,0,0,0,0,0
68,1,260,8,21,0,8,21
69,3,212,5,72,0,5,72
70,5,146,19,124,0,19,124
71,5,148,15,126,1,15,125
72,5,174,26,89,2,25,88
73,6,113,7,169,5,6,165
74,5,183,10,96,0,10,96
75,5,170,18,101,1,18,100
76,6,152,20,117,0,20,117
77,2,238,10,41,3,10,38
78,6,135,24,130,4,23,127
79,9,119,30,140,1,30,139
