timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,1,1,0,0.9205106
2,0,6,2,4,76,3,1,0,0.9204288
3,0,8,2,6,74,5,1,0,0.9204424
4,0,10,2,8,72,6,2,0,0.9204448
5,0,12,2,10,70,7,3,0,0.9204251
6,0,14,2,12,68,8,4,0,0.9204553
7,0,16,2,14,66,9,5,0,0.9204914
8,0,18,2,16,64,9,7,0,0.9204966
9,0,20,2,18,62,7,11,0,0.9204885
10,0,22,2,20,60,8,12,0,0.9204737
11,0,24,2,22,58,8,14,1,0.9204678
12,1,25,2,23,57,6,17,1,0.9204832
13,1,27,2,25,55,8,17,1,0.9204582
14,1,29,2,27,53,10,17,1,0.9204974
15,1,31,2,29,51,10,19,1,0.9204741
16,3,31,2,29,51,10,19,2,0.9204842
17,3,33,2,31,49,9,22,3,0.9204511
18,4,34,2,32,48,9,23,3,0.920467
19,7,33,2,31,49,10,21,3,0.920516
20,8,34,2,32,48,11,21,4,0.9204885
21,11,33,2,31,49,12,19,6,0.9205074
22,11,35,2,33,47,12,21,6,0.9204936
23,12,36,2,34,46,12,22,7,0.920579
24,12,38,2,36,44,11,25,7,0.9204855
25,12,40,2,38,42,12,26,7,0.9204988
26,15,39,2,37,43,12,25,7,0.9204862
27,15,41,2,39,41,12,27,7,0.9204409
28,17,41,2,39,41,12,27,8,0.9206549
29,19,41,2,39,41,12,27,8,0.9204929
30,22,40,2,38,42,10,28,9,0.9204905
31,22,42,2,40,40,11,29,10,0.9204708
32,23,43,2,41,39,11,30,10,0.9206243
33,24,44,2,42,38,10,32,12,0.9206249
34,25,45,2,43,37,9,34,13,0.9204868
35,26,46,2,44,36,8,36,13,0.9204834
36,28,46,2,44,36,8,36,13,0.9204875
37,29,47,2,45,35,9,36,15,0.9204687
38,30,48,2,46,34,8,38,15,0.9204758
39,32,48,2,46,34,8,38,15,0.9204716
40,33,49,2,47,33,9,38,16,0.920473
41,33,51,2,49,31,9,40,16,0.9204789
42,36,50,2,48,32,11,37,16,0.9204432
43,37,51,2,49,31,10,39,16,0.92049
44,38,52,2,50,30,11,39,17,0.9204522
45,42,50,2,48,32,7,41,18,0.9204764
46,43,51,2,49,31,7,42,18,0.9204862
47,46,50,2,48,32,6,42,20,0.9204831
48,49,49,2,47,33,7,40,20,0.9205161
49,50,50,2,48,32,8,40,22,0.9205614
50,50,52,2,50,30,8,42,22,0.9204767
51,52,52,2,50,30,8,42,22,0.9204675
52,55,51,2,49,31,9,40,23,0.9205544
53,59,49,2,47,33,10,37,24,0.9204864
54,61,49,2,47,33,8,39,26,0.9204887
55,63,49,2,47,33,10,37,27,0.9204756
56,66,48,2,46,34,9,37,27,0.9204612
57,69,47,2,45,35,5,40,28,0.9205022
58,70,48,2,46,34,4,42,29,0.9204595
59,74,46,2,44,36,3,41,29,0.920501
60,77,45,2,43,37,4,39,29,0.9204752
61,78,46,2,44,36,4,40,29,0.9205065
62,79,47,2,45,35,5,40,31,0.9204826
63,80,48,2,46,34,7,39,31,0.9204458
64,82,48,2,46,34,6,40,31,0.9204678
65,85,47,2,45,35,4,41,32,0.9204682
66,86,48,2,46,34,3,43,32,0.9204916
67,90,46,2,44,36,5,39,33,0.9204987
68,91,47,2,45,35,7,38,34,0.9204999
69,91,49,2,47,33,8,39,35,0.9204976
70,92,50,2,48,32,5,43,38,0.9204857
71,94,50,2,48,32,4,44,41,0.9204713
72,97,49,2,47,33,3,44,43,0.9204814
73,98,50,2,48,32,5,43,45,0.9204771
74,99,51,2,49,31,7,42,46,0.9204778
75,100,52,2,50,30,7,43,46,0.9205062
76,102,52,2,50,30,7,43,47,0.9205155
77,105,51,2,49,31,7,42,48,0.9205252
78,105,53,2,51,29,9,42,48,0.9204919
79,106,54,2,52,28,9,43,50,0.9204652
80,110,52,2,50,30,9,41,50,0.9204918
81,110,54,2,52,28,9,43,50,0.9205064
82,112,54,2,52,28,9,43,50,0.9205421
83,113,55,2,53,27,8,45,52,0.9205008
84,115,55,2,53,27,6,47,53,0.9204902
85,118,54,2,52,28,6,46,53,0.9205393
86,121,53,2,51,29,6,45,53,0.9204827
87,123,53,2,51,29,5,46,54,0.9204918
88,126,52,2,50,30,6,44,54,0.9205052
89,126,54,2,52,28,6,46,54,0.9204826
90,127,55,2,53,27,8,45,55,0.9204756
91,129,55,2,53,27,7,46,55,0.9204976
92,131,55,2,53,27,8,45,56,0.92047
93,133,55,2,53,27,8,45,57,0.9204701
94,135,55,2,53,27,8,45,57,0.920533
95,136,56,2,54,26,6,48,60,0.9206343
96,140,54,2,52,28,8,44,62,0.9204848
97,140,56,2,54,26,8,46,63,0.9205247
98,141,57,2,55,25,9,46,64,0.9205877
99,145,55,2,53,27,5,48,64,0.9205258
100,147,55,2,53,27,5,48,65,0.9204951
101,148,56,2,54,26,6,48,68,0.9204742
102,150,56,2,54,26,8,46,68,0.9204732
103,152,56,2,54,26,9,45,69,0.9204943
104,154,56,2,54,26,7,47,72,0.9204633
105,157,55,2,53,27,7,46,76,0.9204933
106,160,54,2,52,28,8,44,78,0.9204992
107,161,55,2,53,27,8,45,78,0.9204784
108,163,55,2,53,27,7,46,81,0.9204805
109,165,55,2,53,27,6,47,82,0.9204783
110,167,55,2,53,27,8,45,82,0.9205194
111,170,54,2,52,28,8,44,83,0.9204466
112,172,54,2,52,28,5,47,83,0.9204787
113,173,55,2,53,27,5,48,84,0.9205081
114,177,53,2,51,29,7,44,85,0.9205308
115,177,55,2,53,27,7,46,85,0.9205273
116,177,57,2,55,25,6,49,85,0.9204701
117,180,56,2,54,26,6,48,85,0.9206357
118,182,56,2,54,26,6,48,86,0.9204552
119,184,56,2,54,26,6,48,87,0.9205792
120,186,56,2,54,26,7,47,87,0.9205618
121,189,55,2,53,27,8,45,89,0.9204811
122,191,55,2,53,27,9,44,90,0.9204854
123,195,53,2,51,29,7,44,91,0.9204974
124,198,52,2,50,30,6,44,92,0.9204763
125,201,51,2,49,31,6,43,95,0.9205036
126,202,52,2,50,30,7,43,95,0.9204571
127,203,53,2,51,29,6,45,95,0.9205687
128,203,55,2,53,27,3,50,95,0.9205411
129,206,54,2,52,28,3,49,95,0.9204703
130,206,56,2,54,26,4,50,95,0.9209114
131,209,55,2,53,27,6,47,96,0.9206813
132,212,54,2,52,28,6,46,97,0.9204623
133,215,53,2,51,29,6,45,97,0.920513
134,218,52,2,50,30,5,45,97,0.9204905
135,220,52,2,50,30,5,45,98,0.9204965
136,224,50,2,48,32,6,42,99,0.9204585
137,227,49,2,47,33,5,42,100,0.920484
138,227,51,2,49,31,2,47,100,0.9204655
139,228,52,2,50,30,4,46,100,0.9204921
140,231,51,2,49,31,3,46,101,0.9205631
141,234,50,2,48,32,5,43,101,0.9205144
142,236,50,2,48,32,5,43,102,0.920453
143,237,51,2,49,31,5,44,102,0.9204801
144,238,52,2,50,30,6,44,105,0.9204642
145,241,51,2,49,31,6,43,105,0.9204989
146,244,50,2,48,32,7,41,105,0.9205299
147,246,50,2,48,32,7,41,105,0.9204282
148,248,50,2,48,32,8,40,106,0.9204848
149,249,51,2,49,31,8,41,106,0.9204836
150,250,52,2,50,30,9,41,107,0.9204616
151,251,53,2,51,29,8,43,107,0.9204668
152,252,54,2,52,28,8,44,107,0.9205773
153,255,53,2,51,29,8,43,109,0.9205859
154,256,54,2,52,28,8,44,109,0.9204608
155,258,54,2,52,28,9,43,111,0.9204999
156,259,55,2,53,27,8,45,113,0.9205576
157,262,54,2,52,28,8,44,113,0.9204963
158,265,53,2,51,29,8,43,116,0.9205106
159,267,53,2,51,29,7,44,118,0.9204689
160,271,51,2,49,31,7,42,119,0.9205925
161,274,50,2,48,32,7,41,119,0.9205218
162,276,50,2,48,32,8,40,121,0.9204552
163,277,51,2,49,31,7,42,122,0.9204505
164,280,50,2,48,32,7,41,123,0.9204576
165,281,51,2,49,31,8,41,124,0.9205152
166,282,52,2,50,30,9,41,125,0.9205157
167,284,52,2,50,30,9,41,126,0.9204844
168,287,51,2,49,31,8,41,126,0.9204743
169,292,48,2,46,34,8,38,129,0.9205209
170,295,47,2,45,35,8,37,129,0.9205956
171,295,49,2,47,33,8,39,129,0.9204616
172,298,48,2,46,34,7,39,130,0.9206048
173,299,49,2,47,33,8,39,131,0.9204874
174,300,50,2,48,32,7,41,132,0.9204725
175,301,51,2,49,31,3,46,133,0.9207246
176,302,52,2,50,30,3,47,135,0.9206675
177,304,52,2,50,30,3,47,138,0.9204537
178,307,51,2,49,31,5,44,138,0.9204642
179,311,49,2,47,33,6,41,140,0.9204982
180,312,50,2,48,32,4,44,141,0.9208198
181,313,51,2,49,31,6,43,141,0.9207575
182,315,51,2,49,31,5,44,142,0.9204988
183,316,52,2,50,30,7,43,143,0.9204706
184,316,54,2,52,28,6,46,143,0.920478
185,317,55,2,53,27,6,47,143,0.9204339
186,319,55,2,53,27,8,45,143,0.9204977
187,320,56,2,54,26,7,47,144,0.920471
188,323,55,2,53,27,7,46,144,0.9204455
189,325,55,2,53,27,7,46,145,0.9204643
190,327,55,2,53,27,6,47,146,0.9204521
191,331,53,2,51,29,7,44,146,0.920454
192,335,51,2,49,31,9,40,147,0.9204734
193,340,48,2,46,34,10,36,147,0.9204995
194,342,48,2,46,34,8,38,148,0.9205086
195,345,47,2,45,35,8,37,149,0.920518
196,347,47,2,45,35,8,37,151,0.9205035
197,348,48,2,46,34,8,38,153,0.9204632
198,348,50,2,48,32,9,39,154,0.9205078
199,350,50,2,48,32,9,39,156,0.9204714
200,352,50,2,48,32,8,40,156,0.920459
201,355,49,2,47,33,10,37,157,0.9205083
202,356,50,2,48,32,8,40,157,0.9204215
203,358,50,2,48,32,8,40,158,0.9204432
204,362,48,2,46,34,8,38,160,0.9204346
205,365,47,2,45,35,7,38,161,0.9204662
206,365,49,2,47,33,9,38,162,0.9204744
207,367,49,2,47,33,7,40,163,0.9204689
208,368,50,2,48,32,7,41,163,0.9204938
209,369,51,2,49,31,5,44,163,0.9204983
210,371,51,2,49,31,4,45,163,0.9204741
211,372,52,2,50,30,4,46,165,0.9204691
212,374,52,2,50,30,4,46,165,0.920458
213,378,50,2,48,32,5,43,168,0.9204956
214,380,50,2,48,32,5,43,168,0.9205915
215,383,49,2,47,33,6,41,169,0.9204621
216,385,49,2,47,33,5,42,169,0.9204804
217,385,51,2,49,31,6,43,169,0.9205359
218,386,52,2,50,30,6,44,169,0.9204661
219,390,50,2,48,32,7,41,169,0.9204711
220,394,48,2,46,34,6,40,170,0.9205151
221,396,48,2,46,34,7,39,170,0.9205342
222,396,50,2,48,32,6,42,171,0.9204463
223,398,50,2,48,32,4,44,171,0.9204504
224,401,49,2,47,33,5,42,172,0.9204752
225,401,51,2,49,31,5,44,172,0.9204636
226,403,51,2,49,31,5,44,172,0.9204749
227,405,51,2,49,31,7,42,173,0.92049
228,405,53,2,51,29,8,43,174,0.9204703
229,407,53,2,51,29,6,45,174,0.9205091
230,409,53,2,51,29,6,45,175,0.920467
231,411,53,2,51,29,7,44,177,0.9205176
232,412,54,2,52,28,8,44,178,0.9206301
233,414,54,2,52,28,9,43,179,0.9204582
234,415,55,2,53,27,9,44,179,0.9205071
235,419,53,2,51,29,9,42,179,0.9205846
236,422,52,2,50,30,9,41,179,0.9204919
237,422,54,2,52,28,8,44,180,0.9204704
238,426,52,2,50,30,6,44,182,0.9204681
239,428,52,2,50,30,6,44,183,0.9204553
240,429,53,2,51,29,3,48,185,0.9204663
241,430,54,2,52,28,4,48,188,0.9204528
242,435,51,2,49,31,5,44,188,0.9204753
243,437,51,2,49,31,6,43,188,0.9204743
244,437,53,2,51,29,4,47,188,0.9204622
245,440,52,2,50,30,5,45,189,0.9204267
246,442,52,2,50,30,7,43,189,0.9204905
247,443,53,2,51,29,8,43,190,0.9204409
248,443,55,2,53,27,9,44,191,0.9204467
249,446,54,2,52,28,7,45,191,0.9204032
250,453,47,0,47,33,7,40,192,0.9204675
251,457,43,0,43,37,6,37,192,0.9204445
252,458,42,0,42,38,5,37,192,0.9204583
253,461,39,0,39,41,3,36,195,0.9204538
254,464,36,0,36,44,1,35,197,0.920474
255,465,35,0,35,45,1,34,197,0.92047
256,467,33,0,33,47,1,32,197,0.9204396
257,469,31,0,31,49,1,30,197,0.9204738
258,469,31,0,31,49,0,31,198,0.9204574
259,471,29,0,29,51,0,29,198,0.9204228
260,473,27,0,27,53,0,27,198,0.9204663
261,478,22,0,22,58,0,22,200,0.9204376
262,478,22,0,22,58,0,22,200,0.9204359
263,481,19,0,19,61,0,19,200,0.9204162
264,482,18,0,18,62,0,18,200,0.9204113
265,483,17,0,17,63,0,17,200,0.9204203
266,485,15,0,15,65,0,15,200,0.9204135
267,485,15,0,15,65,0,15,201,0.9204122
268,486,14,0,14,66,0,14,201,0.9203973
269,488,12,0,12,68,0,12,201,0.9204009
270,489,11,0,11,69,0,11,201,0.9204229
271,491,9,0,9,71,0,9,201,0.9204423
272,492,8,0,8,72,0,8,201,0.9204023
273,494,6,0,6,74,0,6,201,0.9204044
274,494,6,0,6,74,0,6,201,0.9203871
275,494,6,0,6,74,0,6,201,0.9204123
276,494,6,0,6,74,0,6,201,0.9203927
277,494,6,0,6,74,0,6,201,0.9203745
278,494,6,0,6,74,0,6,201,0.9203757
279,495,5,0,5,75,0,5,201,0.9204172
280,496,4,0,4,76,0,4,201,0.9203513
281,497,3,0,3,77,0,3,201,0.9204135
282,497,3,0,3,77,0,3,201,0.9203918
283,498,2,0,2,78,0,2,201,0.9204545
284,498,2,0,2,78,0,2,201,0.9204233
285,498,2,0,2,78,0,2,201,0.9204149
286,498,2,0,2,78,0,2,201,0.9203453
287,498,2,0,2,78,0,2,201,0.9203812
288,499,1,0,1,79,0,1,201,0.9203809
289,499,1,0,1,79,0,1,201,0.9203955
290,499,1,0,1,79,0,1,201,0.920368
291,500,0,0,0,80,0,0,201,0.920391
