"Run","Makespan","Finished","EntryTimeouts","PlannerErrors","ScheduleErrors"
"f2_n80_flow-unit_seed0","245","500","0","0","0"
"f2_n80_flow-unit_seed1","240","500","0","0","0"
"f2_n80_flow-unit_seed2","248","500","0","0","0"
"f2_n80_flow-unit_seed3","227","500","0","0","0"
"f2_n80_flow-unit_seed4","254","500","0","0","0"
"f2_n80_taskmatcher-free_seed0","236","500","0","0","0"
"f2_n80_taskmatcher-free_seed1","270","500","0","0","0"
"f2_n80_taskmatcher-free_seed2","244","500","0","0","0"
"f2_n80_taskmatcher-free_seed3","254","500","0","0","0"
"f2_n80_taskmatcher-free_seed4","246","500","0","0","0"
