task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,0,1,12,36,0,1,4,4,0,0,11,1,11,0,0,0,0,1,12,1.000000
1,0,0,1,26,68,0,1,4,4,0.000000,0.000000,25,1,25,0,0,0,0,1,26,1.000000
2,1,1,5,14,43,0,4,3,4,0.000000,0.000000,9,4,9,0,0,0,0,4,13,1.000000
3,1,1,2,30,8,0,1,3,3,0.000000,0.000000,28,1,28,0,0,0,0,1,29,1.000000
4,2,2,11,24,39,0,9,3,4,0.000000,0.000000,12,9,12,0,1,1,0,9,22,1.000000
5,2,2,3,24,42,0,1,4,4,0.000000,0.000000,21,1,21,0,0,0,0,1,22,1.000000
6,3,3,4,23,21,0,1,3,3,0.000000,0.000000,19,1,19,0,0,0,0,1,20,1.000000
7,3,3,8,33,92,0,5,3,4,0.000000,1.000000,25,5,25,0,0,0,0,5,30,1.000000
8,4,4,5,24,18,0,1,3,3,0.000000,0.000000,19,1,19,0,0,0,0,1,20,1.000000
9,4,4,9,25,35,0,5,3,4,0.000000,1.000000,16,5,16,0,0,0,0,5,21,1.000000
10,5,5,13,30,54,0,8,3,4,0.000000,0.000000,13,8,17,0,0,0,0,8,25,1.307692
11,5,5,8,14,99,0,3,3,3,0.000000,1.000000,4,3,6,0,0,0,0,3,9,1.500000
12,6,6,11,42,73,0,5,3,4,0.000000,0.000000,27,5,31,0,0,0,0,5,36,1.148148
13,6,6,8,35,56,0,2,4,4,0.000000,0.000000,27,2,27,0,0,0,0,2,29,1.000000
14,7,7,14,42,91,0,7,3,3,0.000000,1.000000,12,7,28,0,0,0,0,7,35,2.333333
15,7,7,9,32,31,0,2,4,4,0.000000,0.000000,21,2,23,0,0,0,0,2,25,1.095238
16,8,8,17,29,17,0,9,3,4,0.000000,2.000000,12,9,12,0,0,0,0,9,21,1.000000
17,8,8,18,22,50,0,10,3,4,0.000000,0.000000,4,10,4,0,0,0,0,10,14,1.000000
18,9,9,17,35,30,0,8,3,4,0.000000,1.000000,16,8,18,0,0,0,0,8,26,1.125000
19,9,9,18,35,61,0,9,3,4,0.000000,1.000000,14,9,16,0,1,1,0,9,26,1.142857
20,10,10,34,61,93,6,10,3,3,0.000000,1.000000,26,24,26,0,1,1,0,24,51,1.000000
