agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,0,293,0,0,0,0,0
1,3,233,11,49,1,10,49
2,5,193,18,82,4,18,78
3,4,176,10,107,2,10,105
4,4,195,13,85,4,11,83
5,4,216,20,57,1,19,57
6,5,174,31,88,4,29,86
7,0,285,8,0,0,8,0
8,6,154,16,123,4,14,121
9,5,141,12,140,2,10,140
10,2,264,4,25,1,4,24
11,5,202,22,69,1,21,69
12,3,194,15,84,1,15,83
13,3,171,18,104,3,17,102
14,4,165,27,101,3,25,100
15,7,136,18,139,4,17,136
16,7,133,45,115,4,42,114
17,6,128,24,141,2,24,139
18,9,114,37,142,6,35,138
19,1,262,13,18,0,13,18
20,6,179,25,89,3,22,89
21,6,176,21,96,1,20,96
22,1,249,1,43,1,0,43
23,5,169,14,110,0,14,110
24,5,161,27,105,4,27,101
25,6,139,22,132,1,22,131
26,9,69,29,195,4,26,194
27,6,120,9,164,5,7,161
28,7,136,23,134,4,23,130
29,6,182,21,90,3,20,88
30,7,79,23,191,1,23,190
31,7,107,38,148,8,33,145
32,7,144,25,124,2,25,122
33,5,178,16,99,2,16,97
34,7,113,29,151,9,22,149
35,8,98,29,166,3,28,164
36,8,110,27,156,4,26,153
37,7,99,37,157,2,36,156
38,5,167,30,96,1,29,96
39,5,186,27,80,4,25,78
40,7,132,32,129,5,31,125
41,7,128,31,134,4,30,131
42,8,97,16,180,7,14,175
43,7,95,31,167,2,31,165
44,5,151,20,122,2,20,120
45,7,118,41,134,3,41,131
46,5,140,25,128,2,24,127
47,8,103,30,160,4,28,158
48,4,127,16,150,2,16,148
49,5,140,20,133,2,20,131
50,8,106,41,146,5,40,142
51,6,160,21,112,2,21,110
52,7,132,35,126,2,35,124
53,6,173,29,91,1,28,91
54,6,159,21,113,5,19,110
55,6,93,18,182,6,17,177
56,8,78,15,200,6,13,196
57,6,118,33,142,3,32,140
58,6,165,12,116,5,7,116
59,6,103,18,172,4,18,168
60,4,171,13,109,1,13,108
61,8,101,31,161,6,28,158
62,7,101,17,175,2,16,174
63,4,206,31,56,1,30,56
64,5,147,30,116,3,28,115
65,4,219,9,65,0,9,65
66,6,137,23,133,5,19,132
67,4,174,16,103,0,16,103
68,9,114,15,164,4,12,163
69,4,212,10,71,1,10,70
70,4,177,15,101,4,13,99
71,8,118,18,157,4,16,155
72,4,175,12,106,2,12,104
73,6,159,22,112,2,21,111
74,6,139,24,130,5,23,126
75,2,215,5,73,0,5,73
76,2,250,4,39,1,4,38
77,2,231,5,57,1,5,56
78,2,248,7,38,0,7,38
79,2,244,5,44,0,5,44
80,6,169,24,100,6,24,94
81,2,254,7,32,3,7,29
82,2,221,10,62,2,8,62
83,8,93,19,181,6,18,176
84,2,228,2,63,0,2,63
85,0,292,1,0,0,1,0
86,2,224,3,66,1,3,65
87,5,182,12,99,2,12,97
88,1,269,1,23,0,1,23
89,0,292,1,0,0,1,0
90,2,238,21,34,4,17,34
91,4,207,21,65,2,21,63
92,5,147,23,123,2,23,121
93,6,160,28,105,4,26,103
94,4,219,10,64,1,9,64
95,5,162,16,115,1,16,114
96,2,245,7,41,2,5,41
97,6,115,35,143,2,35,141
98,4,185,6,102,2,4,102
99,7,149,12,132,2,11,131
