timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,98,0,2,0,0.9195425
2,0,6,2,4,96,1,3,0,0.9201069
3,0,8,2,6,94,2,4,0,0.9194254
4,0,10,2,8,92,3,5,0,0.9195043
5,0,12,2,10,90,3,7,0,0.919431
6,0,14,2,12,88,5,7,0,0.9194623
7,0,16,2,14,86,7,7,0,0.9194702
8,0,18,2,16,84,6,10,0,0.9194418
9,0,20,2,18,82,6,12,0,0.9194988
10,0,22,2,20,80,8,12,1,0.9194697
11,0,24,2,22,78,8,14,1,0.9194244
12,1,25,2,23,77,10,13,1,0.919539
13,1,27,2,25,75,8,17,1,0.9195192
14,2,28,2,26,74,8,18,1,0.9194521
15,3,29,2,27,73,9,18,2,0.9194818
16,3,31,2,29,71,11,18,2,0.9194918
17,3,33,2,31,69,10,21,2,0.9195957
18,3,35,2,33,67,9,24,4,0.9195736
19,4,36,2,34,66,9,25,7,0.9194888
20,4,38,2,36,64,6,30,7,0.9195279
21,4,40,2,38,62,7,31,7,0.9195093
22,5,41,2,39,61,5,34,7,0.9194728
23,5,43,2,41,59,6,35,9,0.9194336
24,9,41,2,39,61,7,32,9,0.9194859
25,10,42,2,40,60,8,32,12,0.9195338
26,11,43,2,41,59,8,33,13,0.919602
27,11,45,2,43,57,9,34,13,0.9195002
28,11,47,2,45,55,7,38,13,0.9195023
29,14,46,2,44,56,8,36,13,0.9195503
30,16,46,2,44,56,8,36,13,0.9195131
31,17,47,2,45,55,6,39,16,0.9194824
32,20,46,2,44,56,6,38,16,0.9194362
33,21,47,2,45,55,5,40,18,0.9194648
34,24,46,2,44,56,4,40,19,0.9195337
35,26,46,2,44,56,5,39,21,0.919569
36,29,45,2,43,57,5,38,22,0.9195245
37,29,47,2,45,55,6,39,24,0.9196228
38,30,48,2,46,54,6,40,24,0.9196062
39,30,50,2,48,52,6,42,26,0.9194989
40,31,51,2,49,51,7,42,26,0.9194966
41,31,53,2,51,49,7,44,27,0.9199057
42,35,51,2,49,51,6,43,28,0.920302
43,36,52,2,50,50,7,43,28,0.9195793
44,38,52,2,50,50,6,44,28,0.9195071
45,42,50,2,48,52,7,41,28,0.9195867
46,45,49,2,47,53,6,41,30,0.9198393
47,46,50,2,48,52,6,42,33,0.9197876
48,49,49,2,47,53,7,40,35,0.9194953
49,50,50,2,48,52,6,42,37,0.9196171
50,52,50,2,48,52,6,42,37,0.9197361
51,54,50,2,48,52,7,41,39,0.9195735
52,57,49,2,47,53,6,41,40,0.919472
53,58,50,2,48,52,5,43,42,0.9195753
54,59,51,2,49,51,6,43,43,0.9195611
55,61,51,2,49,51,8,41,44,0.919634
56,64,50,2,48,52,9,39,45,0.9195327
57,67,49,2,47,53,8,39,46,0.9195859
58,68,50,2,48,52,8,40,48,0.9195101
59,71,49,2,47,53,7,40,50,0.9195427
60,72,50,2,48,52,9,39,50,0.9195029
61,73,51,2,49,51,10,39,52,0.9195022
62,73,53,2,51,49,9,42,55,0.9195258
63,74,54,2,52,48,9,43,56,0.9195277
64,76,54,2,52,48,9,43,58,0.9194936
65,78,54,2,52,48,10,42,60,0.9195035
66,81,53,2,51,49,8,43,60,0.9195698
67,83,53,2,51,49,8,43,61,0.9195156
68,84,54,2,52,48,6,46,62,0.9195164
69,87,53,2,51,49,6,45,62,0.9194818
70,90,52,2,50,50,8,42,63,0.9194979
71,92,52,2,50,50,9,41,64,0.9194786
72,93,53,2,51,49,8,43,66,0.9196585
73,93,55,2,53,47,6,47,66,0.9198235
74,97,53,2,51,49,7,44,67,0.9198737
75,98,54,2,52,48,7,45,68,0.9195167
76,99,55,2,53,47,7,46,69,0.9195835
77,99,57,2,55,45,9,46,69,0.919499
78,104,54,2,52,48,8,44,70,0.9195039
79,106,54,2,52,48,9,43,71,0.9195597
80,111,51,2,49,51,8,41,73,0.9195503
81,112,52,2,50,50,8,42,74,0.9195551
82,117,49,2,47,53,9,38,77,0.9195374
83,117,51,2,49,51,5,44,79,0.9195124
84,119,51,2,49,51,5,44,81,0.9194832
85,123,49,2,47,53,6,41,81,0.919507
86,125,49,2,47,53,6,41,82,0.9194997
87,127,49,2,47,53,6,41,84,0.9195608
88,128,50,2,48,52,6,42,86,0.9196215
89,130,50,2,48,52,6,42,86,0.9195765
90,131,51,2,49,51,4,45,87,0.9194991
91,135,49,2,47,53,3,44,87,0.9195083
92,137,49,2,47,53,5,42,89,0.9195338
93,139,49,2,47,53,5,42,91,0.9195316
94,143,47,2,45,55,5,40,92,0.9194941
95,145,47,2,45,55,6,39,92,0.9194932
96,147,47,2,45,55,6,39,92,0.9196764
97,149,47,2,45,55,8,37,95,0.9194946
98,150,48,2,46,54,8,38,95,0.9195509
99,152,48,2,46,54,6,40,97,0.9194965
100,152,50,2,48,52,6,42,97,0.9194949
101,152,52,2,50,50,5,45,98,0.9195304
102,153,53,2,51,49,5,46,99,0.9195083
103,155,53,2,51,49,4,47,101,0.9195952
104,155,55,2,53,47,4,49,102,0.9195834
105,155,57,2,55,45,6,49,102,0.9194932
106,156,58,2,56,44,3,53,103,0.9194402
107,156,60,2,58,42,5,53,103,0.9194562
108,157,61,2,59,41,7,52,104,0.9194344
109,161,59,2,57,43,7,50,105,0.9195738
110,164,58,2,56,44,7,49,107,0.9197548
111,168,56,2,54,46,4,50,108,0.9196127
112,171,55,2,53,47,5,48,109,0.9194775
113,173,55,2,53,47,5,48,110,0.9194982
114,173,57,2,55,45,4,51,112,0.9194804
115,174,58,2,56,44,3,53,114,0.9194699
116,176,58,2,56,44,2,54,115,0.9194923
117,178,58,2,56,44,3,53,117,0.9195193
118,181,57,2,55,45,4,51,119,0.9194537
119,183,57,2,55,45,6,49,120,0.9194435
120,185,57,2,55,45,6,49,120,0.9196228
121,190,54,2,52,48,7,45,120,0.9194496
122,197,49,2,47,53,7,40,120,0.9194578
123,199,49,2,47,53,6,41,120,0.9194939
124,201,49,2,47,53,6,41,121,0.9195081
125,205,47,2,45,55,4,41,123,0.9196302
126,207,47,2,45,55,4,41,124,0.919592
127,209,47,2,45,55,3,42,125,0.9194829
128,210,48,2,46,54,2,44,126,0.9194935
129,215,45,2,43,57,3,40,126,0.9194793
130,215,47,2,45,55,4,41,126,0.919596
131,215,49,2,47,53,4,43,130,0.9194565
132,216,50,2,48,52,5,43,131,0.9194883
133,219,49,2,47,53,5,42,132,0.9194843
134,220,50,2,48,52,5,43,133,0.9195067
135,220,52,2,50,50,5,45,136,0.9194893
136,222,52,2,50,50,3,47,138,0.9194845
137,225,51,2,49,51,3,46,140,0.9195795
