task_id,revealed_at,first_assigned_at,picked_up_at,completed_at,first_agent,reassignments,pickup_distance_at_assignment,pickup_local_degree,first_hop_local_degree,first_hop_opposing_flow,first_hop_vertex_flow,service_shortest_distance,empty_distance,loaded_distance,empty_wait_steps,loaded_wait_steps,active_wait_steps,assignment_wait,pickup_wait,completion_time,loaded_detour_ratio
0,0,0,1,12,11,0,1,4,4,0,0,11,1,11,0,0,0,0,1,12,1.000000
1,0,0,1,26,43,0,1,4,4,0.000000,0.000000,25,1,25,0,0,0,0,1,26,1.000000
2,1,1,5,14,18,0,4,3,4,0.000000,0.000000,9,4,9,0,0,0,0,4,13,1.000000
3,1,1,5,33,0,0,4,3,4,0.000000,0.000000,28,4,28,0,0,0,0,4,32,1.000000
4,2,2,14,26,14,1,9,3,4,0.000000,0.000000,12,12,12,0,0,0,0,12,24,1.000000
5,2,2,3,24,20,0,1,4,4,0.000000,0.000000,21,1,21,0,0,0,0,1,22,1.000000
6,3,3,12,31,1,6,9,3,4,0.000000,0.000000,19,9,19,0,0,0,0,9,28,1.000000
7,3,3,15,40,41,0,12,3,4,0.000000,0.000000,25,12,25,0,0,0,0,12,37,1.000000
8,4,4,18,37,1,5,11,3,4,0.000000,0.000000,19,14,19,0,0,0,0,14,33,1.000000
9,4,4,6,22,10,1,5,3,4,0.000000,1.000000,16,2,16,0,0,0,0,2,18,1.000000
10,5,5,13,26,32,2,8,3,4,0.000000,0.000000,13,8,13,0,0,0,0,8,21,1.000000
11,5,5,11,16,48,0,6,3,4,0.000000,0.000000,4,6,4,0,1,1,0,6,11,1.000000
12,6,6,12,41,45,0,6,3,4,0.000000,0.000000,27,6,29,0,0,0,0,6,35,1.074074
13,6,6,8,37,34,0,2,4,4,0.000000,0.000000,27,2,27,0,2,2,0,2,31,1.000000
14,7,7,32,46,37,7,11,3,4,0.000000,0.000000,12,25,12,0,2,2,0,25,39,1.000000
15,7,7,10,33,15,1,2,4,4,0.000000,0.000000,21,3,23,0,0,0,0,3,26,1.095238
16,8,8,17,29,15,2,11,3,4,0.000000,0.000000,12,9,12,0,0,0,0,9,21,1.000000
17,8,8,22,27,25,3,10,3,4,0.000000,0.000000,4,13,4,1,1,2,0,14,19,1.000000
18,9,9,17,35,5,2,8,3,4,0.000000,0.000000,16,8,18,0,0,0,0,8,26,1.125000
19,9,9,15,29,36,3,9,3,4,0.000000,0.000000,14,6,14,0,0,0,0,6,20,1.000000
20,10,10,21,48,32,8,6,3,3,0.000000,0.000000,26,11,26,0,1,1,0,11,38,1.000000
21,10,10,15,29,15,0,5,3,3,0.000000,0.000000,12,5,14,0,0,0,0,5,19,1.166667
22,11,11,17,40,7,0,6,4,4,0.000000,0.000000,21,6,23,0,0,0,0,6,29,1.095238
23,11,11,14,45,38,0,3,4,4,0.000000,0.000000,28,3,30,0,1,1,0,3,34,1.071429
24,12,12,30,35,49,5,15,3,4,0.000000,0.000000,5,18,5,0,0,0,0,18,23,1.000000
25,12,12,19,49,47,0,7,3,4,0.000000,0.000000,29,7,29,0,1,1,0,7,37,1.000000
26,13,13,36,66,5,3,6,3,3,0.000000,0.000000,30,23,30,0,0,0,0,23,53,1.000000
27,13,13,30,42,29,5,9,3,3,0.000000,0.000000,12,16,12,1,0,1,0,17,29,1.000000
28,14,14,23,35,22,0,9,3,4,0.000000,0.000000,12,9,12,0,0,0,0,9,21,1.000000
29,14,14,15,24,44,0,1,4,4,0.000000,0.000000,9,1,9,0,0,0,0,1,10,1.000000
30,15,15,16,47,31,0,1,4,4,0.000000,0.000000,31,1,31,0,0,0,0,1,32,1.000000
31,15,15,28,45,28,1,12,3,3,0.000000,0.000000,15,13,17,0,0,0,0,13,30,1.133333
32,16,16,20,33,26,0,4,3,4,0.000000,1.000000,12,4,12,0,1,1,0,4,17,1.000000
33,16,16,34,58,18,8,4,3,3,0.000000,1.000000,20,18,24,0,0,0,0,18,42,1.200000
34,17,17,25,61,13,0,8,4,4,0.000000,0.000000,34,8,36,0,0,0,0,8,44,1.058824
35,17,17,23,27,18,0,6,3,4,0.000000,1.000000,4,6,4,0,0,0,0,6,10,1.000000
36,18,18,29,60,2,1,5,3,3,0.000000,0.000000,23,11,31,0,0,0,0,11,42,1.347826
37,18,18,22,36,37,0,4,3,4,0.000000,1.000000,14,4,14,0,0,0,0,4,18,1.000000
38,19,19,40,64,46,10,5,4,4,0.000000,0.000000,18,21,24,0,0,0,0,21,45,1.333333
39,19,19,28,63,12,2,10,3,4,0.000000,0.000000,25,9,35,0,0,0,0,9,44,1.400000
40,20,20,26,49,42,1,29,3,4,0.000000,0.000000,21,6,23,0,0,0,0,6,29,1.095238
41,20,20,40,62,48,10,8,3,3,0.000000,1.000000,21,19,21,1,1,2,0,20,42,1.000000
42,21,21,46,71,42,11,23,3,4,0.000000,0.000000,20,23,24,0,1,1,0,25,50,1.200000
43,21,21,22,60,30,0,1,4,4,0.000000,0.000000,36,1,38,0,0,0,0,1,39,1.055556
44,22,22,28,45,12,0,6,3,4,0.000000,0.000000,17,6,17,0,0,0,0,6,23,1.000000
45,22,22,30,69,2,0,8,3,3,0.000000,1.000000,23,8,39,0,0,0,0,8,47,1.695652
46,23,23,42,46,28,2,8,3,3,0.000000,0.000000,4,18,4,0,0,0,0,19,23,1.000000
47,23,23,30,42,23,0,7,3,4,0.000000,0.000000,12,7,12,0,0,0,0,7,19,1.000000
48,24,24,29,46,44,4,3,3,3,2.000000,2.000000,17,4,17,1,0,1,0,5,22,1.000000
49,24,24,28,36,16,0,4,4,4,0.000000,1.000000,8,4,8,0,0,0,0,4,12,1.000000
50,25,25,28,43,21,0,3,4,4,0.000000,0.000000,15,3,15,0,0,0,0,3,18,1.000000
51,25,25,29,71,19,2,4,4,4,0.000000,0.000000,41,4,41,0,1,1,0,4,46,1.000000
52,26,26,37,61,19,4,7,3,4,0.000000,0.000000,23,11,23,0,1,1,0,11,35,1.000000
53,26,26,30,67,8,0,4,4,4,0.000000,0.000000,33,4,37,0,0,0,0,4,41,1.121212
54,27,27,28,48,39,0,0,3,-1,-1.000000,-1.000000,14,0,20,1,0,1,0,1,21,1.428571
55,27,27,28,46,32,0,1,3,3,0.000000,0.000000,18,1,18,0,0,0,0,1,19,1.000000
56,28,28,39,61,40,4,30,4,4,0.000000,0.000000,21,11,21,0,1,1,0,11,33,1.000000
57,28,28,33,67,24,0,5,4,4,0.000000,1.000000,32,5,34,0,0,0,0,5,39,1.062500
58,29,29,34,46,17,0,5,4,4,0.000000,0.000000,12,5,12,0,0,0,0,5,17,1.000000
59,29,29,31,64,35,0,2,4,4,0.000000,0.000000,32,2,32,0,1,1,0,2,35,1.000000
60,30,30,35,46,42,2,4,3,4,0.000000,0.000000,11,5,11,0,0,0,0,5,16,1.000000
61,30,30,31,52,44,0,1,3,3,0.000000,1.000000,19,1,21,0,0,0,0,1,22,1.105263
62,31,31,34,55,40,1,8,3,4,1.000000,1.000000,19,2,21,1,0,1,0,3,24,1.105263
63,31,31,40,55,1,1,7,4,3,0.000000,0.000000,13,9,15,0,0,0,0,9,24,1.153846
64,32,32,39,43,42,0,7,3,3,0.000000,1.000000,4,7,4,0,0,0,0,7,11,1.000000
65,32,32,36,56,15,0,4,4,3,0.000000,1.000000,20,4,20,0,0,0,0,4,24,1.000000
66,33,33,36,53,1,0,3,4,3,0.000000,2.000000,17,3,17,0,0,0,0,3,20,1.000000
67,33,33,35,50,28,0,2,3,4,0.000000,0.000000,15,2,15,0,0,0,0,2,17,1.000000
68,34,34,43,60,27,2,12,3,4,1.000000,1.000000,17,8,17,1,0,1,0,9,26,1.000000
69,34,34,38,59,26,1,6,3,3,0.000000,0.000000,21,4,21,0,0,0,0,4,25,1.000000
70,35,35,49,76,25,4,2,4,4,0.000000,1.000000,27,10,27,0,0,0,0,14,41,1.000000
71,35,36,56,68,25,1,5,3,4,1.000000,2.000000,7,10,11,2,1,3,1,21,33,1.571429
72,36,36,97,126,26,4,5,4,3,0.000000,0.000000,29,11,29,0,0,0,0,61,90,1.000000
73,36,40,45,62,7,1,10,4,3,1.000000,1.000000,17,5,17,0,0,0,4,9,26,1.000000
74,37,37,38,67,27,0,1,4,4,1.000000,2.000000,29,1,29,0,0,0,0,1,30,1.000000
75,37,37,56,62,34,1,8,3,4,1.000000,1.000000,6,11,6,0,0,0,0,19,25,1.000000
76,38,38,49,60,49,3,10,4,4,0.000000,0.000000,10,11,10,0,1,1,0,11,22,1.000000
77,38,38,52,82,5,4,3,3,3,1.000000,1.000000,15,11,29,2,1,3,0,14,44,1.933333
78,39,39,41,64,26,0,2,4,4,0.000000,0.000000,21,2,23,0,0,0,0,2,25,1.095238
79,39,46,48,65,22,0,2,3,3,0.000000,0.000000,17,2,17,0,0,0,7,9,26,1.000000
80,40,40,41,55,5,0,0,3,-1,-1.000000,-1.000000,13,0,13,1,1,2,0,1,15,1.000000
81,40,45,51,87,14,1,9,4,3,0.000000,0.000000,36,5,36,1,0,1,5,11,47,1.000000
82,41,41,47,84,49,0,6,3,3,0.000000,0.000000,37,6,37,0,0,0,0,6,43,1.000000
83,41,113,115,149,14,0,2,4,4,0.000000,1.000000,34,2,34,0,0,0,72,74,108,1.000000
84,42,42,48,76,23,1,8,3,3,0.000000,0.000000,18,6,28,0,0,0,0,6,34,1.555556
85,42,45,48,74,42,1,8,3,3,0.000000,1.000000,25,3,25,0,1,1,3,6,32,1.000000
86,43,43,44,54,34,0,0,4,-1,-1.000000,-1.000000,8,0,10,1,0,1,0,1,11,1.250000
87,43,43,52,59,23,2,5,3,4,0.000000,1.000000,6,7,6,0,1,1,0,9,16,1.000000
88,44,44,46,61,45,0,2,3,3,0.000000,0.000000,15,2,15,0,0,0,0,2,17,1.000000
89,44,44,50,85,7,3,5,4,4,0.000000,0.000000,33,5,35,1,0,1,0,6,41,1.060606
90,45,45,52,81,38,1,4,4,4,1.000000,1.000000,29,7,29,0,0,0,0,7,36,1.000000
91,45,46,52,78,7,1,5,4,4,0.000000,0.000000,23,6,25,0,1,1,1,7,33,1.086957
92,46,46,54,78,40,2,4,3,3,0.000000,0.000000,15,6,19,0,5,5,0,8,32,1.266667
93,46,46,53,97,23,1,9,3,3,0.000000,0.000000,18,7,44,0,0,0,0,7,51,2.444444
94,47,47,54,85,38,0,7,4,4,0.000000,0.000000,29,7,31,0,0,0,0,7,38,1.068966
95,47,47,55,73,42,0,8,3,4,1.000000,1.000000,15,8,17,0,1,1,0,8,26,1.133333
96,48,48,53,80,39,1,9,3,3,0.000000,0.000000,17,5,23,0,4,4,0,5,32,1.352941
97,48,48,68,92,17,8,10,3,3,0.000000,0.000000,18,11,24,1,0,1,0,20,44,1.333333
98,49,50,56,70,17,1,8,4,3,0.000000,0.000000,14,2,14,0,0,0,1,7,21,1.000000
99,49,60,73,96,18,7,11,3,3,0.000000,1.000000,23,11,23,0,0,0,11,24,47,1.000000
100,50,50,55,76,39,0,5,3,4,0.000000,1.000000,15,5,19,0,2,2,0,5,26,1.266667
101,50,54,92,105,34,4,12,3,4,1.000000,1.000000,13,17,13,1,0,1,4,42,55,1.000000
102,51,52,61,80,44,0,6,3,4,0.000000,3.000000,19,8,19,1,0,1,1,10,29,1.000000
103,51,51,60,64,17,1,5,3,3,1.000000,1.000000,3,8,3,1,1,2,0,9,13,1.000000
104,52,62,65,83,14,0,3,3,4,0.000000,1.000000,12,3,18,0,0,0,10,13,31,1.500000
105,52,53,58,81,17,0,3,3,3,1.000000,1.000000,22,5,22,0,1,1,1,6,29,1.000000
106,53,56,59,92,15,0,3,3,3,0.000000,1.000000,25,3,33,0,0,0,3,6,39,1.320000
107,53,61,71,89,45,0,10,3,3,0.000000,0.000000,18,10,18,0,0,0,8,18,36,1.000000
108,54,55,66,87,6,3,9,3,4,0.000000,2.000000,19,7,21,0,0,0,1,12,33,1.105263
109,54,59,66,89,23,0,7,3,3,0.000000,1.000000,19,7,23,0,0,0,5,12,35,1.210526
110,55,55,60,97,0,0,5,4,4,1.000000,1.000000,33,5,35,0,2,2,0,5,42,1.060606
111,55,60,66,91,9,0,5,3,3,0.000000,0.000000,17,5,23,1,2,3,5,11,36,1.352941
112,56,59,67,94,16,3,10,3,3,0.000000,1.000000,20,8,26,0,1,1,3,11,38,1.300000
113,56,60,68,101,3,0,6,3,3,2.000000,2.000000,24,8,32,0,1,1,4,12,45,1.333333
