agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,12,13,51,241,7,48,237
1,10,10,94,201,8,88,199
2,12,36,47,222,5,45,219
3,14,27,61,217,6,58,214
4,10,49,55,201,2,53,201
5,12,27,78,200,5,76,197
6,11,49,58,198,6,54,196
7,13,22,81,202,7,77,199
8,7,30,31,244,4,31,240
9,13,59,65,181,6,62,178
10,12,38,51,216,5,51,211
11,12,10,66,229,8,61,226
12,11,47,49,209,4,46,208
13,11,19,51,235,3,51,232
14,12,14,60,231,4,58,229
15,11,39,60,206,3,59,204
16,9,59,62,184,3,60,183
17,9,39,39,227,7,36,223
18,10,47,58,200,8,55,195
19,9,41,47,217,5,45,214
20,9,56,30,219,4,27,218
21,9,52,58,195,6,56,191
22,10,50,81,174,2,79,174
23,9,66,64,175,4,62,173
24,8,58,42,205,5,40,202
25,12,23,75,207,4,73,205
26,8,55,70,180,5,66,179
27,10,40,58,207,7,55,203
28,9,48,59,198,4,55,198
29,12,20,58,227,6,54,225
30,8,50,55,200,8,50,197
31,13,30,59,216,5,55,215
32,9,26,55,224,5,53,221
33,10,37,74,194,5,73,190
34,9,26,52,227,2,51,226
35,8,71,65,169,9,60,165
36,13,21,75,209,10,68,206
37,10,34,70,201,9,66,196
38,11,42,54,209,6,51,206
39,8,45,41,219,9,35,216
40,6,75,57,173,1,57,172
41,8,50,63,192,3,61,191
42,8,29,52,224,3,51,222
43,9,45,49,211,4,47,209
44,9,45,53,207,5,51,204
45,9,28,76,201,6,75,196
46,7,63,31,211,5,29,208
47,9,44,31,230,2,31,228
48,9,41,45,219,9,41,214
49,11,44,63,198,4,61,196
