agent_id,completed_tasks,idle_steps,empty_steps,loaded_steps,active_wait_steps,empty_distance,loaded_distance
0,1,222,59,9,3,58,7
1,1,226,45,19,4,42,18
2,3,211,21,58,4,19,56
3,6,138,25,127,5,22,125
4,5,132,21,137,6,19,133
5,4,132,42,116,3,41,114
6,4,173,32,85,4,31,82
7,3,182,30,78,3,28,77
8,10,48,30,212,3,30,209
9,7,130,19,141,4,17,139
10,5,166,26,98,1,26,97
11,5,132,20,138,2,20,136
12,7,81,43,166,2,42,165
13,9,53,33,204,6,33,198
14,8,115,48,127,1,48,126
15,6,143,17,130,5,15,127
16,7,99,43,148,3,41,147
17,6,128,39,123,2,38,122
18,7,62,35,193,1,34,193
19,7,137,50,103,1,50,102
20,9,112,39,139,5,35,138
21,8,46,42,202,5,40,199
22,6,112,36,142,0,36,142
23,6,99,18,173,4,16,171
24,6,126,31,133,2,31,131
25,8,66,42,182,4,41,179
26,10,71,29,190,4,27,188
27,7,118,32,140,1,32,139
28,7,82,40,168,6,39,163
29,7,135,30,125,3,28,124
30,8,110,24,156,4,22,154
31,8,125,38,127,0,38,127
32,7,98,41,151,5,39,148
33,7,116,30,144,5,29,140
34,7,111,14,165,1,14,164
35,9,88,49,153,4,48,150
36,8,97,36,157,6,32,155
37,9,69,50,171,5,50,166
38,7,109,32,149,6,30,145
39,7,107,28,155,4,27,152
40,6,116,29,145,4,27,143
41,9,78,34,178,3,32,177
42,5,138,25,127,5,22,125
43,7,97,40,153,8,36,149
44,7,128,48,114,5,45,112
45,8,52,49,189,3,47,188
46,7,103,33,154,4,33,150
47,7,78,35,177,3,33,176
48,8,74,43,173,5,42,169
49,8,81,33,176,2,33,174
50,8,124,30,136,3,29,134
51,8,75,39,176,3,37,175
52,7,95,65,130,8,60,127
53,5,124,42,124,9,38,119
54,5,159,31,100,3,29,99
55,7,129,30,131,4,29,128
56,7,111,47,132,2,46,131
57,6,124,19,147,3,18,145
58,8,111,21,158,0,21,158
59,7,125,28,137,3,27,135
60,6,143,19,128,1,19,127
61,5,157,21,112,1,20,112
62,7,125,21,144,2,19,144
63,7,116,52,122,4,50,120
64,6,175,35,80,6,31,78
65,2,246,11,33,2,11,31
66,2,240,12,38,1,11,38
67,7,87,30,173,4,28,171
68,3,201,5,84,2,5,82
69,4,171,14,105,1,13,105
70,5,94,28,168,3,26,167
71,4,189,14,87,2,13,86
72,8,99,31,160,2,30,159
73,2,246,6,38,0,6,38
74,2,207,18,65,0,18,65
75,5,208,25,57,4,22,56
76,4,160,18,112,2,17,111
77,7,132,26,132,4,23,131
78,6,124,35,131,3,34,129
79,6,97,39,154,8,36,149
