timestep,finished_tasks,active_tasks,unassigned_backlog,assigned_agents,idle_agents,empty_agents,loaded_agents,active_wait_steps_cumulative,planner_seconds
1,0,4,2,2,78,0,2,0,0.9209211
2,0,6,2,4,76,1,3,0,0.9208084
3,0,8,2,6,74,2,4,0,0.9209335
4,0,10,2,8,72,4,4,0,0.9209446
5,0,12,2,10,70,5,5,0,0.9207911
6,0,14,2,12,68,6,6,0,0.9208191
7,0,16,2,14,66,8,6,0,0.9208668
8,0,18,2,16,64,9,7,0,0.9208366
9,0,20,2,18,62,10,8,0,0.9208619
10,0,22,2,20,60,11,9,0,0.921002
11,0,24,2,22,58,11,11,1,0.9208786
12,1,25,2,23,57,11,12,2,0.9209212
13,1,27,2,25,55,11,14,3,0.9210767
14,2,28,2,26,54,10,16,3,0.9209446
15,2,30,2,28,52,11,17,3,0.9209219
16,3,31,2,29,51,10,19,5,0.9209341
17,3,33,2,31,49,9,22,6,0.9209391
18,3,35,2,33,47,11,22,6,0.9209192
19,3,37,2,35,45,10,25,11,0.9209116
20,3,39,2,37,43,9,28,12,0.9209437
21,3,41,2,39,41,10,29,12,0.9208999
22,4,42,2,40,40,8,32,15,0.9209709
23,4,44,2,42,38,9,33,15,0.920884
24,6,44,2,42,38,9,33,16,0.9209567
25,7,45,2,43,37,11,32,17,0.9209664
26,9,45,2,43,37,11,32,17,0.9210715
27,9,47,2,45,35,12,33,17,0.9209605
28,10,48,2,46,34,12,34,17,0.9209546
29,11,49,2,47,33,9,38,17,0.9208854
30,15,47,2,45,35,7,38,17,0.9208618
31,16,48,2,46,34,9,37,17,0.920927
32,18,48,2,46,34,9,37,18,0.9209296
33,20,48,2,46,34,8,38,19,0.9209014
34,21,49,2,47,33,6,41,20,0.920895
35,21,51,2,49,31,8,41,21,0.9210444
36,23,51,2,49,31,7,42,21,0.9209066
37,24,52,2,50,30,8,42,21,0.9208647
38,26,52,2,50,30,9,41,21,0.9208883
39,27,53,2,51,29,9,42,21,0.9209415
40,28,54,2,52,28,10,42,21,0.9209271
41,33,51,2,49,31,11,38,21,0.92117
42,36,50,2,48,32,11,37,22,0.9209244
43,40,48,2,46,34,10,36,26,0.9208385
44,41,49,2,47,33,11,36,27,0.9210066
45,42,50,2,48,32,12,36,27,0.9208975
46,43,51,2,49,31,10,39,28,0.9209462
47,44,52,2,50,30,11,39,29,0.9208796
48,45,53,2,51,29,13,38,30,0.9209101
49,47,53,2,51,29,14,37,33,0.9209178
50,50,52,2,50,30,11,39,35,0.9209986
51,53,51,2,49,31,10,39,36,0.9209301
52,54,52,2,50,30,10,40,37,0.9209649
53,55,53,2,51,29,9,42,38,0.9210533
54,61,49,2,47,33,10,37,38,0.9209855
55,63,49,2,47,33,9,38,39,0.9209013
56,65,49,2,47,33,11,36,40,0.9209352
57,65,51,2,49,31,9,40,43,0.9210218
58,69,49,2,47,33,10,37,44,0.9209221
59,69,51,2,49,31,12,37,44,0.9209589
60,69,53,2,51,29,12,39,44,0.9209643
61,69,55,2,53,27,11,42,44,0.9210356
62,70,56,2,54,26,12,42,44,0.9209657
63,73,55,2,53,27,12,41,46,0.9209959
64,74,56,2,54,26,12,42,47,0.9210543
65,77,55,2,53,27,14,39,48,0.920975
66,77,57,2,55,25,13,42,48,0.9209859
67,78,58,2,56,24,12,44,49,0.9210686
68,81,57,2,55,25,14,41,51,0.9209649
69,83,57,2,55,25,14,41,52,0.9210217
70,85,57,2,55,25,13,42,54,0.9210062
71,89,55,2,53,27,13,40,55,0.9209988
72,89,57,2,55,25,14,41,56,0.9209432
73,93,55,2,53,27,12,41,57,0.9209217
74,96,54,2,52,28,12,40,58,0.9209421
75,96,56,2,54,26,11,43,60,0.9209567
76,99,55,2,53,27,9,44,61,0.9208801
77,99,57,2,55,25,8,47,65,0.9209206
78,100,58,2,56,24,7,49,66,0.9209441
79,105,55,2,53,27,8,45,67,0.9209705
80,107,55,2,53,27,9,44,68,0.9209534
81,110,54,2,52,28,10,42,68,0.9210012
82,112,54,2,52,28,11,41,69,0.9209524
83,114,54,2,52,28,12,40,70,0.920951
84,118,52,2,50,30,12,38,72,0.9209313
85,119,53,2,51,29,11,40,72,0.9209361
86,120,54,2,52,28,11,41,73,0.9208991
87,121,55,2,53,27,9,44,75,0.9209323
